time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451022.0285778,RIGHT_HAND,-10724,14276,4696,-691,4006,-4921,101
1730451022.0723746,RIGHT_HAND,-11976,13368,6180,-4695,3717,-9940,103
1730451022.1633513,RIGHT_HAND,-14672,14580,5076,-6310,5456,-15149,105
1730451022.207092,RIGHT_HAND,-15588,14528,6320,-8072,7962,-17892,107
1730451022.2540667,RIGHT_HAND,-16112,14148,7588,-9409,8172,-20492,109
1730451022.3443222,RIGHT_HAND,-17796,12072,4408,-6829,7227,-23168,111
1730451022.3449776,RIGHT_HAND,-17572,10464,4736,-6648,8111,-22096,112
1730451022.3871825,RIGHT_HAND,-16828,8772,4352,-7513,9754,-20318,113
1730451022.4332755,RIGHT_HAND,-16276,7940,3372,-7759,11427,-18872,114
1730451022.4340076,RIGHT_HAND,-14828,7308,2468,-6401,13161,-16584,115
1730451022.477181,RIGHT_HAND,-12628,6548,1668,-4684,14373,-13794,116
1730451022.5237095,RIGHT_HAND,-10968,5524,948,-2346,14740,-10843,117
1730451022.524481,RIGHT_HAND,-9340,4992,44,-1957,14271,-7466,118
1730451022.5671437,RIGHT_HAND,-8664,4364,-28,-892,13095,-4507,119
1730451022.6121552,RIGHT_HAND,-8588,4380,-996,-232,10425,-3052,120
1730451022.6129386,RIGHT_HAND,-8584,4096,-980,-267,9015,-1602,121
1730451022.6587276,RIGHT_HAND,-8672,3256,-1340,-227,7182,-1067,122
1730451022.703276,RIGHT_HAND,-10300,3172,-1104,-1869,4739,-1098,123
1730451022.7471938,RIGHT_HAND,-12136,3596,-1332,-4204,3605,-2511,124
1730451022.7480302,RIGHT_HAND,-12960,4172,-1020,-7413,3600,-5173,125
1730451022.793572,RIGHT_HAND,-13636,4580,468,-10443,2109,-8947,126
1730451022.838209,RIGHT_HAND,-13824,4228,468,-11612,487,-11345,127
1730451022.8389766,RIGHT_HAND,-13804,2892,-1448,-12651,-1580,-12898,128
1730451022.8833237,RIGHT_HAND,-14012,1212,-2408,-14301,-2101,-13452,129
1730451022.9282925,RIGHT_HAND,-13256,-772,-4540,-14115,-2541,-12196,130
1730451022.9290628,RIGHT_HAND,-12020,-1888,-7948,-13043,-3273,-10982,131
1730451022.973202,RIGHT_HAND,-11896,-3808,-8556,-10940,-3111,-8981,132
1730451023.01822,RIGHT_HAND,-11692,-5504,-11660,-7681,-4334,-7112,133
1730451023.0189707,RIGHT_HAND,-12004,-6340,-13184,-5959,-3672,-4983,134
1730451023.0636942,RIGHT_HAND,-12316,-6408,-14532,-3092,-1467,-3087,135
1730451023.1081228,RIGHT_HAND,-12292,-6820,-14576,123,603,-1060,136
1730451023.1088781,RIGHT_HAND,-11204,-8544,-16576,2500,4013,1088,137
1730451023.1981912,RIGHT_HAND,-10544,-6820,-12904,5109,5821,4174,138
1730451023.2436767,RIGHT_HAND,-8840,-6668,-12484,8533,7330,7445,139
1730451023.2444348,RIGHT_HAND,-8968,-5688,-9060,10509,8078,11152,140
1730451023.2452908,RIGHT_HAND,-10348,-3708,-6980,8917,2267,13866,141
1730451023.2886796,RIGHT_HAND,-12644,-1120,-5528,9145,-4474,14485,142
1730451023.2894711,RIGHT_HAND,-14892,1512,-2664,9849,-6181,14164,143
1730451023.3339188,RIGHT_HAND,-16860,3020,-2080,9857,-6087,11816,144
1730451023.4232864,RIGHT_HAND,-17540,3452,-2168,8577,-2753,9211,145
1730451023.4240053,RIGHT_HAND,-16664,2796,-1372,7586,1599,6913,146
1730451023.4672039,RIGHT_HAND,-14640,2232,-2372,4422,3147,5155,147
1730451023.4680104,RIGHT_HAND,-13268,1980,-2880,2736,904,3603,148
1730451023.5131745,RIGHT_HAND,-12752,1620,-3268,1736,-1072,2878,149
1730451023.513969,RIGHT_HAND,-12420,1436,-4132,87,-909,2574,150
1730451023.5587497,RIGHT_HAND,-11608,1800,-4612,-946,188,2853,151
1730451023.6033666,RIGHT_HAND,-10852,1944,-4588,-685,-88,3304,152
1730451023.6041481,RIGHT_HAND,-10236,2648,-4496,-484,-1697,4056,153
1730451023.6482654,RIGHT_HAND,-9532,3056,-3916,-255,-3174,4991,154
1730451023.6936927,RIGHT_HAND,-9424,3200,-3288,533,-6075,6198,155
1730451023.6944714,RIGHT_HAND,-9984,3632,-2364,-186,-9639,7938,156
1730451023.7388344,RIGHT_HAND,-11140,3348,-3016,758,-12685,9882,157
1730451023.783708,RIGHT_HAND,-13104,4516,-2972,281,-12872,11297,158
1730451023.872127,RIGHT_HAND,-13788,6532,-2340,272,-8788,12497,159
1730451023.872879,RIGHT_HAND,-14000,7140,-1412,1647,-6406,13614,160
1730451023.9172397,RIGHT_HAND,-13912,7892,-912,1829,-7959,13052,161
1730451023.9180377,RIGHT_HAND,-13480,9416,388,1164,-9176,13442,162
1730451023.9633305,RIGHT_HAND,-14052,9884,1164,1991,-10359,13409,163
1730451024.0075111,RIGHT_HAND,-14328,10792,1328,2341,-11068,13059,164
1730451024.008281,RIGHT_HAND,-14164,11112,1872,2466,-10457,13238,165
1730451024.05256,RIGHT_HAND,-14616,11552,2088,2798,-10570,14011,166
1730451024.0993345,RIGHT_HAND,-14572,12436,3116,2730,-10165,13970,167
1730451024.100121,RIGHT_HAND,-14328,12760,2936,3346,-8300,13537,168
1730451024.1432848,RIGHT_HAND,-13544,12848,3608,3842,-7107,13291,169
1730451024.1882694,RIGHT_HAND,-13368,13432,3416,2495,-7382,12882,170
1730451024.1891506,RIGHT_HAND,-12796,14112,2824,2411,-5378,12128,171
1730451024.232247,RIGHT_HAND,-12560,14292,3716,2755,-3443,11660,172
1730451024.2771697,RIGHT_HAND,-12328,14332,2872,2745,-2999,10834,173
1730451024.2780159,RIGHT_HAND,-10992,14480,2200,2501,-2532,9905,174
1730451024.3232589,RIGHT_HAND,-9816,14460,2696,2040,-2162,9590,175
1730451024.3682563,RIGHT_HAND,-9180,14856,2824,1411,-2946,9186,176
1730451024.3690248,RIGHT_HAND,-9012,15160,2556,1400,-3151,8000,177
1730451024.413224,RIGHT_HAND,-8220,15272,2296,932,-2784,7035,178
1730451024.4582295,RIGHT_HAND,-7456,15308,3316,-60,-3000,6000,179
1730451024.503267,RIGHT_HAND,-6976,15424,3244,-581,-3648,4799,180
1730451024.504148,RIGHT_HAND,-6572,15260,2556,-820,-3891,3586,181
1730451024.5482743,RIGHT_HAND,-6136,15016,2872,-1417,-5102,2104,182
1730451024.5932622,RIGHT_HAND,-5664,14928,3344,-1923,-6671,1314,183
1730451024.5940263,RIGHT_HAND,-5752,15012,3344,-1680,-7605,518,184
1730451024.638341,RIGHT_HAND,-6012,15008,2696,-1607,-7618,125,185
