time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740236.628224,RIGHT_HAND,10564,-15016,316,-2163,-11968,-98,205
1729740236.6731713,RIGHT_HAND,11812,-16684,-2620,-1896,-11340,-5799,207
1729740236.7181835,RIGHT_HAND,16216,-16656,-5520,-4569,-7092,-14350,209
1729740236.7632122,RIGHT_HAND,20716,-17828,-6136,-5109,-4641,-20106,211
1729740236.8089535,RIGHT_HAND,21392,-17936,-3040,-4666,-7032,-24986,213
1729740236.8981836,RIGHT_HAND,19004,-16984,-5440,-5739,-12372,-28840,215
1729740236.898902,RIGHT_HAND,20080,-18408,-3596,-6430,-3376,-28929,216
1729740236.9432952,RIGHT_HAND,17880,-14656,748,-9169,-11046,-29773,217
1729740236.9882038,RIGHT_HAND,14924,-10756,-1016,-6318,-14732,-26911,218
1729740236.9889324,RIGHT_HAND,13336,-10604,-2656,-3948,-14542,-23674,219
1729740237.03322,RIGHT_HAND,10384,-8428,-1440,-4905,-16451,-20461,220
1729740237.0782342,RIGHT_HAND,7660,-6140,-1868,-6396,-18791,-15308,221
1729740237.0789602,RIGHT_HAND,6824,-4592,-3832,-6355,-15940,-12468,222
1729740237.1232016,RIGHT_HAND,6116,-3988,-4196,-2767,-13312,-9602,223
1729740237.1682496,RIGHT_HAND,6528,-4828,-4452,-991,-8907,-8488,224
1729740237.1689272,RIGHT_HAND,7948,-7080,-5200,1324,-4027,-9375,225
1729740237.213199,RIGHT_HAND,9952,-8340,-3124,3101,4096,-13907,226
1729740237.2588027,RIGHT_HAND,10744,-8788,-3272,4995,3577,-19445,227
1729740237.2596612,RIGHT_HAND,9916,-6104,-5964,5952,1059,-23255,228
1729740237.3032537,RIGHT_HAND,8484,-2036,-9632,3947,1823,-24262,229
1729740237.3481777,RIGHT_HAND,6828,2372,-11872,1846,5762,-22890,230
1729740237.3488975,RIGHT_HAND,5268,6976,-13660,4449,3722,-18860,231
1729740237.3933303,RIGHT_HAND,4476,9632,-14316,4848,5949,-14613,232
1729740237.4382105,RIGHT_HAND,5268,10800,-14644,4497,4821,-10619,233
1729740237.4832258,RIGHT_HAND,5372,10952,-14736,2639,-2203,-7068,234
1729740237.4839008,RIGHT_HAND,3028,12524,-15156,-1135,-8771,-3360,235
1729740237.528268,RIGHT_HAND,1180,12636,-14308,-1524,-11815,1985,236
1729740237.5731783,RIGHT_HAND,-120,13432,-13924,-37,-13125,5897,237
1729740237.573855,RIGHT_HAND,-1196,12448,-14168,577,-13808,10603,238
1729740237.618209,RIGHT_HAND,-1024,11060,-13916,158,-8921,14968,239
1729740237.6631775,RIGHT_HAND,1120,7960,-13664,1968,-3542,18706,240
1729740237.6638932,RIGHT_HAND,3664,4476,-13920,1551,354,21521,241
1729740237.7082005,RIGHT_HAND,6644,772,-13344,557,6922,23403,242
1729740237.753247,RIGHT_HAND,9652,-3424,-12904,-1021,11853,23103,243
1729740237.8432062,RIGHT_HAND,13508,-10068,-10272,-4630,17604,20838,244
1729740237.8439212,RIGHT_HAND,16020,-10520,-8328,-12848,16020,11032,245
1729740237.844631,RIGHT_HAND,15444,-5476,-7612,-16641,15158,1961,246
1729740237.8882003,RIGHT_HAND,14780,1136,-6620,-9625,11180,-1089,247
1729740237.9331946,RIGHT_HAND,14420,1940,-5748,-536,6360,64,248
1729740238.0233104,RIGHT_HAND,14128,-1708,-7064,1931,482,-1248,249
1729740238.02401,RIGHT_HAND,10924,-3140,-5904,107,-6328,-3135,250
1729740238.0682864,RIGHT_HAND,7536,-2684,-4988,669,-8047,-2986,251
1729740238.0690324,RIGHT_HAND,6176,-1568,-6204,672,-5442,-2184,252
1729740238.0698252,RIGHT_HAND,6120,-1556,-7196,2598,385,446,253
1729740238.1131723,RIGHT_HAND,5960,-1348,-6236,358,6133,4299,254
1729740238.1581745,RIGHT_HAND,7164,-56,-5776,-1599,12654,8839,255
1729740238.158849,RIGHT_HAND,9668,792,-6976,-77,20018,12407,1
1729740238.203228,RIGHT_HAND,11360,356,-3524,-3199,24400,17013,2
1729740238.2481916,RIGHT_HAND,14216,-2496,-2272,-3172,24641,21457,3
1729740238.2488606,RIGHT_HAND,18352,-5572,-3272,-5340,30553,21432,4
1729740238.2932324,RIGHT_HAND,18292,-6648,2920,-10739,28072,20323,5
1729740238.3380797,RIGHT_HAND,20356,-6636,2960,-11786,24937,20081,6
1729740238.338534,RIGHT_HAND,20312,-8924,6316,-10327,22625,21911,7
1729740238.3832188,RIGHT_HAND,19484,-9804,6944,-12513,19841,21147,8
1729740238.428387,RIGHT_HAND,19508,-11172,6724,-13435,17508,21162,9
1729740238.473179,RIGHT_HAND,18592,-12088,8680,-12386,13909,21764,10
1729740238.4739108,RIGHT_HAND,17708,-13156,7740,-12576,13756,19958,11
1729740238.518243,RIGHT_HAND,17388,-13968,8972,-12161,11065,19047,12
1729740238.5631673,RIGHT_HAND,17336,-14716,9160,-10560,4537,19531,13
1729740238.5638325,RIGHT_HAND,16436,-15376,7544,-10202,-90,17931,14
1729740238.6083336,RIGHT_HAND,14568,-15000,6776,-9236,-3474,15755,15
1729740238.6532288,RIGHT_HAND,13184,-14772,5752,-6390,-4757,13620,16
1729740238.6982207,RIGHT_HAND,11828,-15428,5424,-3038,-2807,11557,17
1729740238.698892,RIGHT_HAND,10732,-16444,4680,-1919,-729,8578,18
1729740238.743493,RIGHT_HAND,10460,-16384,3868,-1490,2047,4866,19
1729740238.7442791,RIGHT_HAND,9644,-15064,4184,-137,6262,1707,20
