time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451162.5653722,RIGHT_LEG,15072,4788,5176,255,-127,19,254
1730451162.610532,RIGHT_LEG,15080,4868,5064,186,-289,-2,1
1730451162.699914,RIGHT_LEG,14988,4828,5300,250,-277,56,3
1730451162.744952,RIGHT_LEG,15116,4724,5136,362,-442,-1,5
1730451162.7906163,RIGHT_LEG,15072,4764,5076,231,-575,-57,7
1730451162.8349135,RIGHT_LEG,14956,4952,5196,367,-641,-9,8
1730451162.8357127,RIGHT_LEG,15196,4576,4820,350,-641,-14,9
1730451162.880078,RIGHT_LEG,15292,4724,4868,287,-581,-52,10
1730451162.9250672,RIGHT_LEG,15040,4760,4792,326,-506,-71,11
1730451162.9698627,RIGHT_LEG,15216,4768,5004,315,-554,-30,12
1730451162.9706023,RIGHT_LEG,14992,4788,5000,372,-553,18,13
1730451163.0148895,RIGHT_LEG,15104,4824,4900,428,-558,98,14
1730451163.0600872,RIGHT_LEG,15216,4704,4744,380,-570,67,15
1730451163.060827,RIGHT_LEG,15168,4800,4532,438,-477,26,16
1730451163.1498852,RIGHT_LEG,15108,4852,4808,352,-403,21,17
1730451163.194897,RIGHT_LEG,15196,4740,4496,337,-336,20,18
1730451163.196848,RIGHT_LEG,15256,4684,4600,377,-147,34,19
1730451163.1975594,RIGHT_LEG,15192,4816,4556,333,-16,-43,20
1730451163.2848558,RIGHT_LEG,15248,4856,4336,338,140,-101,21
1730451163.285563,RIGHT_LEG,15216,4856,4832,330,265,-97,22
1730451163.3298974,RIGHT_LEG,15260,4664,4688,198,295,-186,23
1730451163.33063,RIGHT_LEG,15176,4864,4820,207,341,-166,24
1730451163.375153,RIGHT_LEG,15160,4848,4768,129,385,-179,25
1730451163.375861,RIGHT_LEG,14968,4836,4772,40,471,-203,26
1730451163.4198842,RIGHT_LEG,15088,5028,5060,-132,390,-263,27
1730451163.4652975,RIGHT_LEG,15000,4972,5196,27,352,-170,28
1730451163.4660025,RIGHT_LEG,15124,4896,5052,-44,246,-168,29
1730451163.5098767,RIGHT_LEG,15036,4732,4944,-62,228,-203,30
1730451163.5105836,RIGHT_LEG,15040,5164,5028,95,157,-175,31
1730451163.5548723,RIGHT_LEG,14972,5080,5252,233,83,-77,32
1730451163.5999708,RIGHT_LEG,14940,4740,5340,209,-97,-72,33
1730451163.6448572,RIGHT_LEG,14992,4916,5016,251,-131,-103,34
1730451163.6455917,RIGHT_LEG,15008,4832,5288,327,-265,-11,35
1730451163.6899688,RIGHT_LEG,15016,5044,5396,348,-415,21,36
1730451163.7348568,RIGHT_LEG,15004,4768,5172,567,-448,113,37
1730451163.7355666,RIGHT_LEG,15232,4620,5012,716,-417,19,38
1730451163.7799125,RIGHT_LEG,15052,4808,5160,804,-408,-24,39
1730451163.8699605,RIGHT_LEG,15144,5068,4680,644,-331,-37,40
1730451163.8707097,RIGHT_LEG,15028,4892,4740,496,-236,64,41
1730451163.8719263,RIGHT_LEG,15164,4920,4904,449,-254,101,42
1730451163.87267,RIGHT_LEG,15176,4800,5044,329,-307,37,43
1730451163.9153566,RIGHT_LEG,15168,4812,4908,196,-278,-17,44
1730451163.9598885,RIGHT_LEG,14948,4964,4880,199,-167,1,45
1730451164.0049634,RIGHT_LEG,15176,4732,4840,142,-151,-25,46
1730451164.0057137,RIGHT_LEG,15096,4996,4840,166,-81,-12,47
1730451164.0502892,RIGHT_LEG,15120,4760,4792,159,-1,-27,48
1730451164.094878,RIGHT_LEG,15032,5024,4972,133,38,-27,49
1730451164.1408734,RIGHT_LEG,15148,4876,4672,99,79,-44,50
1730451164.1415954,RIGHT_LEG,15212,4840,4860,166,199,-65,51
1730451164.1848807,RIGHT_LEG,14908,4968,5184,144,181,-52,52
1730451164.2298908,RIGHT_LEG,15120,4712,4764,50,217,-111,53
