time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740257.010395,RIGHT_LEG,14904,2348,6736,248,-228,-101,173
1729740257.0556169,RIGHT_LEG,14656,2288,6936,474,-206,-15,175
1729740257.1015668,RIGHT_LEG,14992,2160,6896,438,-520,-236,177
1729740257.1908555,RIGHT_LEG,14968,2204,7220,627,-579,-183,179
1729740257.2354348,RIGHT_LEG,14844,2312,6892,668,-582,-221,181
1729740257.3254194,RIGHT_LEG,15148,2444,6416,416,-573,-322,182
1729740257.3262255,RIGHT_LEG,14780,2360,6752,464,-537,-313,183
1729740257.3704813,RIGHT_LEG,14876,2384,6624,508,-549,-314,184
1729740257.3722603,RIGHT_LEG,14932,2488,6632,461,-568,-349,185
1729740257.3737266,RIGHT_LEG,14844,2324,6452,433,-574,-373,186
1729740257.4159153,RIGHT_LEG,15084,2612,6456,429,-537,-371,187
1729740257.4608645,RIGHT_LEG,15176,2268,6364,158,-493,-344,188
1729740257.5053422,RIGHT_LEG,14996,2740,6452,109,-422,-419,189
1729740257.506131,RIGHT_LEG,15056,2824,6320,269,-337,-224,190
1729740257.551559,RIGHT_LEG,14916,2832,6100,143,-109,-137,191
1729740257.5955002,RIGHT_LEG,14892,2784,6524,178,-3,52,192
1729740257.5962818,RIGHT_LEG,14968,2696,6228,8,119,86,193
1729740257.640429,RIGHT_LEG,14896,2552,6476,238,244,154,194
1729740257.6855407,RIGHT_LEG,15232,2584,6552,285,313,209,195
1729740257.6863067,RIGHT_LEG,14732,2624,6128,80,475,291,196
1729740257.7303565,RIGHT_LEG,14840,2880,6696,231,681,415,197
1729740257.775266,RIGHT_LEG,14744,2384,6788,-39,560,316,198
1729740257.8203151,RIGHT_LEG,14652,2044,7104,-194,385,177,199
1729740257.8210135,RIGHT_LEG,14780,2032,6896,-414,290,-19,200
1729740257.8658373,RIGHT_LEG,14948,2352,7072,-252,191,-135,201
1729740257.86668,RIGHT_LEG,14780,2132,6992,19,67,-91,202
1729740257.9104967,RIGHT_LEG,14928,2292,6868,-148,-36,-240,203
1729740257.955529,RIGHT_LEG,14792,2312,7044,272,-73,-175,204
1729740257.9563594,RIGHT_LEG,14880,2144,6896,145,-216,-299,205
1729740258.0004818,RIGHT_LEG,14940,2140,7036,311,-315,-316,206
1729740258.0453258,RIGHT_LEG,14948,2516,6912,534,-386,-287,207
1729740258.0461097,RIGHT_LEG,14876,2420,6700,547,-356,-289,208
1729740258.090538,RIGHT_LEG,14728,2196,7040,812,-362,-272,209
1729740258.1355479,RIGHT_LEG,14872,2480,6920,764,-487,-360,210
1729740258.180555,RIGHT_LEG,14892,2416,6848,813,-550,-319,211
1729740258.1813414,RIGHT_LEG,14932,2648,6744,894,-547,-261,212
1729740258.2254379,RIGHT_LEG,14784,2648,6452,786,-449,-280,213
1729740258.270952,RIGHT_LEG,14852,2548,6524,700,-344,-228,214
1729740258.2717276,RIGHT_LEG,14988,2932,6280,429,-224,-172,215
1729740258.3165486,RIGHT_LEG,14760,3012,6484,354,-72,5,216
1729740258.360489,RIGHT_LEG,14868,2760,6480,310,59,123,217
1729740258.361287,RIGHT_LEG,14856,2676,6524,241,228,149,218
1729740258.4055262,RIGHT_LEG,14916,2568,6732,106,263,217,219
1729740258.451008,RIGHT_LEG,14872,2476,6956,99,195,175,220
1729740258.4518402,RIGHT_LEG,14800,2528,6688,30,220,159,221
1729740258.4954906,RIGHT_LEG,15016,2728,6840,59,265,186,222
1729740258.540504,RIGHT_LEG,14712,2360,6480,-105,265,162,223
1729740258.5412889,RIGHT_LEG,14844,2644,6760,-76,329,214,224
1729740258.585561,RIGHT_LEG,14884,2732,6716,-133,386,316,225
1729740258.6305618,RIGHT_LEG,14572,2312,6920,28,344,355,226
1729740258.6313179,RIGHT_LEG,14952,2236,6940,69,296,340,227
1729740258.6768253,RIGHT_LEG,14772,2244,7100,23,194,175,228
1729740258.72038,RIGHT_LEG,14784,2204,7364,48,-15,83,229
1729740258.72142,RIGHT_LEG,14768,2544,6900,168,-71,85,230
1729740258.7651987,RIGHT_LEG,14680,2156,7156,195,-141,73,231
1729740258.8104718,RIGHT_LEG,14696,2320,7016,21,-249,-68,232
1729740258.8553243,RIGHT_LEG,14804,2404,7236,66,-298,-46,233
1729740258.8561006,RIGHT_LEG,14780,2468,7116,62,-390,-78,234
1729740258.9005458,RIGHT_LEG,14628,2440,7128,66,-443,-15,235
1729740258.9905083,RIGHT_LEG,14944,2160,6796,-88,-506,-110,236
1729740258.9913046,RIGHT_LEG,14888,2688,6780,-63,-423,-124,237
1729740258.992161,RIGHT_LEG,14888,2504,6780,150,-363,-17,238
1729740258.9928439,RIGHT_LEG,14912,2380,6564,201,-296,-2,239
1729740259.0355968,RIGHT_LEG,15004,2332,6648,293,-185,75,240
1729740259.080464,RIGHT_LEG,14760,2200,7076,459,-126,61,241
1729740259.1253564,RIGHT_LEG,14872,2120,6996,163,-334,-104,242
1729740259.1261451,RIGHT_LEG,14844,2260,6860,242,-317,-122,243
1729740259.1704714,RIGHT_LEG,14844,2524,6624,309,-183,-51,244
1729740259.2154043,RIGHT_LEG,14812,2284,6964,240,-257,17,245
1729740259.2161987,RIGHT_LEG,14900,2012,6920,210,-278,-58,246
1729740259.2603848,RIGHT_LEG,14772,2412,6748,180,-192,-80,247
1729740259.30542,RIGHT_LEG,14784,2444,6888,201,-150,-29,248
1729740259.306202,RIGHT_LEG,14860,2388,6624,291,-43,42,249
1729740259.395327,RIGHT_LEG,14824,2160,7040,404,31,122,250
1729740259.4405296,RIGHT_LEG,14772,2288,6860,258,-21,38,251
1729740259.4413583,RIGHT_LEG,14924,2140,6908,174,-46,10,252
1729740259.485401,RIGHT_LEG,14820,2300,6900,373,24,16,253
1729740259.5300832,RIGHT_LEG,14788,2176,7100,334,-8,37,254
1729740259.5309517,RIGHT_LEG,14824,2312,6936,157,-102,-34,255
1729740259.5753891,RIGHT_LEG,14912,2300,6824,244,-61,-1,1
