time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741462.3493514,RIGHT_HAND,9068,-15176,6248,-1658,203,415,88
1729741462.3940847,RIGHT_HAND,11740,-11960,10588,-1934,-8337,-2556,90
1729741462.4395962,RIGHT_HAND,13076,-13400,13480,11813,-9505,-4772,92
1729741462.574833,RIGHT_HAND,13692,-14200,16364,17104,-19325,-7608,94
1729741462.5770025,RIGHT_HAND,11084,-17944,17204,26641,-11971,-13858,96
1729741462.6644723,RIGHT_HAND,12788,-19180,19532,32516,-11132,-17357,98
1729741462.6653848,RIGHT_HAND,11224,-18428,18484,32767,-11499,-18363,99
1729741462.7090282,RIGHT_HAND,10640,-17208,16476,32767,-11489,-18838,100
1729741462.7544277,RIGHT_HAND,9728,-15324,14228,32130,-11652,-18802,101
1729741462.7553,RIGHT_HAND,8980,-13104,10972,29381,-11355,-18117,102
1729741462.7989845,RIGHT_HAND,8112,-11272,8860,25894,-10688,-17211,103
1729741462.8439577,RIGHT_HAND,7564,-9232,5344,21213,-9042,-16232,104
1729741462.8443696,RIGHT_HAND,6988,-6828,2464,14753,-5337,-14574,105
1729741462.8895214,RIGHT_HAND,6916,-4344,1324,8971,-2252,-12025,106
1729741462.9348006,RIGHT_HAND,7028,-1968,-1016,4349,-575,-8742,107
1729741462.9356003,RIGHT_HAND,7148,24,-2816,982,361,-4147,108
1729741462.979649,RIGHT_HAND,7016,1148,-3200,-1780,-1936,2719,109
1729741463.024519,RIGHT_HAND,6152,248,-2124,-6346,-5228,9484,110
1729741463.0252776,RIGHT_HAND,6220,-1456,-1352,-11620,-4959,14230,111
1729741463.0694268,RIGHT_HAND,7232,-3512,220,-16276,1414,17319,112
1729741463.1591814,RIGHT_HAND,9372,-6032,3276,-19670,9549,19533,113
1729741463.1600118,RIGHT_HAND,12036,-8496,6736,-22911,14289,19972,114
1729741463.204321,RIGHT_HAND,14168,-11484,11976,-26762,12850,19333,115
1729741463.2050376,RIGHT_HAND,14852,-12580,13452,-28906,5697,19385,116
1729741463.2057648,RIGHT_HAND,15552,-13068,12828,-27031,4033,18662,117
1729741463.250584,RIGHT_HAND,14064,-14196,13296,-25824,448,18992,118
1729741463.294739,RIGHT_HAND,13016,-15516,9976,-22891,3263,18797,119
1729741463.2955978,RIGHT_HAND,13856,-18656,11652,-22122,6222,17809,120
1729741463.3394234,RIGHT_HAND,14212,-18432,11396,-24709,869,15958,121
