time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451395.306246,RIGHT_HAND,-10148,12104,10320,-512,-3361,-6853,211
1730451395.3508897,RIGHT_HAND,-11068,10984,11224,-9249,4275,-7797,213
1730451395.396803,RIGHT_HAND,-10788,14016,15880,-18994,12842,-8397,215
1730451395.4858816,RIGHT_HAND,-10540,15128,17920,-22777,18808,-12306,217
1730451395.5308783,RIGHT_HAND,-10676,16640,19132,-27151,15522,-17307,219
1730451395.5765681,RIGHT_HAND,-10408,14748,17424,-26507,13904,-20275,221
1730451395.6209605,RIGHT_HAND,-10000,13588,14252,-26932,12463,-19682,222
1730451395.665874,RIGHT_HAND,-8920,11812,11120,-24243,12837,-18590,223
1730451395.710861,RIGHT_HAND,-7840,9328,9980,-20328,12541,-16594,224
1730451395.7115855,RIGHT_HAND,-6932,8012,7800,-18115,7893,-14601,225
1730451395.7558959,RIGHT_HAND,-6608,6316,4612,-13157,6510,-12699,226
1730451395.8014328,RIGHT_HAND,-6508,4724,3096,-7880,4508,-10410,227
1730451395.8020847,RIGHT_HAND,-6160,2380,468,-3268,1643,-9125,228
1730451395.845885,RIGHT_HAND,-5392,3740,-4852,514,4926,-7025,229
1730451395.890887,RIGHT_HAND,-4956,2384,-356,1839,6196,3723,230
1730451395.8915794,RIGHT_HAND,-4580,2108,1184,6097,2888,7669,231
1730451395.935845,RIGHT_HAND,-4388,3920,1612,9373,589,11484,232
1730451395.9809332,RIGHT_HAND,-5616,2824,2688,10598,-6495,14915,233
1730451395.981638,RIGHT_HAND,-7684,4748,5384,10610,-14629,16578,234
1730451396.025955,RIGHT_HAND,-10252,7588,7800,11634,-20069,18066,235
1730451396.0709348,RIGHT_HAND,-11804,10240,8596,16235,-17474,19478,236
1730451396.071629,RIGHT_HAND,-13416,11796,12084,22016,-11184,18921,237
1730451396.1161735,RIGHT_HAND,-13176,11812,12484,25272,-7659,22453,238
1730451396.160944,RIGHT_HAND,-14124,13220,13744,18024,-6081,22463,239
1730451396.1616468,RIGHT_HAND,-13560,16192,12120,19380,-4455,22297,240
1730451396.2072449,RIGHT_HAND,-12760,16760,12196,19450,-2398,21202,241
1730451396.2508838,RIGHT_HAND,-11804,16792,12188,17259,-2860,20363,242
1730451396.2515812,RIGHT_HAND,-10692,17220,11404,15021,-3857,18569,243
1730451396.2962627,RIGHT_HAND,-9584,17384,10384,13509,-4405,16045,244
1730451396.3409297,RIGHT_HAND,-8640,16876,9628,11669,-5546,13386,245
1730451396.3416274,RIGHT_HAND,-7488,15880,8992,9609,-7193,10669,246
