time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451246.399436,RIGHT_LEG,15024,4764,5324,125,-532,143,65
1730451246.4893522,RIGHT_LEG,15004,4684,5228,248,-561,148,67
1730451246.579979,RIGHT_LEG,15116,4568,5188,341,-553,123,69
1730451246.624847,RIGHT_LEG,14988,4664,5096,345,-590,118,71
1730451246.669287,RIGHT_LEG,15172,4452,4992,432,-504,44,73
1730451246.7141662,RIGHT_LEG,15012,4608,4808,393,-451,-45,74
1730451246.7149348,RIGHT_LEG,15092,4412,5024,461,-407,2,75
1730451246.7592294,RIGHT_LEG,15256,4376,4932,486,-359,-88,76
1730451246.8031762,RIGHT_LEG,15044,4664,4972,488,-257,-143,77
1730451246.8039641,RIGHT_LEG,15224,4620,4792,449,-188,-102,78
1730451246.849715,RIGHT_LEG,15012,4536,4872,438,-117,-96,79
1730451246.894691,RIGHT_LEG,15128,4596,4920,467,-55,-169,80
1730451246.8955545,RIGHT_LEG,15188,4612,5016,399,-7,-219,81
1730451246.9391994,RIGHT_LEG,15092,4696,4892,345,14,-240,82
1730451246.9846745,RIGHT_LEG,15200,4668,4900,348,65,-220,83
1730451246.9855523,RIGHT_LEG,15136,4644,5168,357,14,-223,84
1730451247.028159,RIGHT_LEG,15032,4756,5316,366,-48,-214,85
1730451247.0742075,RIGHT_LEG,15060,4684,4968,301,-73,-185,86
1730451247.0749753,RIGHT_LEG,15088,4808,4944,344,-22,-166,87
1730451247.1206124,RIGHT_LEG,14876,4760,5172,347,-38,-162,88
1730451247.16422,RIGHT_LEG,15144,4856,4844,309,-77,-145,89
1730451247.1649876,RIGHT_LEG,15072,4720,5216,298,-152,-86,90
1730451247.209166,RIGHT_LEG,15096,4860,5232,274,-221,-71,91
1730451247.299211,RIGHT_LEG,14948,4720,5156,276,-235,-39,92
1730451247.2999475,RIGHT_LEG,15048,4792,5012,249,-236,-78,93
1730451247.3432088,RIGHT_LEG,15252,4556,4864,242,-161,-38,94
1730451247.3885498,RIGHT_LEG,15100,4728,4952,234,-116,-80,95
1730451247.3892777,RIGHT_LEG,15072,4776,4988,246,-116,-65,96
1730451247.3899384,RIGHT_LEG,15188,4876,4796,288,-64,-27,97
1730451247.4342222,RIGHT_LEG,14964,4632,4900,218,-34,-73,98
1730451247.4349701,RIGHT_LEG,15064,4672,4924,214,-76,-87,99
1730451247.4792533,RIGHT_LEG,15060,4828,5188,232,-85,-76,100
1730451247.5232117,RIGHT_LEG,14940,4848,5216,234,-85,-118,101
1730451247.569732,RIGHT_LEG,15020,4748,4912,181,-35,-149,102
1730451247.5705147,RIGHT_LEG,14888,4888,5128,232,1,-168,103
1730451247.6147065,RIGHT_LEG,15060,4792,5020,228,34,-158,104
1730451247.6582272,RIGHT_LEG,15048,4756,5356,266,16,-115,105
1730451247.6590028,RIGHT_LEG,15020,4776,4992,238,104,-165,106
1730451247.7032144,RIGHT_LEG,15004,4804,5072,190,156,-124,107
1730451247.7496758,RIGHT_LEG,15120,4872,5036,244,182,-154,108
1730451247.7505355,RIGHT_LEG,15052,4836,5352,259,89,-144,109
1730451247.7947533,RIGHT_LEG,14944,4936,5240,184,36,-141,110
1730451247.8380778,RIGHT_LEG,14932,4772,5312,196,-53,-88,111
1730451247.838827,RIGHT_LEG,14956,4768,5260,270,-91,-103,112
