time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741393.8617928,RIGHT_LEG,14468,1536,7572,83,-450,-134,83
1729741393.9077637,RIGHT_LEG,14736,1924,7400,448,-506,-184,85
1729741393.9513607,RIGHT_LEG,14468,2136,7384,435,-530,-261,87
1729741394.0413687,RIGHT_LEG,14752,2032,6976,355,-357,-174,89
1729741394.0862465,RIGHT_LEG,14752,2216,7244,448,-227,-58,91
1729741394.1315787,RIGHT_LEG,14668,2152,7144,362,-174,-28,92
1729741394.1326709,RIGHT_LEG,14748,2064,7108,411,-103,-14,93
1729741394.1761959,RIGHT_LEG,14720,2052,7236,418,-30,-17,94
1729741394.221392,RIGHT_LEG,14576,2012,7364,391,-65,-79,95
1729741394.2662818,RIGHT_LEG,14740,2196,7164,387,-67,-63,96
1729741394.267004,RIGHT_LEG,14688,2296,7152,353,40,-22,97
1729741394.3115168,RIGHT_LEG,14568,2224,7196,282,75,29,98
1729741394.356256,RIGHT_LEG,14608,2188,7324,348,135,115,99
1729741394.356995,RIGHT_LEG,14652,2020,7588,336,103,100,100
1729741394.4015055,RIGHT_LEG,14652,2084,7440,231,35,7,101
1729741394.4463801,RIGHT_LEG,14580,2308,7388,273,30,67,102
1729741394.4475172,RIGHT_LEG,14604,2112,7284,238,25,66,103
1729741394.491594,RIGHT_LEG,14620,2104,7288,308,10,132,104
1729741394.536265,RIGHT_LEG,14536,2012,7640,417,-44,85,105
1729741394.537008,RIGHT_LEG,14556,2036,7168,149,-110,-45,106
1729741394.581283,RIGHT_LEG,14680,2272,7232,239,4,-9,107
1729741394.625478,RIGHT_LEG,14564,2160,7452,263,-101,28,108
1729741394.6262264,RIGHT_LEG,14636,2048,7396,184,-137,18,109
1729741394.6712728,RIGHT_LEG,14564,2152,7308,216,-95,45,110
1729741394.7162452,RIGHT_LEG,14700,2076,7400,183,-58,95,111
1729741394.7169678,RIGHT_LEG,14608,2184,7376,163,-20,132,112
1729741394.7613811,RIGHT_LEG,14556,2112,7368,143,-15,135,113
1729741394.8062437,RIGHT_LEG,14556,1944,7404,143,-22,165,114
1729741394.8069696,RIGHT_LEG,14572,2076,7476,183,29,188,115
1729741394.851304,RIGHT_LEG,14620,2024,7432,89,76,149,116
1729741394.8962047,RIGHT_LEG,14708,1872,7392,138,137,168,117
