time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741776.588898,RIGHT_HAND,3068,-16364,1824,-2480,-4898,834,158
1729741776.6755505,RIGHT_HAND,1752,-15940,1376,-2867,-272,-2615,160
1729741776.7205539,RIGHT_HAND,1300,-14840,2136,-2269,5582,-5184,162
1729741776.76625,RIGHT_HAND,3744,-14024,2608,-1228,10281,-3601,164
1729741776.855936,RIGHT_HAND,6776,-15708,4364,-2960,8872,-465,166
1729741776.900003,RIGHT_HAND,7392,-14088,4000,-3020,7619,-95,167
1729741776.9004605,RIGHT_HAND,8140,-13564,3616,-1708,7920,439,168
1729741776.9450297,RIGHT_HAND,9704,-14164,5104,-1412,6446,943,169
1729741776.9916375,RIGHT_HAND,11056,-14992,6484,-597,-367,2671,170
1729741776.9939067,RIGHT_HAND,10504,-16908,6280,275,-7582,4413,171
1729741777.0354724,RIGHT_HAND,8852,-17824,4832,-844,-9729,4066,172
1729741777.080491,RIGHT_HAND,7744,-16920,3528,-1945,-7669,2041,173
1729741777.0813313,RIGHT_HAND,7508,-14852,2992,-1649,-4824,-295,174
1729741777.125425,RIGHT_HAND,7520,-13700,3068,-23,-2899,-1724,175
1729741777.1700087,RIGHT_HAND,7532,-14204,3860,1293,-2507,-2360,176
1729741777.2168438,RIGHT_HAND,7172,-15272,4412,1345,-3594,-2775,177
1729741777.2172368,RIGHT_HAND,6744,-15364,4096,1106,-4370,-2995,178
1729741777.2605991,RIGHT_HAND,6556,-15216,3788,1609,-4451,-2822,179
1729741777.2613552,RIGHT_HAND,6112,-15384,3756,1873,-4032,-2551,180
1729741777.3049886,RIGHT_HAND,6076,-15708,3728,1772,-3530,-2359,181
1729741777.3499947,RIGHT_HAND,5928,-15428,3468,1117,-3456,-2393,182
1729741777.3504503,RIGHT_HAND,5636,-14540,3004,1237,-3362,-2191,183
1729741777.3950644,RIGHT_HAND,5428,-15616,3128,2428,-3155,-1333,184
1729741777.4405262,RIGHT_HAND,5100,-16208,2980,798,-3111,-1157,185
1729741777.441458,RIGHT_HAND,4444,-14576,2360,-804,-2120,-1484,186
1729741777.4849925,RIGHT_HAND,4548,-13300,1880,623,-1025,-1041,187
1729741777.530394,RIGHT_HAND,4588,-14304,2924,1765,-1404,161,188
1729741777.5312052,RIGHT_HAND,4596,-15816,3048,841,-2195,798,189
1729741777.5759516,RIGHT_HAND,4344,-15908,2960,-511,-2075,511,190
1729741777.6654093,RIGHT_HAND,4036,-14596,2804,-677,-1298,110,191
1729741777.6662881,RIGHT_HAND,4216,-15616,2764,1083,1223,714,192
1729741777.7105603,RIGHT_HAND,4864,-17580,4008,200,2642,647,193
1729741777.7110424,RIGHT_HAND,5084,-17056,4448,-2060,3108,100,194
1729741777.754995,RIGHT_HAND,5552,-15656,4104,-2060,3615,70,195
1729741777.7554271,RIGHT_HAND,5892,-14456,4068,-1897,3669,-218,196
1729741777.8009226,RIGHT_HAND,5844,-13316,4072,-1069,3338,-383,197
1729741777.8453586,RIGHT_HAND,6344,-13856,4372,329,2696,671,198
1729741777.8461325,RIGHT_HAND,6968,-16220,4768,218,1860,1284,199
1729741777.8909576,RIGHT_HAND,6760,-16208,4436,-2277,1265,533,200
1729741777.9355123,RIGHT_HAND,6500,-14520,4052,-2820,2091,283,201
1729741777.936275,RIGHT_HAND,6708,-14208,4396,-1556,2574,580,202
1729741777.9809034,RIGHT_HAND,6904,-14776,4988,-1676,1570,806,203
1729741778.0258527,RIGHT_HAND,6628,-14452,5048,-2226,492,832,204
1729741778.0266545,RIGHT_HAND,6464,-14528,5176,-1505,-551,1299,205
1729741778.070343,RIGHT_HAND,6112,-15416,5192,-1362,-1015,1368,206
1729741778.1158726,RIGHT_HAND,5964,-15276,4924,-1699,-458,975,207
1729741778.1604278,RIGHT_HAND,6064,-15112,4900,-998,160,671,208
1729741778.161295,RIGHT_HAND,5872,-15252,5304,-569,177,231,209
1729741778.2058678,RIGHT_HAND,5884,-14948,5132,-153,231,-75,210
1729741778.206653,RIGHT_HAND,6028,-15076,5132,451,18,-33,211
1729741778.2505045,RIGHT_HAND,6108,-15300,5236,403,-775,-19,212
1729741778.2955601,RIGHT_HAND,6060,-15184,4760,520,-1244,88,213
1729741778.296386,RIGHT_HAND,5884,-15264,4380,278,-1392,96,214
1729741778.4310465,RIGHT_HAND,6000,-15280,3888,15,-1268,90,215
1729741778.4314375,RIGHT_HAND,6052,-15436,3984,-249,-1492,60,216
1729741778.4326282,RIGHT_HAND,5816,-15516,3872,-661,-1847,82,217
1729741778.4752734,RIGHT_HAND,5664,-15304,4288,-853,-1527,10,218
1729741778.5205128,RIGHT_HAND,5652,-15416,4328,-696,-1213,-196,219
1729741778.521271,RIGHT_HAND,5752,-15256,4580,-641,-791,-452,220
1729741778.5655105,RIGHT_HAND,5820,-14940,4904,-424,-967,-480,221
1729741778.6103868,RIGHT_HAND,5772,-15112,4700,-230,-1529,-429,222
1729741778.6111588,RIGHT_HAND,5844,-14952,4528,-238,-1816,-377,223
1729741778.6555762,RIGHT_HAND,5752,-14936,4584,-60,-2117,-182,224
1729741778.700398,RIGHT_HAND,5800,-15128,4092,-115,-2416,-25,225
1729741778.7012043,RIGHT_HAND,5780,-15180,4016,-448,-2503,-40,226
1729741778.7454937,RIGHT_HAND,5600,-14976,3776,-368,-2214,-60,227
1729741778.790536,RIGHT_HAND,5548,-15272,3484,-372,-1349,-179,228
1729741778.8354301,RIGHT_HAND,5604,-15248,3724,-590,89,-513,229
1729741778.836201,RIGHT_HAND,5888,-15032,4264,-739,625,-557,230
1729741778.8805735,RIGHT_HAND,6024,-15020,4564,-797,4,-575,231
