time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741830.3636966,RIGHT_LEG,26484,17252,-9480,1822,-10406,-12610,51
1729741830.4521909,RIGHT_LEG,31380,12988,3856,28403,-30643,-23485,53
1729741830.4972486,RIGHT_LEG,32767,10028,20272,32767,-32768,-22396,55
1729741830.5872617,RIGHT_LEG,32767,136,17476,10065,-32768,-22626,57
1729741830.632243,RIGHT_LEG,31824,6860,18320,4616,-32768,-28198,59
1729741830.7225852,RIGHT_LEG,30792,8164,16196,8844,-32109,-21811,60
1729741830.7233465,RIGHT_LEG,23876,3892,13744,10978,-26232,-14979,61
1729741830.724373,RIGHT_LEG,18676,1376,12612,14297,-18447,-7322,62
1729741830.7248783,RIGHT_LEG,13172,372,12356,14967,-13181,-2807,63
1729741830.7673202,RIGHT_LEG,8356,-1760,11116,17184,-10247,1336,64
1729741830.8124056,RIGHT_LEG,5296,-2700,11532,16651,-7090,3717,65
1729741830.8582962,RIGHT_LEG,2548,-3116,11724,13072,-3759,3905,66
1729741830.8587885,RIGHT_LEG,916,-3868,11056,8477,-799,2900,67
1729741830.9023166,RIGHT_LEG,1452,-3332,9180,4069,2478,1617,68
1729741830.947294,RIGHT_LEG,3036,-2524,8168,-963,6342,938,69
1729741830.9481273,RIGHT_LEG,5204,-1844,7312,-4773,9842,913,70
1729741830.9920084,RIGHT_LEG,7292,-1084,5480,-7601,11781,310,71
1729741830.992939,RIGHT_LEG,11880,1132,5028,-10132,14557,947,72
1729741831.037635,RIGHT_LEG,15512,2276,3660,-12406,18364,3166,73
1729741831.0819993,RIGHT_LEG,17588,3960,4124,-11426,21215,6322,74
1729741831.0832767,RIGHT_LEG,22392,4744,4112,-10823,22814,8649,75
1729741831.1275017,RIGHT_LEG,24144,4820,4144,-9324,26594,11875,76
1729741831.1723993,RIGHT_LEG,26240,5288,4632,-10209,27763,13180,77
1729741831.1729214,RIGHT_LEG,27380,5576,4708,-9917,27401,13499,78
1729741831.2173662,RIGHT_LEG,25644,4864,3556,-10022,24590,11517,79
1729741831.2623687,RIGHT_LEG,27240,5420,4352,-11085,20644,8183,80
1729741831.3081121,RIGHT_LEG,26432,7544,1872,-13207,15492,5280,81
1729741831.3521736,RIGHT_LEG,21740,7848,1544,-9487,11045,4146,82
1729741831.352895,RIGHT_LEG,18560,4972,3432,-3395,6852,3325,83
1729741831.3972673,RIGHT_LEG,21772,2432,4368,-5219,3436,1576,84
1729741831.44243,RIGHT_LEG,22124,1732,4984,-5960,1141,3196,85
1729741831.4432647,RIGHT_LEG,18812,13176,-380,-9656,-3207,-9462,86
1729741831.4873614,RIGHT_LEG,20484,16464,-1724,3312,-6800,-9245,87
1729741831.5324907,RIGHT_LEG,31732,6692,7640,11441,-1177,1612,88
1729741831.5333445,RIGHT_LEG,12744,-1892,5748,6050,-430,-3105,89
1729741831.5773287,RIGHT_LEG,10792,144,7168,611,-1372,-3351,90
1729741831.6227758,RIGHT_LEG,14724,3920,7480,1175,-1153,-2229,91
1729741831.623476,RIGHT_LEG,14208,2004,6780,1850,-569,-1806,92
1729741831.6672344,RIGHT_LEG,15256,2240,7276,2526,-327,-1062,93
1729741831.7122767,RIGHT_LEG,15088,3136,7568,2545,-343,-1312,94
1729741831.7130363,RIGHT_LEG,14708,2820,6728,1487,-472,-1361,95
1729741831.758476,RIGHT_LEG,14436,3272,6860,1561,-225,-1063,96
1729741831.802999,RIGHT_LEG,14852,2512,7180,1804,-109,-879,97
1729741831.8472276,RIGHT_LEG,14408,2456,7300,585,-314,-1401,98
1729741831.8919713,RIGHT_LEG,14212,3156,7164,503,-378,-1408,99
1729741831.9372718,RIGHT_LEG,14720,3436,7248,1483,-241,-751,100
1729741831.9379637,RIGHT_LEG,14756,3100,6992,1507,-120,-504,101
1729741831.9833205,RIGHT_LEG,14552,3164,7064,966,-217,-677,102
1729741832.0275161,RIGHT_LEG,14348,2780,7320,1016,-354,-649,103
1729741832.028269,RIGHT_LEG,14616,3264,7272,708,-560,-806,104
1729741832.0730493,RIGHT_LEG,14660,3284,6920,986,-618,-650,105
1729741832.1184125,RIGHT_LEG,14716,3532,6952,1019,-595,-635,106
