time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729742182.6741862,RIGHT_HAND,12784,-13752,6408,-213,-15799,-1405,85
1729742182.7661014,RIGHT_HAND,14816,-12780,9344,1767,-8277,-9490,87
1729742182.8138287,RIGHT_HAND,15992,-12284,13724,13459,-6976,-14684,89
1729742182.85532,RIGHT_HAND,10612,-14264,9944,16911,-6998,-18224,91
1729742182.9001365,RIGHT_HAND,1708,-10204,5000,11200,-4457,-13266,93
1729742182.9892058,RIGHT_HAND,-3348,-9268,1196,5861,-2870,-3640,95
1729742183.0342684,RIGHT_HAND,-4848,-8960,740,4796,-3191,1169,96
1729742183.035002,RIGHT_HAND,-5976,-10760,2884,4088,92,7549,97
1729742183.0792055,RIGHT_HAND,-1440,-14880,-8804,-467,-3467,12668,98
1729742183.0799587,RIGHT_HAND,1508,-18168,-1644,-7988,15637,8564,99
1729742183.1255183,RIGHT_HAND,3716,-14228,5868,-12164,27091,9429,100
1729742183.1692502,RIGHT_HAND,7632,-14992,11532,-10185,31512,12708,101
1729742183.1699963,RIGHT_HAND,18136,-21780,18716,-7802,30618,10320,102
1729742183.2143657,RIGHT_HAND,17336,-20640,28560,-14810,11377,3880,103
1729742183.2592924,RIGHT_HAND,18692,-14412,23020,-13041,-823,1544,104
1729742183.3052948,RIGHT_HAND,24136,-12516,14828,-7705,2485,-1060,105
1729742183.3060577,RIGHT_HAND,24516,-13336,19564,-368,7815,-3389,106
1729742183.3492548,RIGHT_HAND,27204,-16516,24308,1878,4476,-7532,107
1729742183.3499904,RIGHT_HAND,26676,-13764,26264,4637,-73,-13481,108
1729742183.3943362,RIGHT_HAND,26196,-15240,26576,12644,-3409,-14545,109
1729742183.440284,RIGHT_HAND,25756,-18592,25056,14515,-4964,-18386,110
1729742183.4411108,RIGHT_HAND,22972,-19680,24688,17562,-6451,-20815,111
1729742183.4842212,RIGHT_HAND,19012,-20784,23116,20413,-7142,-23007,112
1729742183.530286,RIGHT_HAND,16024,-20148,19284,20554,-10276,-25103,113
1729742183.5753033,RIGHT_HAND,12492,-18320,15692,21400,-11911,-25486,114
1729742183.5760913,RIGHT_HAND,9340,-16640,12152,21316,-13509,-24739,115
1729742183.6202416,RIGHT_HAND,6556,-15164,9880,18577,-15293,-23893,116
1729742183.6641974,RIGHT_HAND,4400,-12624,6140,14029,-16376,-21783,117
1729742183.6649365,RIGHT_HAND,2596,-10188,4192,9712,-14470,-20228,118
1729742183.710235,RIGHT_HAND,624,-7752,2824,7345,-12777,-17511,119
1729742183.754215,RIGHT_HAND,-1412,-5864,1924,6387,-14631,-12505,120
1729742183.754892,RIGHT_HAND,-2816,-4508,-48,3862,-16619,-6980,121
1729742183.800245,RIGHT_HAND,-3268,-3076,-2248,310,-14713,-3780,122
1729742183.8453162,RIGHT_HAND,-2992,-1008,-3524,-3291,-9572,-1696,123
1729742183.8461506,RIGHT_HAND,-1548,1156,-3580,-4034,405,-4,124
1729742183.8902633,RIGHT_HAND,892,2084,-2000,-2843,7469,2895,125
1729742183.9342427,RIGHT_HAND,3072,2332,-664,-3868,8398,5772,126
1729742183.934994,RIGHT_HAND,5440,1176,288,-4315,9339,9135,127
1729742183.9802406,RIGHT_HAND,7704,-832,2044,-6040,11096,11588,128
1729742184.0242288,RIGHT_HAND,9240,-1960,5532,-8242,9121,13981,129
1729742184.024963,RIGHT_HAND,12024,-2236,5320,-8682,7651,16443,130
1729742184.0703204,RIGHT_HAND,13580,-4224,6948,-10563,6784,19024,131
1729742184.1142914,RIGHT_HAND,14664,-6344,9856,-12224,4290,20402,132
1729742184.11502,RIGHT_HAND,16192,-7848,9852,-13640,4667,21600,133
1729742184.1602724,RIGHT_HAND,17976,-9112,11504,-14142,7915,20388,134
1729742184.2052326,RIGHT_HAND,18336,-10512,14468,-13359,4883,21078,135
1729742184.2502146,RIGHT_HAND,20184,-11608,13700,-14909,3323,20974,136
1729742184.2509346,RIGHT_HAND,19340,-11832,15044,-13217,-756,20080,137
1729742184.2942126,RIGHT_HAND,19296,-13424,13680,-10923,-4635,20592,138
1729742184.2949524,RIGHT_HAND,18348,-14596,10400,-12292,-2057,18210,139
1729742184.3393037,RIGHT_HAND,15916,-13988,10944,-11622,-1312,15899,140
1729742184.3852148,RIGHT_HAND,15684,-14232,8892,-9424,563,15688,141
1729742184.4302192,RIGHT_HAND,17428,-15632,6544,-10505,4534,12454,142
1729742184.4751968,RIGHT_HAND,14888,-13596,8600,-12127,5043,9137,143
1729742184.475925,RIGHT_HAND,12680,-12404,9296,-9490,2715,8908,144
1729742184.5193138,RIGHT_HAND,12708,-14236,8388,-7134,1084,9176,145
1729742184.5200531,RIGHT_HAND,12368,-15628,7364,-6799,-549,8132,146
1729742184.5652783,RIGHT_HAND,11068,-15272,6752,-6576,-1284,6835,147
1729742184.6092434,RIGHT_HAND,9652,-14940,6420,-5766,145,5856,148
1729742184.609975,RIGHT_HAND,8364,-14540,6300,-5388,1723,4071,149
1729742184.6553538,RIGHT_HAND,8088,-14052,5588,-4606,4006,2160,150
1729742184.6992166,RIGHT_HAND,7740,-13836,5744,-3401,5730,1222,151
1729742184.6999457,RIGHT_HAND,7676,-14252,6292,-2189,5986,621,152
1729742184.745243,RIGHT_HAND,7732,-14812,5996,-1390,5295,423,153
1729742184.789215,RIGHT_HAND,7520,-14628,5608,-1332,4280,-216,154
1729742184.789953,RIGHT_HAND,6908,-13888,5460,-1008,3006,-477,155
1729742184.8352385,RIGHT_HAND,6780,-14024,5264,-44,2331,-22,156
1729742184.8791976,RIGHT_HAND,6728,-14552,5128,480,1232,-89,157
1729742184.8799326,RIGHT_HAND,6336,-14544,5028,613,-129,43,158
1729742184.9253473,RIGHT_HAND,6380,-14948,4896,1119,-1355,517,159
1729742184.9692109,RIGHT_HAND,6376,-15412,4708,1327,-2235,606,160
1729742184.969958,RIGHT_HAND,6124,-15740,4244,1079,-3098,497,161
1729742185.0155199,RIGHT_HAND,6088,-15500,3976,677,-4010,615,162
1729742185.0581603,RIGHT_HAND,6076,-15340,3072,302,-4455,562,163
1729742185.0603583,RIGHT_HAND,5672,-14960,2864,124,-4073,794,164
1729742185.1039991,RIGHT_HAND,5620,-15336,2724,-19,-2552,906,165
1729742185.1493611,RIGHT_HAND,5532,-15804,3496,-642,-543,547,166
1729742185.1955962,RIGHT_HAND,5608,-15508,4280,-1409,933,-347,167
1729742185.2389505,RIGHT_HAND,5928,-14876,4696,-1101,1348,-546,168
1729742185.2852235,RIGHT_HAND,6016,-14616,4916,-417,896,-430,169
