time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451715.2557273,RIGHT_HAND,-8512,14816,11308,-2315,-10111,-10521,42
1730451715.2991526,RIGHT_HAND,-8412,9576,14280,-5032,-7599,-12180,44
1730451715.3902462,RIGHT_HAND,-7888,10004,13712,-19527,11252,-5009,46
1730451715.4359493,RIGHT_HAND,-3964,11116,13856,-22629,22891,-992,48
1730451715.480308,RIGHT_HAND,-164,10024,8120,-18400,20788,-1186,50
1730451715.5701747,RIGHT_HAND,2144,10864,6456,-11126,12943,1400,52
1730451715.6152053,RIGHT_HAND,2764,10828,5504,-7557,8309,2763,53
1730451715.6159663,RIGHT_HAND,2292,10644,6416,-5253,1719,4393,54
1730451715.6602247,RIGHT_HAND,-588,16016,1336,-4170,-1657,7320,55
1730451715.6609921,RIGHT_HAND,-2964,18656,7388,3092,-2829,8081,56
1730451715.7052326,RIGHT_HAND,-4884,17408,11424,5497,-10881,7291,57
1730451715.7490783,RIGHT_HAND,-5956,14640,14784,7044,-14750,6266,58
1730451715.7498565,RIGHT_HAND,-11084,13584,15944,5837,-19250,2031,59
1730451715.7957308,RIGHT_HAND,-15276,15364,18376,3310,-21407,-596,60
1730451715.8401978,RIGHT_HAND,-19036,15648,19648,3174,-19735,-2612,61
1730451715.8409615,RIGHT_HAND,-21176,14396,19420,4195,-11463,-3804,62
1730451715.8857381,RIGHT_HAND,-24260,13644,22280,3663,-4025,-6941,63
1730451715.9302049,RIGHT_HAND,-23080,11364,22944,-3238,1649,-8021,64
1730451715.9309683,RIGHT_HAND,-23956,12056,22812,-9898,6323,-10456,65
1730451715.975241,RIGHT_HAND,-25156,12980,22832,-10424,11743,-13043,66
1730451716.0188217,RIGHT_HAND,-22884,12268,22360,-10574,16849,-15779,67
1730451716.0193374,RIGHT_HAND,-19548,13360,21424,-15039,19716,-17144,68
1730451716.065154,RIGHT_HAND,-16576,13864,19560,-15788,20682,-19400,69
1730451716.110558,RIGHT_HAND,-12960,14520,16720,-12779,18511,-21208,70
1730451716.1113658,RIGHT_HAND,-9256,13832,12908,-10238,18803,-21717,71
1730451716.1556091,RIGHT_HAND,-5816,13276,9236,-9719,20107,-19667,72
1730451716.2002451,RIGHT_HAND,-2920,11928,7712,-8755,20683,-17228,73
1730451716.2451966,RIGHT_HAND,-896,10032,6056,-4436,19425,-15003,74
1730451716.245967,RIGHT_HAND,536,8060,5624,-2171,15313,-12533,75
1730451716.2907183,RIGHT_HAND,1484,5760,3980,-1615,10277,-10806,76
1730451716.3356817,RIGHT_HAND,776,4820,4304,2,6367,-8917,77
1730451716.3364995,RIGHT_HAND,192,3520,1056,739,3342,-6274,78
1730451716.3802607,RIGHT_HAND,-960,2192,788,1405,-296,-4487,79
1730451716.4252083,RIGHT_HAND,-2012,1184,52,2004,-2250,-2343,80
1730451716.4259756,RIGHT_HAND,-3176,488,-980,2264,-3406,590,81
1730451716.4707375,RIGHT_HAND,-4548,-520,48,2615,-4873,3391,82
1730451716.5152032,RIGHT_HAND,-6440,-72,364,2749,-8349,4461,83
1730451716.5159671,RIGHT_HAND,-8120,780,1236,540,-11173,5598,84
1730451716.6057405,RIGHT_HAND,-9836,2060,3576,2322,-13993,6067,85
