time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729742141.5424092,RIGHT_LEG,14524,1692,7792,35,-314,-199,155
1729742141.587341,RIGHT_LEG,14528,1880,7664,229,-176,10,157
1729742141.588744,RIGHT_LEG,14532,2932,6260,-668,486,454,159
1729742141.6775315,RIGHT_LEG,14508,2332,6604,-988,2519,1984,161
1729742141.7224963,RIGHT_LEG,14676,2184,5276,-3105,4860,2572,163
1729742141.7675638,RIGHT_LEG,12620,2936,8020,-2541,6358,3119,164
1729742141.8124177,RIGHT_LEG,13932,-1152,9012,-1290,6501,3787,165
1729742141.81321,RIGHT_LEG,13520,-1068,9592,-3968,6692,2031,166
1729742141.8575716,RIGHT_LEG,13584,1808,8452,-5677,7160,1578,167
1729742141.9024334,RIGHT_LEG,10200,1032,11556,-3477,6611,3486,168
1729742141.9032297,RIGHT_LEG,15008,-2752,9776,-4677,6286,2495,169
1729742141.9474807,RIGHT_LEG,11116,192,10668,-5565,6501,2118,170
1729742141.9925375,RIGHT_LEG,11520,-1516,12132,-3865,5953,2580,171
1729742141.9933047,RIGHT_LEG,11148,-2720,12484,-3466,5046,2513,172
1729742142.0377219,RIGHT_LEG,11136,-2548,13180,-3258,4305,2134,173
1729742142.0828805,RIGHT_LEG,10956,-3448,13604,-2280,2892,1824,174
1729742142.0837004,RIGHT_LEG,10672,-3388,13900,-1244,1395,1222,175
1729742142.1278856,RIGHT_LEG,11280,-4076,14632,-283,-162,474,176
1729742142.2174735,RIGHT_LEG,11224,-4008,14760,911,-1768,-320,177
1729742142.2182581,RIGHT_LEG,10804,-3436,14048,2176,-3392,-1025,178
1729742142.2621472,RIGHT_LEG,11048,-4004,13300,3463,-4703,-1677,179
1729742142.262552,RIGHT_LEG,11628,-3496,12936,4372,-5826,-2642,180
1729742142.2629359,RIGHT_LEG,11664,-2844,11744,4990,-6687,-3451,181
1729742142.3974166,RIGHT_LEG,11780,-2136,10472,5276,-7210,-4106,182
1729742142.4425223,RIGHT_LEG,12848,-1676,10020,4868,-7592,-4533,183
1729742142.4883943,RIGHT_LEG,13296,-1292,9568,3644,-7686,-5091,184
1729742142.4890935,RIGHT_LEG,13260,664,9040,2744,-7401,-5267,185
1729742142.4897804,RIGHT_LEG,13396,1064,7948,2302,-7017,-4677,186
1729742142.5325043,RIGHT_LEG,13428,2720,7332,1347,-6375,-4171,187
1729742142.533316,RIGHT_LEG,13252,2952,6992,2062,-5430,-2755,188
1729742142.57772,RIGHT_LEG,14612,2796,5788,1979,-4298,-1808,189
1729742142.578639,RIGHT_LEG,14324,2592,6356,2009,-2931,-950,190
1729742142.6224983,RIGHT_LEG,14536,2364,6284,1958,-1823,-288,191
1729742142.6232955,RIGHT_LEG,14856,2472,6640,1399,-994,234,192
1729742142.6674724,RIGHT_LEG,14504,1532,7608,1390,-538,397,193
1729742142.7138698,RIGHT_LEG,14528,1380,6944,386,-414,288,194
1729742142.7146928,RIGHT_LEG,14300,1984,8120,759,-164,366,195
1729742142.7574747,RIGHT_LEG,14368,764,7800,857,-335,609,196
1729742142.758219,RIGHT_LEG,14564,1688,7324,-11,-232,-31,197
1729742142.8025932,RIGHT_LEG,14576,768,8420,943,-349,364,198
1729742142.847587,RIGHT_LEG,14308,1420,7552,192,-602,-289,199
1729742142.8483603,RIGHT_LEG,14568,1404,7736,810,-660,90,200
1729742142.892582,RIGHT_LEG,14728,1884,6796,292,-595,-31,201
1729742142.937435,RIGHT_LEG,14692,1076,8168,1007,-374,67,202
1729742142.9382403,RIGHT_LEG,14472,1472,7300,66,-468,-397,203
1729742142.982521,RIGHT_LEG,14788,2148,6912,365,-221,-39,204
1729742143.027597,RIGHT_LEG,14436,1312,7812,670,-34,13,205
1729742143.0284197,RIGHT_LEG,14688,1164,7896,267,-307,-356,206
1729742143.0725238,RIGHT_LEG,14612,1452,7760,389,-470,-303,207
1729742143.117397,RIGHT_LEG,14528,1744,7420,489,-469,-284,208
1729742143.1182377,RIGHT_LEG,14760,1780,7740,532,-537,-303,209
1729742143.1625285,RIGHT_LEG,14660,1460,7284,654,-494,-260,210
1729742143.2075691,RIGHT_LEG,14368,1732,7144,550,-229,-307,211
1729742143.2083852,RIGHT_LEG,14744,1772,7368,427,-114,-159,212
1729742143.25259,RIGHT_LEG,14696,2048,7348,726,145,-43,213
1729742143.2979522,RIGHT_LEG,14560,1384,7824,628,74,-76,214
1729742143.298777,RIGHT_LEG,14516,1568,7476,500,-49,-294,215
1729742143.3426332,RIGHT_LEG,14636,1752,7596,831,-45,-141,216
1729742143.3874242,RIGHT_LEG,14768,1356,7168,826,-141,-230,217
1729742143.432884,RIGHT_LEG,14532,2164,7548,839,-1,-321,218
1729742143.4337277,RIGHT_LEG,14488,1864,7420,514,-261,-273,219
1729742143.477917,RIGHT_LEG,14652,1864,7548,728,-321,-269,220
1729742143.56781,RIGHT_LEG,14584,1532,7652,815,-415,-287,221
1729742143.5686226,RIGHT_LEG,14472,2200,7200,524,-347,-421,222
1729742143.5694816,RIGHT_LEG,14628,1728,7452,705,-536,-284,223
1729742143.6142693,RIGHT_LEG,14800,2008,7072,712,-433,-284,224
1729742143.702497,RIGHT_LEG,14488,2372,7440,746,-319,-117,225
1729742143.7032707,RIGHT_LEG,14536,1508,7360,742,-388,-96,226
1729742143.747955,RIGHT_LEG,14560,2168,7568,302,-299,-399,227
1729742143.748694,RIGHT_LEG,14680,2252,7088,500,-245,-178,228
1729742143.749406,RIGHT_LEG,14772,2364,7132,241,-180,-210,229
1729742143.8829257,RIGHT_LEG,14752,2044,7152,403,-162,-36,230
1729742143.8838418,RIGHT_LEG,14688,2248,7556,520,-114,-106,231
1729742143.9273727,RIGHT_LEG,14728,1880,7236,494,-249,-7,232
1729742143.9280946,RIGHT_LEG,14608,2308,7012,450,-98,-7,233
1729742143.9288087,RIGHT_LEG,14568,2064,7460,502,-113,51,234
1729742143.9725668,RIGHT_LEG,14712,2028,7224,249,-163,-132,235
1729742143.973379,RIGHT_LEG,14756,2092,7188,210,-130,-148,236
1729742144.017482,RIGHT_LEG,14548,2300,7364,248,-31,-86,237
1729742144.0183542,RIGHT_LEG,14636,1832,7276,255,-126,15,238
