time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451734.2469842,RIGHT_LEG,15140,4960,5088,171,577,-383,120
1730451734.2927125,RIGHT_LEG,14920,4916,5232,9,930,-482,122
1730451734.3819118,RIGHT_LEG,15232,4392,3568,-373,2626,-1251,124
1730451734.426933,RIGHT_LEG,14696,3936,4692,-171,5044,-2298,126
1730451734.472593,RIGHT_LEG,13388,5080,5428,-901,7448,-3774,128
1730451734.517131,RIGHT_LEG,13936,5700,5568,-850,8414,-4192,129
1730451734.5178735,RIGHT_LEG,10392,6652,8872,-984,8665,-4881,130
1730451734.5620084,RIGHT_LEG,14964,3952,8308,-1519,8296,-5298,131
1730451734.6068628,RIGHT_LEG,12384,6212,9364,-563,8135,-5248,132
1730451734.6524544,RIGHT_LEG,7828,6676,10088,-1608,7184,-6112,133
1730451734.6532385,RIGHT_LEG,13788,6764,9748,-776,7565,-5175,134
1730451734.7424061,RIGHT_LEG,11712,8704,8784,-1224,6829,-4965,135
1730451734.7869563,RIGHT_LEG,9648,7596,12080,-641,6018,-3658,136
1730451734.7876523,RIGHT_LEG,9112,8152,12472,-983,4688,-3464,137
1730451734.8318758,RIGHT_LEG,10364,7904,12872,-1037,3578,-2716,138
1730451734.8769455,RIGHT_LEG,7992,8424,13996,-112,2092,-1446,139
1730451734.8776412,RIGHT_LEG,8904,8348,13432,283,377,-339,140
1730451734.9224782,RIGHT_LEG,9152,8148,13448,1115,-1437,663,141
1730451734.9671957,RIGHT_LEG,8540,8272,13392,1842,-3241,1840,142
1730451734.9679666,RIGHT_LEG,9252,8288,12908,2297,-4808,2907,143
1730451735.0119426,RIGHT_LEG,9760,7792,11800,2754,-6177,3648,144
1730451735.056884,RIGHT_LEG,10464,7664,11300,2771,-7059,3849,145
1730451735.1019278,RIGHT_LEG,11008,7284,10092,2750,-7576,4093,146
1730451735.102615,RIGHT_LEG,11344,7048,9224,2787,-7793,4383,147
1730451735.1479664,RIGHT_LEG,12220,7024,8356,2125,-7912,3883,148
1730451735.1920033,RIGHT_LEG,12120,6724,7692,1609,-7454,3583,149
1730451735.1926951,RIGHT_LEG,12748,6656,6692,1172,-6696,3613,150
1730451735.237179,RIGHT_LEG,12704,6576,5924,990,-5744,3432,151
1730451735.281943,RIGHT_LEG,13288,6412,6064,648,-4716,2991,152
1730451735.2826383,RIGHT_LEG,13436,5932,6256,943,-3705,2707,153
1730451735.3269053,RIGHT_LEG,14196,5028,5744,870,-2789,2037,154
1730451735.3718853,RIGHT_LEG,13956,6356,6136,459,-2108,1231,155
1730451735.3726325,RIGHT_LEG,14152,5680,6148,340,-1456,960,156
1730451735.4169059,RIGHT_LEG,12976,7060,7296,384,-1488,1097,157
1730451735.4625576,RIGHT_LEG,14468,5608,6496,244,-1598,1149,158
1730451735.4633393,RIGHT_LEG,13988,5984,6212,316,-1223,898,159
1730451735.5073466,RIGHT_LEG,14076,5320,6500,353,-1192,896,160
1730451735.5522301,RIGHT_LEG,14248,5616,6212,112,-1149,582,161
1730451735.5529902,RIGHT_LEG,14332,5464,5532,68,-690,433,162
1730451735.596978,RIGHT_LEG,14364,6108,6080,471,-444,492,163
1730451735.6407478,RIGHT_LEG,13828,5048,6712,260,-629,241,164
1730451735.6429675,RIGHT_LEG,13924,5996,6420,65,-906,283,165
1730451735.6869462,RIGHT_LEG,14476,5588,6008,180,-844,253,166
1730451735.7318525,RIGHT_LEG,14016,6116,6980,477,-960,367,167
1730451735.732527,RIGHT_LEG,14208,5804,6568,318,-1378,541,168
1730451735.7770164,RIGHT_LEG,14232,5756,6096,403,-1463,462,169
1730451735.822205,RIGHT_LEG,14364,5808,5732,313,-1401,602,170
