time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730450784.5254607,RIGHT_HAND,-2844,12768,5312,-2128,-270,-280,61
1730450784.614459,RIGHT_HAND,-2724,13832,6272,864,273,5413,63
1730450784.70465,RIGHT_HAND,-2916,14524,6348,2731,-1921,8531,65
1730450784.7496452,RIGHT_HAND,-3628,17444,7748,5036,-4828,9479,67
1730450784.8389628,RIGHT_HAND,-3760,16892,7220,2723,-6665,8247,69
1730450784.8838873,RIGHT_HAND,-4792,19912,8464,3653,-8914,6686,71
1730450784.9288738,RIGHT_HAND,-4612,16448,7144,7082,-8721,4269,72
1730450784.92962,RIGHT_HAND,-4444,13080,5572,6999,-8302,2546,73
1730450784.9738996,RIGHT_HAND,-4572,12308,5032,1659,-10471,1105,74
1730450785.0190277,RIGHT_HAND,-5536,14648,5272,-2131,-9828,266,75
1730450785.019763,RIGHT_HAND,-5492,16132,6272,-545,-7683,-356,76
1730450785.063931,RIGHT_HAND,-5292,15068,5704,2122,-6288,-915,77
1730450785.1088758,RIGHT_HAND,-5276,13244,4920,1648,-5084,-1198,78
1730450785.1096263,RIGHT_HAND,-5252,12508,4436,-36,-3775,-1252,79
1730450785.153897,RIGHT_HAND,-5264,13188,4840,-1945,-2611,-1286,80
1730450785.1988719,RIGHT_HAND,-5364,14380,5156,-2221,-1039,-1153,81
1730450785.1996138,RIGHT_HAND,-5104,14544,5232,-1242,-2,-1523,82
1730450785.243904,RIGHT_HAND,-4792,14152,5284,-947,190,-1679,83
1730450785.2897382,RIGHT_HAND,-5012,14012,5132,-1658,674,-1566,84
1730450785.3788977,RIGHT_HAND,-5172,14248,5136,-2170,2247,-1287,85
1730450785.3796473,RIGHT_HAND,-4972,14136,5176,-2348,4157,-1446,86
1730450785.4689925,RIGHT_HAND,-4240,13620,5512,-2623,4805,-2014,87
1730450785.4697154,RIGHT_HAND,-3856,14004,5764,-3836,4148,-2231,88
1730450785.4704401,RIGHT_HAND,-4108,15416,6204,-4461,3942,-1765,89
1730450785.5138733,RIGHT_HAND,-4396,16276,6560,-3835,4517,-1214,90
1730450785.5145931,RIGHT_HAND,-4136,16140,6804,-2802,5307,-1165,91
1730450785.5153117,RIGHT_HAND,-3868,17116,7396,-4351,4865,-788,92
1730450785.5588994,RIGHT_HAND,-4100,18504,7880,-4441,4095,-605,93
1730450785.6038702,RIGHT_HAND,-4448,18968,7888,-2950,4190,-672,94
1730450785.6046133,RIGHT_HAND,-3668,15764,7012,-609,5371,-1812,95
1730450785.648896,RIGHT_HAND,-3652,13344,6152,-1294,5072,-3503,96
1730450785.738887,RIGHT_HAND,-3960,13572,5848,-5548,4874,-4089,97
1730450785.7396355,RIGHT_HAND,-4128,16048,6872,-7371,6108,-3847,98
1730450785.7838755,RIGHT_HAND,-3668,16996,7408,-4768,7952,-4056,99
1730450785.7846167,RIGHT_HAND,-3000,16416,7480,-3816,8039,-4070,100
1730450785.7853367,RIGHT_HAND,-2356,16100,7632,-4020,6813,-4158,101
1730450785.8289034,RIGHT_HAND,-1772,15208,7424,-2724,4521,-5112,102
1730450785.8738744,RIGHT_HAND,-1364,13728,7052,-2187,1319,-6248,103
1730450785.874624,RIGHT_HAND,-1440,13024,6476,-2980,-1708,-6490,104
1730450785.919464,RIGHT_HAND,-1848,13180,6080,-3685,-3737,-5595,105
1730450785.9641614,RIGHT_HAND,-2596,13540,5868,-3294,-4366,-4228,106
1730450785.9649305,RIGHT_HAND,-2856,13496,5764,-1739,-3568,-2298,107
1730450786.0095484,RIGHT_HAND,-2848,13268,5520,-623,-2440,-7,108
1730450786.0541565,RIGHT_HAND,-2736,13488,5748,34,-2489,2135,109
