time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730450537.2476716,RIGHT_LEG,25204,-328,7444,-7211,-4067,-18099,176
1730450537.336533,RIGHT_LEG,16664,15356,-3212,-11323,-8781,-17390,178
1730450537.3804936,RIGHT_LEG,9776,4752,-2660,-12244,-3875,-9646,180
1730450537.4701378,RIGHT_LEG,11740,1992,1820,-6125,1372,8207,182
1730450537.516306,RIGHT_LEG,7400,3932,3512,-14470,4135,16235,184
1730450537.5611453,RIGHT_LEG,10708,9584,7020,-7924,3668,21841,185
1730450537.561909,RIGHT_LEG,12548,2464,4096,-6082,4055,27022,186
1730450537.606242,RIGHT_LEG,15316,248,2872,-5839,5988,27804,187
1730450537.6502197,RIGHT_LEG,21404,3820,4192,-5555,6172,27809,188
1730450537.651021,RIGHT_LEG,24676,1044,2112,-10244,4559,28523,189
1730450537.7402325,RIGHT_LEG,27880,748,3124,-11120,4819,25011,190
1730450537.7419207,RIGHT_LEG,32767,4716,10424,-16886,-243,20362,191
1730450537.742623,RIGHT_LEG,21384,26856,928,-17680,-10282,19885,192
1730450537.786735,RIGHT_LEG,14476,21208,-3860,-16297,-9732,20441,193
1730450537.8301804,RIGHT_LEG,11760,16592,-3508,-10635,-5821,2739,194
1730450537.830951,RIGHT_LEG,12928,11048,-6644,-1486,4376,-8431,195
1730450537.876614,RIGHT_LEG,13728,9892,10260,17115,831,-9325,196
1730450537.9661744,RIGHT_LEG,29168,-32768,28240,31769,-5263,-4887,197
1730450537.9669464,RIGHT_LEG,19292,-7724,-32768,-6000,-6785,-18728,198
1730450538.0122051,RIGHT_LEG,16188,17104,7252,1809,-3997,-13450,199
1730450538.0129797,RIGHT_LEG,14004,10500,-6268,9871,-3366,-4610,200
1730450538.0567236,RIGHT_LEG,17788,-2684,384,3177,-1662,-4617,201
1730450538.057546,RIGHT_LEG,16716,4456,6668,-506,-1133,-3945,202
1730450538.1017225,RIGHT_LEG,17028,2052,968,-984,-3714,-784,203
1730450538.145213,RIGHT_LEG,16808,-560,-1792,-361,-4010,-1409,204
1730450538.1459842,RIGHT_LEG,15564,1024,-2596,801,-2682,-2453,205
1730450538.1913395,RIGHT_LEG,17116,2196,1392,-695,-1938,-1528,206
1730450538.2367022,RIGHT_LEG,16660,-1320,-1100,-1019,-2071,-1583,207
1730450538.237499,RIGHT_LEG,16596,632,-180,-907,-2428,-2260,208
1730450538.2802637,RIGHT_LEG,16440,-64,-1184,-1362,-2622,-2688,209
1730450538.3286996,RIGHT_LEG,16320,-176,-2512,-1138,-1691,-3430,210
1730450538.371708,RIGHT_LEG,16624,1480,-1652,-740,-1307,-4416,211
1730450538.3725107,RIGHT_LEG,17052,1412,-184,186,-1527,-5168,212
1730450538.4162042,RIGHT_LEG,16760,1632,-1784,18,-1736,-5357,213
1730450538.4169798,RIGHT_LEG,16756,2792,-1376,-139,-1100,-5737,214
1730450538.4611316,RIGHT_LEG,16968,3696,992,-448,-1596,-5977,215
1730450538.6411781,RIGHT_LEG,17000,2204,72,-593,-2838,-6242,216
1730450538.6419592,RIGHT_LEG,17496,984,-1208,-237,-2805,-8324,217
1730450538.6862762,RIGHT_LEG,18812,1088,-3380,1833,-1723,-11175,218
1730450538.686956,RIGHT_LEG,19872,624,-1108,749,-2087,-12828,219
1730450538.6876438,RIGHT_LEG,20524,2404,-708,-1796,-2065,-15326,220
1730450538.7312443,RIGHT_LEG,24204,1688,2532,-3946,-1453,-18639,221
1730450538.7319307,RIGHT_LEG,27076,-2140,10148,-3950,-426,-22727,222
1730450538.7326183,RIGHT_LEG,24020,1528,11740,444,-4271,-25546,223
1730450538.8216789,RIGHT_LEG,20448,9540,-3284,-1499,-9204,-22326,224
1730450538.8223875,RIGHT_LEG,14020,9948,-7424,-1997,-4018,-14768,225
1730450538.8247402,RIGHT_LEG,13012,2360,-2584,-4507,-2581,-8608,226
1730450538.9110587,RIGHT_LEG,3164,4084,-7604,-5440,640,4080,227
1730450538.9118772,RIGHT_LEG,11404,-3724,812,-3042,5305,10968,228
1730450538.9562614,RIGHT_LEG,6816,-1584,-2100,-8096,5244,9649,229
