time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729734567.4741232,RIGHT_HAND,-1044,16060,-828,-228,14,-268,105
1729734567.564578,RIGHT_HAND,-1804,16208,-852,-461,-1097,-205,107
1729734567.607468,RIGHT_HAND,-8880,17584,-5184,1618,588,-4711,109
1729734567.65372,RIGHT_HAND,-19172,24300,-232,15505,1672,-27177,111
1729734567.7876003,RIGHT_HAND,-16996,14728,-6272,17936,23801,-32768,113
1729734567.8786697,RIGHT_HAND,-3220,6616,1632,21107,32767,-21613,115
1729734567.8794801,RIGHT_HAND,2644,-2588,3836,14006,32767,-6368,116
1729734567.8802943,RIGHT_HAND,5996,-5288,16952,-20243,32767,-8893,117
1729734567.922481,RIGHT_HAND,6424,-1504,19196,-32768,13111,-7172,118
1729734567.9233081,RIGHT_HAND,3344,9704,12348,-32768,-526,-9596,119
1729734567.9240837,RIGHT_HAND,-1072,24448,6772,-32768,-2468,-8609,120
1729734567.9676847,RIGHT_HAND,-3736,32767,15784,-32768,-26900,18838,121
1729734568.012684,RIGHT_HAND,-6104,32767,2988,610,-3162,16011,122
1729734568.0135224,RIGHT_HAND,-3980,20692,-7472,7313,5743,640,123
1729734568.0577347,RIGHT_HAND,-1408,21436,-11136,5275,3791,-11692,124
1729734568.1026793,RIGHT_HAND,-1568,29408,-11432,7272,912,-13278,125
1729734568.1476965,RIGHT_HAND,-5280,32767,-10488,23651,3481,-11393,126
1729734568.148536,RIGHT_HAND,-9840,32767,-14224,32767,553,-15879,127
1729734568.2364519,RIGHT_HAND,-14108,32767,-19644,32767,-3878,-26893,128
1729734568.2382839,RIGHT_HAND,-21740,29400,-21076,32767,-5773,-32768,129
1729734568.2390714,RIGHT_HAND,-26212,18792,-21572,32767,-8295,-32768,130
1729734568.2806795,RIGHT_HAND,-25720,11720,-14764,32767,2775,-32768,131
1729734568.3274605,RIGHT_HAND,-23836,8816,-10804,32767,21702,-32768,132
1729734568.3284822,RIGHT_HAND,-15684,3732,-8824,32767,32767,-32768,133
1729734568.372482,RIGHT_HAND,-10176,-1016,-3816,32767,32767,-32768,134
1729734568.461543,RIGHT_HAND,-5020,-8596,-1948,32767,32767,-22353,135
1729734568.4627273,RIGHT_HAND,528,-15824,-2752,31601,32767,-12655,136
1729734568.4640586,RIGHT_HAND,3148,-15196,512,6093,20022,-5743,137
1729734568.4655354,RIGHT_HAND,1896,-5808,-5028,-6651,10110,3808,138
1729734568.5064669,RIGHT_HAND,2620,780,-2144,-14647,9341,12336,139
1729734568.5520506,RIGHT_HAND,3936,3572,2948,-22025,13097,16788,140
1729734568.598808,RIGHT_HAND,2636,7512,3912,-23677,6827,18250,141
1729734568.5999825,RIGHT_HAND,1360,10376,-352,-20319,4183,15815,142
1729734568.6884964,RIGHT_HAND,2176,6280,992,918,4509,10885,143
1729734568.732616,RIGHT_HAND,2176,-1776,1688,21973,7050,4466,144
1729734568.7337236,RIGHT_HAND,3072,-12500,1996,28238,-305,-1350,145
