time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729734553.3069012,RIGHT_LEG,16004,-2492,4516,-437,-239,91,242
1729734553.3075323,RIGHT_LEG,16044,-2520,4712,-490,-312,123,244
1729734553.3971312,RIGHT_LEG,16008,-2456,4648,-575,-550,265,246
1729734553.4014506,RIGHT_LEG,15900,-2752,4892,-751,-1298,263,248
1729734553.4875326,RIGHT_LEG,16084,-2912,4568,-608,-2141,103,250
1729734553.6686254,RIGHT_LEG,16252,-2528,4052,-507,-2253,61,251
1729734553.6702983,RIGHT_LEG,16088,-2524,3664,-659,-2080,85,252
1729734553.6710515,RIGHT_LEG,16244,-2800,3852,-582,-1958,122,253
1729734553.6718247,RIGHT_LEG,16284,-2608,3300,-719,-1684,95,254
1729734553.7125022,RIGHT_LEG,16208,-2772,3244,-536,-1190,117,255
1729734553.7153006,RIGHT_LEG,16456,-3056,3464,-483,-842,-10,1
1729734553.7160904,RIGHT_LEG,16408,-2928,3284,-364,-549,1,2
1729734553.7574773,RIGHT_LEG,16136,-2216,2852,-466,-116,69,3
1729734553.847193,RIGHT_LEG,16376,-2344,3100,-525,378,193,4
1729734553.8482242,RIGHT_LEG,16356,-3128,3484,-334,755,230,5
1729734553.850243,RIGHT_LEG,16140,-2656,3612,-271,977,151,6
1729734553.8522644,RIGHT_LEG,16212,-2632,4156,-323,1104,196,7
1729734553.8945653,RIGHT_LEG,16244,-2728,4224,-507,958,272,8
1729734553.9374332,RIGHT_LEG,15976,-2748,4464,-492,692,299,9
1729734553.9835987,RIGHT_LEG,16028,-3064,4232,-385,494,272,10
1729734553.984573,RIGHT_LEG,16156,-2996,4244,-443,403,88,11
1729734554.0277095,RIGHT_LEG,16044,-2964,4004,-345,375,7,12
1729734554.028975,RIGHT_LEG,16148,-2832,4196,-403,505,-116,13
1729734554.1184082,RIGHT_LEG,16084,-2828,4308,-367,614,-134,14
1729734554.163866,RIGHT_LEG,15916,-2888,4944,-160,345,-71,15
1729734554.2077503,RIGHT_LEG,15820,-2828,4888,-156,-173,-52,16
1729734554.208839,RIGHT_LEG,15940,-2796,4560,-217,-385,-35,17
1729734554.210567,RIGHT_LEG,15968,-2760,4392,-385,-381,-107,18
1729734554.2974398,RIGHT_LEG,16028,-2744,4480,-489,-389,-126,19
1729734554.2983432,RIGHT_LEG,16072,-2688,4672,-586,-576,-108,20
1729734554.3440049,RIGHT_LEG,16020,-2812,4276,-523,-608,-102,21
1729734554.345885,RIGHT_LEG,16156,-2848,4308,-380,-619,-59,22
1729734554.3473866,RIGHT_LEG,15920,-2896,4408,-372,-611,-103,23
1729734554.3874652,RIGHT_LEG,16072,-2764,4272,-485,-560,-164,24
1729734554.4323897,RIGHT_LEG,16188,-2820,4184,-631,-506,-210,25
1729734554.433335,RIGHT_LEG,16112,-2856,4044,-594,-545,-202,26
1729734554.5226436,RIGHT_LEG,16108,-2544,4140,-465,-510,-143,27
1729734554.5684445,RIGHT_LEG,16104,-2848,4348,-458,-493,-146,28
1729734554.5693243,RIGHT_LEG,16148,-2660,4380,-638,-619,-154,29
1729734554.5701988,RIGHT_LEG,16004,-2564,4284,-679,-725,-113,30
1729734554.659675,RIGHT_LEG,16204,-2736,4300,-721,-839,-117,31
1729734554.660797,RIGHT_LEG,16328,-2492,3948,-596,-800,21,32
1729734554.7475832,RIGHT_LEG,16100,-2708,3808,-470,-651,35,33
1729734554.748462,RIGHT_LEG,16220,-2584,4032,-564,-523,10,34
1729734554.749331,RIGHT_LEG,16096,-2708,3756,-386,-368,78,35
1729734554.7935436,RIGHT_LEG,16304,-2928,3964,-300,-255,17,36
1729734554.7946925,RIGHT_LEG,16040,-2700,3840,-308,-98,33,37
1729734554.8377233,RIGHT_LEG,16124,-2592,3596,-269,-26,39,38
1729734554.8825777,RIGHT_LEG,16136,-2824,4096,-188,0,31,39
1729734554.8837337,RIGHT_LEG,16072,-2508,4308,-218,35,62,40
1729734554.9275203,RIGHT_LEG,16116,-2564,4156,-357,12,74,41
1729734554.928673,RIGHT_LEG,16056,-2684,4208,-391,-13,96,42
1729734554.9725935,RIGHT_LEG,16068,-2576,4424,-357,-89,58,43
1729734555.01744,RIGHT_LEG,16000,-2776,4252,-344,-170,15,44
1729734555.0185835,RIGHT_LEG,16172,-2684,4200,-251,-109,-1,45
1729734555.0626998,RIGHT_LEG,16168,-2784,4056,-369,-36,-45,46
1729734555.1076496,RIGHT_LEG,16232,-2608,4028,-274,71,-28,47
