time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739479.218406,RIGHT_HAND,-1796,15828,824,-634,127,-62,140
1729739479.264189,RIGHT_HAND,-2464,15756,1060,-459,-533,-122,142
1729739479.3533797,RIGHT_HAND,-10904,14368,6280,-2180,-4332,-8996,144
1729739479.3984187,RIGHT_HAND,-21180,19028,13604,-11763,-19928,-32768,146
1729739479.4441955,RIGHT_HAND,-25844,18500,18008,-32768,-11185,-32768,148
1729739479.5770957,RIGHT_HAND,-20372,12252,18988,-32768,8933,-32768,150
1729739479.5779471,RIGHT_HAND,-12924,9616,12740,-32768,6599,-32768,151
1729739479.579198,RIGHT_HAND,-8208,9572,7644,-32768,7428,-32768,152
1729739479.5802145,RIGHT_HAND,-4668,10064,2960,-32768,5519,-32768,153
1729739479.62221,RIGHT_HAND,-1320,8948,-816,-32297,5748,-28226,154
1729739479.667433,RIGHT_HAND,-940,8188,-4156,-21096,5820,-20172,155
1729739479.7134013,RIGHT_HAND,-272,7676,-5140,-9204,6907,-12139,156
1729739479.7142434,RIGHT_HAND,172,7328,-5028,2845,7513,-5613,157
1729739479.7584167,RIGHT_HAND,-76,8700,-3568,13464,5736,1283,158
1729739479.8035898,RIGHT_HAND,-108,10648,496,25459,1580,9067,159
1729739479.8053658,RIGHT_HAND,-1376,11324,4812,32767,-1158,16229,160
1729739479.848422,RIGHT_HAND,-3052,13060,7420,32767,-6114,21570,161
1729739479.893438,RIGHT_HAND,-5180,17100,11360,32767,-14481,26876,162
1729739479.9384217,RIGHT_HAND,-5576,24116,19648,32767,-14829,30801,163
1729739479.9393544,RIGHT_HAND,-7048,32767,31000,32767,-19227,32767,164
1729739480.0236435,RIGHT_HAND,-10108,32767,32767,32767,-25211,32767,165
1729739480.0267131,RIGHT_HAND,-9192,32767,32767,32767,-32768,30384,166
1729739480.0269842,RIGHT_HAND,-10296,32767,32767,32767,-32768,28245,167
1729739480.0712924,RIGHT_HAND,-11804,32767,29652,32767,-31050,22152,168
1729739480.1179652,RIGHT_HAND,-9300,28388,20476,32767,-19958,8613,169
1729739480.1196547,RIGHT_HAND,-4900,19216,15136,32767,-8796,948,170
1729739480.1624215,RIGHT_HAND,-2184,15420,10116,32767,-1996,-1693,171
1729739480.2071083,RIGHT_HAND,-2124,12068,10308,25546,-307,-6,172
1729739480.2079294,RIGHT_HAND,-1684,9084,9580,18651,-1772,1285,173
1729739480.2530043,RIGHT_HAND,-1700,6908,10352,10576,-2635,-207,174
1729739480.2990184,RIGHT_HAND,-1820,8552,12080,3399,-1345,-2023,175
1729739480.300844,RIGHT_HAND,-2064,7980,11640,-2937,3000,-2424,176
1729739480.3421836,RIGHT_HAND,-2520,8076,11860,-16202,4327,-2111,177
1729739480.3871112,RIGHT_HAND,-2888,12208,11724,-26803,7317,-2931,178
1729739480.3880546,RIGHT_HAND,-2464,16464,12652,-32092,11676,-4145,179
1729739480.4329133,RIGHT_HAND,-2256,20880,13780,-32768,13035,-5583,180
1729739480.4771888,RIGHT_HAND,-1368,26956,14320,-32768,14343,-8151,181
1729739480.4789712,RIGHT_HAND,-1352,32448,17720,-32768,12328,-10477,182
1729739480.52206,RIGHT_HAND,-1768,32767,20012,-32768,6414,-12563,183
1729739480.6127195,RIGHT_HAND,-3040,32767,18216,-32768,3194,-13305,184
1729739480.6142776,RIGHT_HAND,-2828,32767,13792,-32768,1768,-13482,185
1729739480.6572564,RIGHT_HAND,-2764,32767,12192,-32768,97,-12756,186
1729739480.6584466,RIGHT_HAND,-1956,32767,8996,-32768,-2394,-11847,187
1729739480.7031083,RIGHT_HAND,-1948,31656,4240,-29015,-2067,-7701,188
1729739480.7040496,RIGHT_HAND,-2184,29148,2324,-25641,5850,-4901,189
1729739480.7487457,RIGHT_HAND,28,25304,-424,-16828,11655,-4240,190
1729739480.7921894,RIGHT_HAND,2160,20928,-2208,-11679,12472,-170,191
1729739480.7931495,RIGHT_HAND,1448,17640,-3728,-9063,14688,2859,192
1729739480.8372834,RIGHT_HAND,3616,16696,-1812,-3740,13576,4548,193
1729739480.8825088,RIGHT_HAND,4108,16772,564,4386,6998,8361,194
1729739480.883455,RIGHT_HAND,2024,17096,1548,8478,2057,12977,195
1729739480.92862,RIGHT_HAND,-388,18260,2172,11258,1046,16129,196
1729739480.9732249,RIGHT_HAND,-2252,20940,4140,13088,2280,18152,197
1729739480.9744222,RIGHT_HAND,-4612,23164,8264,17617,2031,19542,198
1729739481.017271,RIGHT_HAND,-6272,22028,8680,23170,-3560,17881,199
1729739481.063508,RIGHT_HAND,-6152,23552,9456,24418,-9324,16570,200
1729739481.0646837,RIGHT_HAND,-10708,23208,11668,28361,-12631,15504,201
1729739481.1085773,RIGHT_HAND,-10268,21316,11920,29286,-8652,10911,202
1729739481.1535535,RIGHT_HAND,-8720,19864,10864,27217,-3876,8333,203
1729739481.1546266,RIGHT_HAND,-7564,18736,9000,22622,1600,5798,204
1729739481.1972902,RIGHT_HAND,-7068,16828,9088,18609,7007,5319,205
1729739481.2435486,RIGHT_HAND,-6112,15544,8124,15492,9822,5371,206
1729739481.244616,RIGHT_HAND,-5576,14264,7016,12082,13129,5786,207
1729739481.287288,RIGHT_HAND,-5332,13612,6540,9899,16147,6335,208
1729739481.3334277,RIGHT_HAND,-5368,13564,6492,7449,18186,6643,209
1729739481.3346379,RIGHT_HAND,-4960,13360,6264,5737,18904,6302,210
1729739481.3785481,RIGHT_HAND,-4532,12200,5776,4670,17798,5114,211
1729739481.4682224,RIGHT_HAND,-4152,11216,4924,2323,15035,2800,212
