time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739414.2176127,RIGHT_LEG,15952,-836,5348,-572,-352,125,41
1729739414.2597227,RIGHT_LEG,16060,-844,5528,-717,-418,106,43
1729739414.3102167,RIGHT_LEG,15996,-948,5128,-1011,-398,119,45
1729739414.404375,RIGHT_LEG,15908,-1100,5380,-522,-312,76,47
1729739414.4391432,RIGHT_LEG,15784,-868,5424,-378,-274,109,49
1729739414.487142,RIGHT_LEG,15996,-788,5280,-708,-282,30,50
1729739414.4881754,RIGHT_LEG,16084,-968,5308,-534,-377,344,51
1729739414.5293632,RIGHT_LEG,15908,-964,5348,-393,-320,458,52
1729739414.584474,RIGHT_LEG,16112,-940,5216,-210,-156,549,53
1729739414.5854115,RIGHT_LEG,16088,-996,5084,-189,110,753,54
1729739414.6205478,RIGHT_LEG,16056,-1424,5060,47,309,806,55
1729739414.664351,RIGHT_LEG,16104,-1348,4904,334,727,750,56
1729739414.7104986,RIGHT_LEG,16368,-1064,4096,937,1750,743,57
1729739414.7115922,RIGHT_LEG,16236,-1392,5300,919,2609,917,58
1729739414.7554429,RIGHT_LEG,16016,-1432,6472,869,2718,1186,59
1729739414.7997708,RIGHT_LEG,15928,-1848,6724,619,2676,1518,60
1729739414.8009272,RIGHT_LEG,14996,-988,7280,230,2121,1703,61
1729739414.8453379,RIGHT_LEG,14884,-720,7896,-889,1347,1280,62
1729739414.8894248,RIGHT_LEG,15488,-1684,8244,-1225,146,1309,63
1729739414.8905966,RIGHT_LEG,16256,756,8856,-1503,555,1477,64
1729739414.9793649,RIGHT_LEG,13676,6520,14880,-4367,2429,-634,65
1729739415.0251687,RIGHT_LEG,10948,12308,20444,-20669,14027,-14356,66
1729739415.0260742,RIGHT_LEG,10852,14860,22360,-32768,27517,-27758,67
1729739415.0269747,RIGHT_LEG,10328,14632,25804,-30094,32767,-30228,68
1729739415.1153646,RIGHT_LEG,10496,11692,21420,-2425,32767,-23393,69
1729739415.116756,RIGHT_LEG,13068,10040,10996,12332,32767,-22335,70
1729739415.1592884,RIGHT_LEG,16384,3296,3156,10873,27007,-24665,71
1729739415.16021,RIGHT_LEG,19816,4672,2836,6816,16071,-23925,72
1729739415.1610835,RIGHT_LEG,21488,12,-124,4848,7250,-18271,73
1729739415.2054105,RIGHT_LEG,17100,1496,2660,-733,-2545,-16199,74
1729739415.2495604,RIGHT_LEG,20692,11456,15868,-2875,-239,-14350,75
1729739415.2507484,RIGHT_LEG,16900,-1304,6404,8275,-9396,-8109,76
1729739415.2953079,RIGHT_LEG,15956,-6664,4960,-3860,-11652,-7466,77
1729739415.3401864,RIGHT_LEG,15772,-2152,5632,-8199,-14359,-4586,78
1729739415.3412023,RIGHT_LEG,16200,-9248,18560,5960,1426,716,79
1729739415.3943353,RIGHT_LEG,11440,8688,32767,-8933,7604,-7209,80
1729739415.4293444,RIGHT_LEG,4484,3612,12932,5166,6011,-1933,81
1729739415.483689,RIGHT_LEG,2028,5784,12052,9926,1033,2142,82
1729739415.4850836,RIGHT_LEG,2140,3288,13780,6115,592,3017,83
1729739415.5202894,RIGHT_LEG,1660,5404,15192,-1269,684,1643,84
1729739415.60924,RIGHT_LEG,-1716,11792,18252,-4474,1450,-1315,85
1729739415.6104066,RIGHT_LEG,-188,12248,17948,4271,2356,310,86
1729739415.6595118,RIGHT_LEG,1188,9204,12900,3960,2590,588,87
1729739415.6604118,RIGHT_LEG,2800,7408,15188,5293,1643,1379,88
1729739415.6612923,RIGHT_LEG,3972,5848,17368,2997,2184,1041,89
1729739415.7005951,RIGHT_LEG,5820,5928,15924,1092,2941,126,90
1729739415.7475634,RIGHT_LEG,4012,6716,13828,2999,1725,1513,91
1729739415.7893357,RIGHT_LEG,4716,6996,14548,4554,833,2669,92
1729739415.8352563,RIGHT_LEG,5200,6556,14440,3360,443,2895,93
1729739415.9254825,RIGHT_LEG,4636,7964,14292,1068,188,1594,94
1729739415.9263813,RIGHT_LEG,4268,7928,14328,567,-202,1469,95
1729739415.9272609,RIGHT_LEG,4644,8280,14124,-994,-445,1289,96
1729739415.9694903,RIGHT_LEG,6164,8260,13828,-1107,-840,1546,97
1729739415.9706564,RIGHT_LEG,6180,8012,15072,-216,-1688,1697,98
1729739416.0153408,RIGHT_LEG,6576,6448,14416,-851,-1947,2906,99
1729739416.060533,RIGHT_LEG,6876,8400,15680,-415,-1817,3593,100
1729739416.061487,RIGHT_LEG,8476,7624,20420,-1521,427,5829,101
1729739416.10552,RIGHT_LEG,5204,4948,21936,-7672,3858,-633,102
1729739416.1505415,RIGHT_LEG,7388,5664,16292,-7517,5849,-1817,103
1729739416.1514795,RIGHT_LEG,6088,3072,10416,-10906,5818,-1858,104
1729739416.1975672,RIGHT_LEG,6796,4452,11684,-8739,2312,1644,105
1729739416.240302,RIGHT_LEG,5604,5692,13872,-1111,-1288,7242,106
1729739416.3295066,RIGHT_LEG,5780,1516,12832,-3140,-3143,9938,107
1729739416.330601,RIGHT_LEG,7056,1740,12664,-14009,-4117,8911,108
1729739416.3755138,RIGHT_LEG,7260,4192,14096,-13547,-5748,10833,109
1729739416.3764586,RIGHT_LEG,8752,3384,15212,-5602,-7532,14835,110
1729739416.4204218,RIGHT_LEG,9928,2752,15168,302,-8824,17833,111
1729739416.4215868,RIGHT_LEG,10372,3912,10984,4999,-9844,20359,112
1729739416.4745188,RIGHT_LEG,10560,2168,9928,5859,-10828,21479,113
1729739416.4756067,RIGHT_LEG,11464,3236,9956,1077,-12611,18899,114
