time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739591.4340749,RIGHT_HAND,-2532,15900,-284,-627,836,-80,117
1729739591.4355145,RIGHT_HAND,-2256,16132,-880,-720,341,-274,119
1729739591.5244045,RIGHT_HAND,-3976,21228,-14096,4361,-533,-4525,121
1729739591.614138,RIGHT_HAND,1032,28280,-23208,16249,12028,2733,123
1729739591.6601722,RIGHT_HAND,1924,31964,-19316,23152,10841,12172,125
1729739591.7485406,RIGHT_HAND,844,32767,-7752,29106,9290,16718,127
1729739591.7487617,RIGHT_HAND,860,30300,-5504,31203,-673,16071,128
1729739591.8381455,RIGHT_HAND,-824,27140,-2168,29989,-6277,14389,129
1729739591.8390326,RIGHT_HAND,-3112,22820,224,32767,-5954,14029,130
1729739591.8399248,RIGHT_HAND,-4076,16200,1468,32767,-4871,13760,131
1729739591.841044,RIGHT_HAND,-3224,10968,2060,29001,-3826,11111,132
1729739591.8420281,RIGHT_HAND,-3284,6812,2056,25477,-4531,8521,133
1729739591.8844132,RIGHT_HAND,-2064,2380,-428,22608,-4284,5547,134
1729739591.9293213,RIGHT_HAND,-1848,1404,-4216,21089,592,4418,135
1729739591.9743805,RIGHT_HAND,-432,-3220,-6208,17059,4040,4253,136
1729739591.975436,RIGHT_HAND,560,-4076,-9140,11470,12208,3000,137
1729739592.064297,RIGHT_HAND,1700,-5224,-4924,2743,12758,2083,138
1729739592.1095016,RIGHT_HAND,2568,-4896,-5872,-3770,4922,-369,139
1729739592.110444,RIGHT_HAND,2040,-2644,-6100,-6050,1118,-3967,140
1729739592.1113718,RIGHT_HAND,1088,-1608,-4512,-7359,-2126,-4326,141
1729739592.154585,RIGHT_HAND,720,-1016,-6368,-9875,-2041,-5240,142
1729739592.1995301,RIGHT_HAND,-168,812,-6004,-14366,-1174,-7321,143
1729739592.2006323,RIGHT_HAND,280,2208,-7148,-19226,1939,-9487,144
1729739592.2893353,RIGHT_HAND,128,4720,-7164,-23469,2482,-11016,145
1729739592.3332868,RIGHT_HAND,1688,8592,-9088,-27257,5413,-13645,146
1729739592.3342137,RIGHT_HAND,2704,13056,-9924,-24692,3906,-13380,147
1729739592.3794186,RIGHT_HAND,2860,14092,-10136,-21079,3661,-11664,148
1729739592.5132675,RIGHT_HAND,3588,15400,-11108,-23784,4592,-10982,149
1729739592.5145547,RIGHT_HAND,3376,18516,-12912,-27892,4980,-10855,150
1729739592.5158055,RIGHT_HAND,3156,21824,-12340,-27909,11061,-11143,151
1729739592.5167756,RIGHT_HAND,4648,23044,-8292,-22486,7127,-10705,152
1729739592.5595455,RIGHT_HAND,4284,22248,-12532,-18566,6080,-10109,153
1729739592.5609126,RIGHT_HAND,3248,22816,-10012,-21503,7699,-9617,154
1729739592.6042755,RIGHT_HAND,4968,23164,-12136,-17165,10282,-10783,155
1729739592.6052103,RIGHT_HAND,5340,22564,-8384,-14834,11656,-8567,156
1729739592.648326,RIGHT_HAND,6744,22160,-5900,-11680,3616,-7308,157
1729739592.739278,RIGHT_HAND,5868,19288,-9692,-8956,-745,-7912,158
1729739592.740205,RIGHT_HAND,4232,20152,-7360,-13059,-688,-7465,159
1729739592.7841468,RIGHT_HAND,3420,20928,-3756,-9149,-2616,-6016,160
1729739592.785054,RIGHT_HAND,2760,18504,-6288,-5599,-2182,-4754,161
1729739592.7859528,RIGHT_HAND,1584,17808,-5360,-7147,-1099,-2975,162
1729739592.829204,RIGHT_HAND,876,19432,-6792,-5735,5635,-2976,163
1729739592.874296,RIGHT_HAND,588,19164,-5780,-3936,16413,1218,164
1729739592.875491,RIGHT_HAND,2120,17824,-3808,-4234,20246,4871,165
1729739592.966214,RIGHT_HAND,2956,17228,-1040,-3628,12685,4303,166
1729739593.0084763,RIGHT_HAND,2624,17176,368,-837,3634,2276,167
1729739593.0093133,RIGHT_HAND,1224,16176,360,2127,-1939,101,168
1729739593.0096743,RIGHT_HAND,352,15732,-428,2531,-4353,-1070,169
1729739593.05355,RIGHT_HAND,-184,15744,-564,1943,-3823,-1248,170
1729739593.098738,RIGHT_HAND,-648,15664,-820,888,-1935,-694,171
1729739593.099057,RIGHT_HAND,-624,15844,-692,-620,803,-62,172
1729739593.1893477,RIGHT_HAND,-312,16060,-624,-1349,2869,205,173
1729739593.2345185,RIGHT_HAND,96,16132,-528,-1648,3327,89,174
1729739593.2354283,RIGHT_HAND,476,16188,-800,-1607,2737,-80,175
1729739593.2363193,RIGHT_HAND,744,16416,-904,-1258,2163,-119,176
1729739593.2793083,RIGHT_HAND,892,16548,-852,-956,872,51,177
1729739593.280477,RIGHT_HAND,796,16424,-976,-637,-183,-150,178
1729739593.3245816,RIGHT_HAND,716,16312,-780,-355,-1211,-285,179
1729739593.4142003,RIGHT_HAND,440,16324,-768,-313,-1779,-267,180
1729739593.415362,RIGHT_HAND,168,16292,-660,-353,-1813,-169,181
1729739593.459511,RIGHT_HAND,68,16112,-700,-501,-1569,-119,182
1729739593.4604135,RIGHT_HAND,72,16240,-600,-740,-1223,-108,183
1729739593.4612994,RIGHT_HAND,36,16196,-732,-871,-916,-162,184
