time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739680.5012496,RIGHT_LEG,15948,-876,5720,-375,-369,-35,225
1729739680.5923111,RIGHT_LEG,15948,-932,5440,-386,-554,244,227
1729739680.5939085,RIGHT_LEG,15772,-800,5764,-849,-432,264,229
1729739680.6812465,RIGHT_LEG,15888,-1148,5736,-934,-492,433,231
1729739680.725555,RIGHT_LEG,15944,-1148,5628,-749,-333,346,233
1729739680.8171077,RIGHT_LEG,15924,-1304,5688,-633,-350,360,234
1729739680.8179224,RIGHT_LEG,15776,-1348,5448,-445,-387,293,235
1729739680.8186948,RIGHT_LEG,15676,-1228,5668,-365,-423,160,236
1729739680.862723,RIGHT_LEG,15776,-1500,5748,-272,-611,15,237
1729739680.9063528,RIGHT_LEG,15804,-1656,5484,97,-612,-81,238
1729739680.9073892,RIGHT_LEG,15792,-1360,5708,222,-553,-365,239
1729739680.9512622,RIGHT_LEG,15844,-872,5844,11,-776,-382,240
1729739681.0410292,RIGHT_LEG,15892,-892,5616,-407,-997,-308,241
1729739681.0419996,RIGHT_LEG,15924,-912,5344,-655,-1029,-296,242
1729739681.0861802,RIGHT_LEG,15968,-856,5236,-684,-981,-166,243
1729739681.0871496,RIGHT_LEG,15932,-864,5160,-746,-944,-46,244
1729739681.1313736,RIGHT_LEG,16044,-948,5248,-724,-859,104,245
1729739681.1323342,RIGHT_LEG,16020,-1060,5204,-626,-805,180,246
1729739681.1762383,RIGHT_LEG,16008,-1136,5080,-541,-801,198,247
1729739681.2659798,RIGHT_LEG,16036,-1128,5180,-473,-736,201,248
1729739681.2664185,RIGHT_LEG,16168,-1048,5004,-326,-679,150,249
1729739681.3111281,RIGHT_LEG,16012,-1116,5108,-177,-559,135,250
1729739681.312225,RIGHT_LEG,16068,-1132,5024,-130,-433,48,251
1729739681.3138454,RIGHT_LEG,16148,-1128,5000,-102,-311,19,252
1729739681.3562896,RIGHT_LEG,16012,-1136,5068,-62,-201,-25,253
1729739681.4011588,RIGHT_LEG,16036,-996,5016,-129,-140,10,254
1729739681.4025059,RIGHT_LEG,16036,-932,5276,-240,-52,36,255
1729739681.491254,RIGHT_LEG,16148,-1032,5292,-272,-94,107,1
1729739681.5363636,RIGHT_LEG,16012,-1120,5028,-253,37,117,2
1729739681.539083,RIGHT_LEG,15912,-1044,5212,-300,67,79,3
1729739681.5401008,RIGHT_LEG,15876,-1024,5344,-338,-33,110,4
1729739681.5411508,RIGHT_LEG,15800,-972,5352,-428,-99,148,5
1729739681.5815487,RIGHT_LEG,15972,-804,5376,-645,-170,182,6
1729739681.6264074,RIGHT_LEG,16044,-776,5440,-663,-215,332,7
1729739681.717099,RIGHT_LEG,15980,-1352,5108,-419,-191,352,8
1729739681.7190876,RIGHT_LEG,15992,-1128,5304,-471,-82,102,9
1729739681.7611973,RIGHT_LEG,15832,-1052,5320,-464,-44,165,10
1729739681.7622197,RIGHT_LEG,15964,-1304,5476,-500,-129,99,11
1729739681.8062062,RIGHT_LEG,15920,-1116,5408,-399,-127,67,12
1729739681.8071418,RIGHT_LEG,15968,-1276,5364,-365,-62,34,13
1729739681.8527348,RIGHT_LEG,15960,-1112,5372,-336,-29,-25,14
1729739681.9412155,RIGHT_LEG,15896,-1120,5384,-299,24,-8,15
1729739681.9423966,RIGHT_LEG,15920,-1212,5252,-356,90,-26,16
1729739681.9863374,RIGHT_LEG,15844,-1132,5400,-285,61,25,17
1729739681.9873025,RIGHT_LEG,15816,-1064,5660,-403,-25,4,18
1729739681.988172,RIGHT_LEG,15756,-1004,5620,-458,-92,49,19
1729739682.0321662,RIGHT_LEG,15768,-1136,5584,-442,-143,43,20
1729739682.0764313,RIGHT_LEG,15876,-1120,5552,-506,-191,-38,21
1729739682.0773733,RIGHT_LEG,15984,-1104,5504,-469,-200,4,22
1729739682.1663628,RIGHT_LEG,15904,-1064,5432,-455,-189,-21,23
1729739682.1681516,RIGHT_LEG,15812,-1112,5584,-443,-199,-16,24
1729739682.1692853,RIGHT_LEG,15940,-1188,5520,-446,-169,-19,25
1729739682.2113626,RIGHT_LEG,15888,-1036,5428,-392,-192,-2,26
1729739682.256535,RIGHT_LEG,15956,-1020,5468,-419,-158,14,27
1729739682.2576013,RIGHT_LEG,15840,-1080,5668,-496,-240,18,28
1729739682.3912697,RIGHT_LEG,15832,-1076,5560,-485,-262,39,29
1729739682.393172,RIGHT_LEG,15844,-1112,5472,-476,-287,25,30
1729739682.3940358,RIGHT_LEG,15920,-1124,5636,-437,-244,45,31
1729739682.3949015,RIGHT_LEG,15920,-1140,5484,-397,-237,50,32
1729739682.4813848,RIGHT_LEG,15880,-1128,5708,-392,-230,26,33
1729739682.5264974,RIGHT_LEG,15928,-1164,5536,-412,-231,39,34
1729739682.5276604,RIGHT_LEG,15852,-1036,5636,-431,-260,24,35
1729739682.615608,RIGHT_LEG,15908,-1140,5620,-450,-257,46,36
