time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740068.8232527,RIGHT_HAND,-2452,16404,-3108,-5289,582,3609,122
1729740068.8711224,RIGHT_HAND,-1256,11684,-2272,4113,9208,-3520,124
1729740068.9590924,RIGHT_HAND,-8080,21228,-2372,-2651,-464,-3644,126
1729740069.0042136,RIGHT_HAND,-12924,30288,-2760,5991,8975,-32768,128
1729740069.0944126,RIGHT_HAND,-10108,28648,-4404,26858,-7782,-32768,130
1729740069.1393864,RIGHT_HAND,-6688,21112,-1552,32767,-10466,-32768,132
1729740069.1841595,RIGHT_HAND,-6508,16080,1424,32767,-11654,-32768,133
1729740069.1852224,RIGHT_HAND,-7036,10496,676,32767,-14948,-32768,134
1729740069.22813,RIGHT_HAND,-7284,4332,-720,32767,-13369,-32768,135
1729740069.2724411,RIGHT_HAND,-8204,-2856,532,32767,-7107,-32768,136
1729740069.2727585,RIGHT_HAND,-6820,-21528,1632,32767,-4207,-27444,137
1729740069.3181422,RIGHT_HAND,-11672,-28764,5440,-530,10458,-32768,138
1729740069.3641996,RIGHT_HAND,-9784,-21192,6400,-15612,7073,-31604,139
1729740069.3653374,RIGHT_HAND,-12124,-22204,272,-4195,1704,-32768,140
1729740069.4091053,RIGHT_HAND,-11784,-27940,1464,-9689,6439,-32768,141
1729740069.4545338,RIGHT_HAND,-9260,-26256,5952,-12501,11385,-32768,142
1729740069.4557946,RIGHT_HAND,-6116,-24028,5336,-10147,16786,-32768,143
1729740069.4982789,RIGHT_HAND,-3880,-21716,4160,-9984,19054,-25788,144
1729740069.5442696,RIGHT_HAND,-1316,-17892,2972,-11301,12786,-14417,145
1729740069.5455065,RIGHT_HAND,48,-12680,924,-12425,7824,-2158,146
1729740069.588567,RIGHT_HAND,340,-5956,-1816,-15728,7705,10765,147
1729740069.6342313,RIGHT_HAND,-32,1608,-2388,-21374,5786,20540,148
1729740069.635195,RIGHT_HAND,436,7392,-5680,-27758,15759,29558,149
1729740069.6793234,RIGHT_HAND,1708,10656,1100,-29106,27499,28790,150
1729740069.7242417,RIGHT_HAND,2668,13732,3380,-18695,16182,23520,151
1729740069.7260473,RIGHT_HAND,3012,8884,-2872,-5526,9254,19093,152
1729740069.768146,RIGHT_HAND,2128,4404,-5864,-3965,10882,9886,153
1729740069.813209,RIGHT_HAND,2460,1340,-4468,-8428,11039,156,154
1729740069.8582983,RIGHT_HAND,2520,1800,-2776,-18745,10315,-7079,155
1729740069.8592448,RIGHT_HAND,2248,3324,-3768,-29810,8742,-10559,156
1729740069.9032917,RIGHT_HAND,124,8204,-3616,-32615,2301,-6545,157
1729740069.9482148,RIGHT_HAND,460,10860,-7788,-32768,-4395,88,158
1729740069.9493806,RIGHT_HAND,-1252,9900,-13372,-29691,-11309,5864,159
1729740069.994203,RIGHT_HAND,-1484,13788,-21276,-32768,-5789,10201,160
1729740070.0401194,RIGHT_HAND,-2204,12752,-21308,-32768,3197,13443,161
1729740070.041372,RIGHT_HAND,-3052,17076,-18176,-32768,4783,10087,162
1729740070.0842235,RIGHT_HAND,-988,21628,-15416,-32768,4960,5326,163
1729740070.1295671,RIGHT_HAND,-636,28916,-10284,-32768,-6553,959,164
