time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740068.8181856,RIGHT_LEG,15900,-1444,6364,-719,-1389,383,171
1729740068.952405,RIGHT_LEG,16000,-1544,5268,-186,-842,280,173
1729740068.954876,RIGHT_LEG,15816,-1444,5920,-437,-545,130,175
1729740069.0423825,RIGHT_LEG,15900,-1200,5484,-885,-930,514,177
1729740069.0884538,RIGHT_LEG,15948,-1760,5392,-515,-612,311,179
1729740069.178183,RIGHT_LEG,15884,-1804,5192,-640,-277,5,180
1729740069.1790323,RIGHT_LEG,15868,-1744,5364,-605,39,-214,181
1729740069.2234209,RIGHT_LEG,15844,-1588,5252,-540,406,-235,182
1729740069.2242298,RIGHT_LEG,15920,-1292,5600,-789,470,-254,183
1729740069.2250211,RIGHT_LEG,15776,-1604,5844,-1100,359,-338,184
1729740069.269185,RIGHT_LEG,15644,-1492,6200,-935,114,-255,185
1729740069.3120077,RIGHT_LEG,15776,-1368,5876,-992,-188,-152,186
1729740069.3129826,RIGHT_LEG,15572,-1440,6060,-950,-646,23,187
1729740069.4023516,RIGHT_LEG,15648,-1508,5968,-807,-1009,165,188
1729740069.4062576,RIGHT_LEG,15848,-1392,5324,-730,-983,274,189
1729740069.4077866,RIGHT_LEG,15836,-1616,5376,-665,-896,225,190
1729740069.447386,RIGHT_LEG,15812,-1684,5656,-449,-954,284,191
1729740069.4921815,RIGHT_LEG,15832,-1636,5684,-232,-1070,281,192
1729740069.493572,RIGHT_LEG,15912,-1764,5544,116,-1164,382,193
1729740069.5375345,RIGHT_LEG,15928,-1728,5344,403,-1258,376,194
1729740069.6277773,RIGHT_LEG,16068,-1700,5432,547,-1208,350,195
1729740069.628801,RIGHT_LEG,15892,-1740,5196,626,-1121,304,196
1729740069.6297998,RIGHT_LEG,15964,-1748,5304,653,-1025,266,197
1729740069.6722066,RIGHT_LEG,15908,-1756,5136,580,-954,177,198
1729740069.7172434,RIGHT_LEG,15948,-1332,4700,426,-671,172,199
1729740069.7183285,RIGHT_LEG,15924,-1272,4968,214,-352,243,200
1729740069.7621171,RIGHT_LEG,15872,-1312,4956,-133,-91,233,201
1729740069.852231,RIGHT_LEG,15896,-1400,5084,-461,97,179,202
1729740069.8533201,RIGHT_LEG,16024,-1588,5412,-657,118,111,203
1729740069.854498,RIGHT_LEG,15888,-1544,5288,-774,136,107,204
1729740069.8557835,RIGHT_LEG,15800,-1668,5540,-837,58,60,205
1729740069.8971817,RIGHT_LEG,15900,-1640,5488,-926,-128,93,206
1729740069.9443893,RIGHT_LEG,15848,-1784,5196,-889,-226,102,207
1729740069.9879365,RIGHT_LEG,15884,-1572,5400,-1054,-287,50,208
1729740069.9889836,RIGHT_LEG,15952,-1628,5524,-1254,-483,100,209
1729740070.0772574,RIGHT_LEG,15908,-1684,5464,-1074,-673,258,210
1729740070.0791624,RIGHT_LEG,15936,-1608,5236,-1136,-848,270,211
1729740070.0800645,RIGHT_LEG,15844,-1564,5184,-1229,-866,354,212
1729740070.1233797,RIGHT_LEG,16036,-1992,5040,-1254,-815,348,213
1729740070.168553,RIGHT_LEG,16044,-1924,4792,-932,-622,338,214
1729740070.169493,RIGHT_LEG,16084,-2076,4772,-524,-306,280,215
1729740070.2136176,RIGHT_LEG,16080,-1824,4888,-413,-107,185,216
1729740070.303599,RIGHT_LEG,15896,-1896,5084,-476,30,126,217
1729740070.3485632,RIGHT_LEG,15992,-2020,5144,-450,111,77,218
1729740070.3496268,RIGHT_LEG,16020,-2000,5000,-448,224,10,219
1729740070.3933249,RIGHT_LEG,15828,-1944,5428,-387,206,17,220
1729740070.4385622,RIGHT_LEG,15864,-1936,5540,-432,93,-9,221
1729740070.4396422,RIGHT_LEG,15996,-2016,5288,-392,-17,-42,222
1729740070.5275595,RIGHT_LEG,15932,-2000,5404,-327,-79,-101,223
1729740070.5290873,RIGHT_LEG,15924,-1860,5368,-275,-113,-200,224
1729740070.5300033,RIGHT_LEG,15836,-1928,5376,-270,-93,-272,225
1729740070.5722618,RIGHT_LEG,15888,-1812,5252,-191,-32,-261,226
1729740070.6185374,RIGHT_LEG,15836,-1824,5312,-137,17,-289,227
1729740070.619614,RIGHT_LEG,15876,-1600,5552,-40,-56,-244,228
1729740070.663566,RIGHT_LEG,15780,-1632,5504,-85,-91,-228,229
1729740070.7532995,RIGHT_LEG,15812,-1728,5428,-145,-45,-225,230
1729740070.7544594,RIGHT_LEG,15864,-1664,5364,-192,29,-258,231
1729740070.7985065,RIGHT_LEG,15900,-1628,5488,-205,71,-280,232
1729740070.7994046,RIGHT_LEG,15916,-1644,5436,-125,117,-250,233
1729740070.8002827,RIGHT_LEG,15880,-1652,5472,-114,92,-234,234
1729740070.8430698,RIGHT_LEG,15820,-1680,5604,-141,95,-264,235
1729740070.8884945,RIGHT_LEG,15856,-1564,5560,-52,77,-233,236
1729740070.8896449,RIGHT_LEG,15916,-1540,5652,-21,68,-233,237
1729740070.977295,RIGHT_LEG,15716,-1408,5732,-36,32,-227,238
1729740070.9792259,RIGHT_LEG,15800,-1456,5708,-63,3,-209,239
1729740070.9801264,RIGHT_LEG,15752,-1488,5812,-145,-45,-224,240
1729740071.0235367,RIGHT_LEG,15728,-1392,5796,-150,-107,-228,241
1729740071.0685506,RIGHT_LEG,15712,-1360,5860,-188,-182,-179,242
1729740071.113498,RIGHT_LEG,15720,-1352,5828,-238,-246,-140,243
1729740071.1144402,RIGHT_LEG,15808,-1320,5676,-203,-214,-131,244
1729740071.2023659,RIGHT_LEG,15928,-1460,5700,-161,-132,-149,245
