time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740272.4155536,RIGHT_HAND,-2176,15808,472,-452,1151,86,174
1729740272.4623659,RIGHT_HAND,-2668,15796,384,-636,1130,461,176
1729740272.553112,RIGHT_HAND,-10800,17720,-7292,-2735,5119,3777,178
1729740272.598357,RIGHT_HAND,-18296,21256,-12992,4542,32767,1664,180
1729740272.688039,RIGHT_HAND,-12244,26072,-15072,21277,32257,-9677,182
1729740272.7320805,RIGHT_HAND,-10164,28784,-12444,31761,9042,-16122,184
1729740272.7774503,RIGHT_HAND,-11228,29096,-11476,32767,4751,-18145,185
1729740272.7782676,RIGHT_HAND,-10236,27176,-8116,32767,11323,-17973,186
1729740272.8221076,RIGHT_HAND,-7964,24736,-4536,32767,20049,-14003,187
1729740272.866531,RIGHT_HAND,-5676,20452,-1580,29459,26217,-9274,188
1729740272.866791,RIGHT_HAND,-4196,18056,1548,21666,23232,-7754,189
1729740272.9129012,RIGHT_HAND,-4656,17592,3228,16240,14422,-13034,190
1729740272.9584649,RIGHT_HAND,-5300,16740,3344,14735,8993,-21344,191
1729740272.9595773,RIGHT_HAND,-4552,14856,2028,12821,3945,-30072,192
1729740273.0018432,RIGHT_HAND,-1200,9424,-1972,14509,3203,-32768,193
1729740273.0475426,RIGHT_HAND,1320,6420,-8280,8716,1312,-32173,194
1729740273.0477579,RIGHT_HAND,6332,2092,-11288,6261,11892,-28998,195
1729740273.0915987,RIGHT_HAND,10984,-3472,-11532,13095,15381,-15402,196
1729740273.1372948,RIGHT_HAND,9896,-6120,-15484,2424,13672,-13012,197
1729740273.1831844,RIGHT_HAND,10380,-4868,-17404,-5230,8465,-11999,198
1729740273.1841092,RIGHT_HAND,11252,-4016,-15744,256,-609,-8450,199
1729740273.227898,RIGHT_HAND,11584,-6608,-18088,2920,-8383,-3144,200
1729740273.2737963,RIGHT_HAND,14344,-9148,-18936,-197,-1359,4423,201
1729740273.275251,RIGHT_HAND,14536,-8468,-17040,-3711,3296,13319,202
1729740273.3173614,RIGHT_HAND,11652,-5388,-17476,-7180,7054,22175,203
1729740273.3632338,RIGHT_HAND,8672,-956,-15972,-10940,10385,27186,204
1729740273.3641398,RIGHT_HAND,5100,2636,-13384,-16732,8063,28912,205
1729740273.4085667,RIGHT_HAND,2040,8112,-17536,-23458,4123,27493,206
1729740273.4532428,RIGHT_HAND,96,16940,-16396,-27127,17277,29414,207
1729740273.4542115,RIGHT_HAND,2816,15932,-8964,-10361,8382,22722,208
1729740273.498046,RIGHT_HAND,1892,11164,-5972,-5107,-703,15414,209
1729740273.5431113,RIGHT_HAND,672,6472,-4536,-4325,-13084,6500,210
1729740273.5441124,RIGHT_HAND,700,6216,-7860,-5369,-20464,-50,211
1729740273.5884352,RIGHT_HAND,992,7128,-8612,-9353,-13096,-2417,212
1729740273.6331,RIGHT_HAND,956,7188,-6620,-12494,-8879,59,213
1729740273.6340263,RIGHT_HAND,668,8228,-8596,-15407,-6681,2761,214
1729740273.6781704,RIGHT_HAND,-284,9460,-9516,-20207,-2664,5001,215
1729740273.7221332,RIGHT_HAND,-696,12764,-11572,-23068,3910,4612,216
1729740273.7670963,RIGHT_HAND,-232,13700,-14500,-18073,-2281,5052,217
1729740273.7680097,RIGHT_HAND,360,15776,-16468,-25349,2178,7159,218
1729740273.8128335,RIGHT_HAND,-104,15708,-10312,-26591,-6967,6074,219
1729740273.8140128,RIGHT_HAND,-376,18028,-18900,-24273,-11391,3467,220
1729740273.8582535,RIGHT_HAND,-1864,19948,-14232,-30169,-3985,3500,221
1729740273.902236,RIGHT_HAND,-524,20376,-10844,-23209,-13088,1914,222
1729740273.9478998,RIGHT_HAND,-1776,21348,-16044,-19375,-8654,117,223
1729740273.9490483,RIGHT_HAND,-1820,21948,-6696,-19622,-733,1041,224
1729740273.9929242,RIGHT_HAND,-532,17652,-9040,-8919,-16882,106,225
