time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448926.6027296,RIGHT_HAND,-6080,15668,-4128,-1266,1381,588,127
1730448926.7360444,RIGHT_HAND,-11660,16732,-5864,-1441,20053,-924,129
1730448926.7813625,RIGHT_HAND,-13612,18116,-9380,8552,6447,-13361,131
1730448926.782582,RIGHT_HAND,-19184,19736,-9184,12239,1608,-22562,133
1730448926.8715074,RIGHT_HAND,-19992,23012,-8052,11327,23706,-24629,135
1730448926.9167123,RIGHT_HAND,-13356,24188,-5008,17927,24953,-24781,137
1730448926.9614995,RIGHT_HAND,-10312,21908,-4752,20478,22308,-23883,138
1730448926.9627302,RIGHT_HAND,-7500,19328,-4852,20723,20410,-22051,139
1730448927.0068016,RIGHT_HAND,-4172,17072,-4516,20779,22330,-17976,140
1730448927.0517423,RIGHT_HAND,-1520,15184,-3148,18989,22627,-13611,141
1730448927.0528958,RIGHT_HAND,416,12844,-2280,15808,21869,-10846,142
1730448927.0967107,RIGHT_HAND,620,11176,-1772,12796,20358,-10114,143
1730448927.1418743,RIGHT_HAND,460,10184,1272,7851,14743,-12380,144
1730448927.1431184,RIGHT_HAND,-44,11100,-580,5285,9228,-15477,145
1730448927.1865935,RIGHT_HAND,1524,9664,-2804,7700,5891,-14299,146
1730448927.2317414,RIGHT_HAND,-648,7380,-7268,11081,1374,-9648,147
1730448927.276906,RIGHT_HAND,-1172,448,-8604,16369,-2469,-9186,148
1730448927.2779887,RIGHT_HAND,-176,-6892,-15960,12442,-6446,-8563,149
1730448927.3219984,RIGHT_HAND,1268,-8692,-15868,-1957,-9515,-5711,150
1730448927.3669074,RIGHT_HAND,676,-8344,-15424,-6463,-15599,-1975,151
1730448927.3679922,RIGHT_HAND,-716,-9028,-20912,2644,-12918,2368,152
1730448927.4131796,RIGHT_HAND,-748,-13908,-19588,141,-8008,6505,153
1730448927.456874,RIGHT_HAND,-1664,-18452,-21612,733,-9107,6296,154
1730448927.4580703,RIGHT_HAND,-2832,-19000,-23492,-3272,-6567,5384,155
1730448927.5031824,RIGHT_HAND,-4940,-17684,-22432,-2597,-2832,4618,156
1730448927.5468974,RIGHT_HAND,-6400,-13884,-20800,-2295,-1799,3623,157
1730448927.548113,RIGHT_HAND,-7824,-10416,-18624,-1105,252,4124,158
1730448927.59197,RIGHT_HAND,-8760,-7732,-18948,143,1105,4081,159
1730448927.636743,RIGHT_HAND,-8216,-4228,-18080,-330,5311,5707,160
1730448927.6378944,RIGHT_HAND,-7092,-752,-15636,554,8565,8171,161
1730448927.6829388,RIGHT_HAND,-5116,1652,-13564,-535,8959,9995,162
1730448927.7267497,RIGHT_HAND,-3500,4016,-11180,-3511,10405,11161,163
1730448927.727707,RIGHT_HAND,-1172,5352,-10808,-7450,7415,12049,164
1730448927.771855,RIGHT_HAND,-208,7952,-7240,-9817,2936,11249,165
1730448927.8164964,RIGHT_HAND,136,8336,-7148,-8506,-743,10708,166
1730448927.8173351,RIGHT_HAND,-352,7592,-6620,-6596,-1721,10226,167
1730448927.8644967,RIGHT_HAND,-740,6564,-7024,-8778,-2807,10238,168
1730448927.9064898,RIGHT_HAND,-1140,6664,-7972,-11795,-3219,10945,169
1730448927.9073324,RIGHT_HAND,-1596,7384,-8356,-13702,-5539,12547,170
1730448927.952293,RIGHT_HAND,-3064,7800,-8832,-15132,-8858,13911,171
1730448927.9955459,RIGHT_HAND,-4644,10092,-10388,-17416,-9032,15724,172
1730448928.0414698,RIGHT_HAND,-6656,12544,-9460,-22957,-7498,17281,173
1730448928.0425274,RIGHT_HAND,-7056,13688,-10884,-23087,-8812,16327,174
1730448928.087144,RIGHT_HAND,-8264,16536,-11204,-23441,-3332,15740,175
1730448928.1312158,RIGHT_HAND,-7868,17752,-9388,-23943,-1796,15139,176
1730448928.131522,RIGHT_HAND,-7236,18908,-10072,-23208,-892,13209,177
1730448928.1781387,RIGHT_HAND,-6880,20472,-9900,-23501,1632,11132,178
1730448928.2214773,RIGHT_HAND,-6476,21732,-10204,-23317,905,9186,179
1730448928.2224298,RIGHT_HAND,-5896,23740,-10468,-20607,485,7242,180
1730448928.266173,RIGHT_HAND,-5292,22920,-9532,-13828,2096,6569,181
1730448928.3118129,RIGHT_HAND,-3812,19412,-8308,-8418,-2792,5118,182
1730448928.3129826,RIGHT_HAND,-4372,17176,-10160,-8110,-8328,3621,183
1730448928.356907,RIGHT_HAND,-5956,17256,-9944,-10289,-7523,3286,184
1730448928.4017956,RIGHT_HAND,-6488,17476,-8508,-9251,-3099,3382,185
1730448928.4028888,RIGHT_HAND,-5280,16936,-6968,-6766,-906,2095,186
1730448928.4456618,RIGHT_HAND,-2552,16632,-5908,-4775,-4237,-511,187
1730448928.4916184,RIGHT_HAND,-1656,16616,-5448,-2342,-12863,-3454,188
1730448928.492796,RIGHT_HAND,-1788,16964,-4120,-958,-12266,-3140,189
1730448928.5368876,RIGHT_HAND,-2652,17188,-2468,103,-8119,-1477,190
1730448928.581845,RIGHT_HAND,-2256,16816,-1860,510,-2548,282,191
1730448928.5829444,RIGHT_HAND,-1272,16108,-2092,1111,2366,1223,192
1730448928.626896,RIGHT_HAND,-736,15532,-1552,295,1434,601,193
1730448928.6718423,RIGHT_HAND,-936,15716,-1000,-782,-891,-159,194
1730448928.6729426,RIGHT_HAND,-1360,16120,-476,-582,-1540,-281,195
1730448928.7169023,RIGHT_HAND,-1308,15804,-624,-120,-1532,-200,196
1730448928.7619781,RIGHT_HAND,-1004,16056,-876,-575,-1987,-338,197
1730448928.8070002,RIGHT_HAND,-984,16320,-688,-475,-3104,-532,198
1730448928.8080587,RIGHT_HAND,-900,16420,-1472,-238,-2442,-378,199
1730448928.85162,RIGHT_HAND,-996,16284,-1532,-479,-1456,-131,200
1730448928.8968568,RIGHT_HAND,-1164,16360,-1364,-429,-525,25,201
1730448928.8979473,RIGHT_HAND,-1152,16096,-1092,-226,-193,2,202
1730448928.9418664,RIGHT_HAND,-1164,16156,-964,-213,-51,-130,203
1730448928.9868155,RIGHT_HAND,-1192,16036,-1084,-201,255,-176,204
1730448928.9879777,RIGHT_HAND,-1032,16228,-1076,-431,969,-79,205
1730448929.0299015,RIGHT_HAND,-796,16388,-1232,-428,1458,46,206
1730448929.076487,RIGHT_HAND,-636,16364,-1148,-412,1280,72,207
1730448929.0773602,RIGHT_HAND,-672,16324,-968,-285,925,122,208
1730448929.1218154,RIGHT_HAND,-584,16096,-924,-334,539,174,209
1730448929.1667986,RIGHT_HAND,-676,16180,-836,-496,67,163,210
