time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740267.5105445,RIGHT_LEG,15820,-1224,5828,-659,-321,196,219
1729740267.6002467,RIGHT_LEG,15684,-1592,6060,-600,-397,204,221
1729740267.6453128,RIGHT_LEG,15664,-1320,6004,-555,-871,233,223
1729740267.6924717,RIGHT_LEG,15760,-1348,5912,-673,-1569,326,225
1729740267.7803457,RIGHT_LEG,16144,-1620,5528,-738,-1652,299,227
1729740267.7815304,RIGHT_LEG,16000,-1632,5384,-698,-1497,300,228
1729740267.8295817,RIGHT_LEG,16020,-1592,5156,-489,-1244,340,229
1729740267.8702567,RIGHT_LEG,16140,-1540,4756,-220,-925,383,230
1729740267.8714294,RIGHT_LEG,16112,-1816,4504,54,-326,303,231
1729740267.9153407,RIGHT_LEG,16112,-1428,4688,-44,453,39,232
1729740267.9606524,RIGHT_LEG,15924,-1544,5272,-332,814,-43,233
1729740267.9629028,RIGHT_LEG,15780,-1612,5508,-445,799,-81,234
1729740268.0053387,RIGHT_LEG,15664,-1520,5392,-653,831,-192,235
1729740268.0503867,RIGHT_LEG,15960,-1492,5868,-826,668,-262,236
1729740268.051664,RIGHT_LEG,15784,-1604,6064,-746,313,-33,237
1729740268.0953178,RIGHT_LEG,15680,-1536,5700,-708,66,45,238
1729740268.1411355,RIGHT_LEG,15776,-1532,5832,-670,-107,84,239
1729740268.1432793,RIGHT_LEG,15756,-1696,5936,-520,-331,170,240
1729740268.185336,RIGHT_LEG,15776,-1608,5712,-484,-562,224,241
1729740268.2334573,RIGHT_LEG,15860,-1576,5728,-455,-634,270,242
1729740268.2343566,RIGHT_LEG,15852,-1636,5812,-357,-721,309,243
1729740268.2752047,RIGHT_LEG,15848,-1724,5656,-216,-811,361,244
1729740268.3204396,RIGHT_LEG,15948,-1672,5660,-16,-836,364,245
1729740268.36519,RIGHT_LEG,15928,-1636,5256,-79,-640,316,246
1729740268.3663597,RIGHT_LEG,15888,-1692,5324,-176,-364,241,247
1729740268.4106877,RIGHT_LEG,15836,-1516,5316,-249,-192,148,248
1729740268.4556262,RIGHT_LEG,15852,-1664,5360,-431,-147,84,249
1729740268.4565847,RIGHT_LEG,15836,-1644,5424,-550,-88,16,250
1729740268.5004365,RIGHT_LEG,15736,-1748,5660,-717,-59,-34,251
1729740268.545588,RIGHT_LEG,15808,-1608,5544,-722,-127,2,252
1729740268.5465474,RIGHT_LEG,15784,-1908,5480,-667,-99,0,253
1729740268.59059,RIGHT_LEG,15888,-1696,5564,-640,-71,-61,254
1729740268.635368,RIGHT_LEG,15804,-1768,5520,-567,-14,-100,255
1729740268.6363223,RIGHT_LEG,15816,-1828,5644,-449,-76,-70,1
1729740268.6804395,RIGHT_LEG,15740,-1496,5636,-399,-123,-27,2
1729740268.7256753,RIGHT_LEG,15844,-1576,5712,-395,-180,1,3
1729740268.7267978,RIGHT_LEG,15884,-1748,5392,-346,-235,74,4
1729740268.7704868,RIGHT_LEG,15796,-1632,5468,-250,-201,75,5
1729740268.8157926,RIGHT_LEG,15828,-1616,5604,-286,-99,14,6
1729740268.8167794,RIGHT_LEG,15816,-1716,5688,-268,-109,16,7
1729740268.860706,RIGHT_LEG,15864,-1708,5608,-254,-83,-60,8
1729740268.9055927,RIGHT_LEG,15812,-1560,5808,-300,-80,-134,9
1729740268.906668,RIGHT_LEG,15640,-1536,5824,-362,-129,-97,10
1729740268.950491,RIGHT_LEG,15728,-1576,5676,-385,-261,-89,11
1729740268.9985695,RIGHT_LEG,15776,-1652,5836,-445,-369,-78,12
