time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449104.8983498,RIGHT_LEG,15844,-4540,3016,-466,-280,121,74
1730449104.9890058,RIGHT_LEG,15920,-4620,3156,-431,-281,135,76
1730449105.0344162,RIGHT_LEG,16152,-4508,3048,-492,-198,127,78
1730449105.0784333,RIGHT_LEG,15952,-4612,3392,-479,-161,217,80
1730449105.2125614,RIGHT_LEG,15900,-4612,3256,-346,-206,71,82
1730449105.2134206,RIGHT_LEG,15876,-4696,3416,-436,-261,-13,83
1730449105.2581666,RIGHT_LEG,15848,-4708,3404,-412,-440,-117,84
1730449105.2590895,RIGHT_LEG,15748,-4596,3352,-430,-712,-206,85
1730449105.2599604,RIGHT_LEG,15812,-4596,3196,-465,-1096,-286,86
1730449105.3044558,RIGHT_LEG,16004,-4628,3024,-433,-1268,-368,87
1730449105.348171,RIGHT_LEG,16064,-4504,2820,-356,-1269,-371,88
1730449105.3491762,RIGHT_LEG,16036,-4488,2664,-326,-1187,-408,89
1730449105.437529,RIGHT_LEG,16044,-4464,2660,-180,-1086,-357,90
1730449105.5290036,RIGHT_LEG,15920,-4420,2780,-248,-982,-330,91
1730449105.5298839,RIGHT_LEG,16064,-4392,2792,-313,-957,-278,92
1730449105.5307162,RIGHT_LEG,16084,-4156,2608,-364,-947,-185,93
1730449105.5315626,RIGHT_LEG,16024,-4264,2704,-485,-856,-125,94
1730449105.5725176,RIGHT_LEG,15984,-4376,2544,-439,-780,-18,95
1730449105.6630645,RIGHT_LEG,16044,-4260,2308,-469,-556,79,96
1730449105.6639314,RIGHT_LEG,16084,-4172,2284,-479,-230,225,97
1730449105.6648004,RIGHT_LEG,16024,-4392,2452,-426,55,328,98
1730449105.7082372,RIGHT_LEG,15976,-4288,2484,-508,333,329,99
1730449105.7090955,RIGHT_LEG,16092,-4332,2600,-604,513,330,100
1730449105.7099712,RIGHT_LEG,16104,-4496,2840,-604,676,366,101
1730449105.753249,RIGHT_LEG,15884,-4588,2864,-516,716,402,102
1730449105.7966576,RIGHT_LEG,15836,-4584,3248,-610,592,296,103
1730449105.887491,RIGHT_LEG,16064,-4556,3148,-591,345,219,104
1730449105.8884132,RIGHT_LEG,16044,-4552,2868,-470,237,171,105
1730449105.9330854,RIGHT_LEG,16036,-4500,2968,-477,248,160,106
1730449105.933919,RIGHT_LEG,15980,-4500,3224,-449,209,150,107
1730449105.9346905,RIGHT_LEG,15836,-4640,3292,-512,-3,88,108
1730449105.9777174,RIGHT_LEG,15852,-4640,3320,-537,-322,-9,109
1730449106.0232973,RIGHT_LEG,15904,-4768,3364,-543,-779,-117,110
1730449106.0240853,RIGHT_LEG,16008,-4508,3128,-457,-1075,-194,111
1730449106.1124203,RIGHT_LEG,15972,-4512,3124,-522,-1194,-298,112
1730449106.1131835,RIGHT_LEG,16068,-4528,2996,-411,-1262,-304,113
1730449106.1139529,RIGHT_LEG,16064,-4520,2792,-198,-1248,-249,114
1730449106.1576471,RIGHT_LEG,16072,-4476,2684,-156,-1130,-141,115
1730449106.203347,RIGHT_LEG,16096,-4324,2524,-71,-915,-54,116
1730449106.2041428,RIGHT_LEG,16196,-4300,2436,51,-578,103,117
1730449106.2484202,RIGHT_LEG,16088,-4468,2480,61,-266,186,118
1730449106.3373723,RIGHT_LEG,15984,-4356,2552,-6,-12,272,119
1730449106.3381639,RIGHT_LEG,15904,-4424,2680,-51,134,300,120
1730449106.33911,RIGHT_LEG,15956,-4288,2852,-56,220,380,121
1730449106.3399062,RIGHT_LEG,15936,-4456,2908,-175,231,321,122
1730449106.4283733,RIGHT_LEG,15952,-4552,2984,-422,185,235,123
1730449106.4291382,RIGHT_LEG,15980,-4612,2984,-484,47,154,124
1730449106.4724288,RIGHT_LEG,15800,-4696,3172,-586,-109,22,125
1730449106.5626624,RIGHT_LEG,16048,-4544,3060,-593,-263,-51,126
1730449106.5634756,RIGHT_LEG,15992,-4572,2824,-606,-298,-30,127
1730449106.6528804,RIGHT_LEG,15992,-4508,2692,-533,-258,25,128
1730449106.653664,RIGHT_LEG,16100,-4584,2884,-413,-144,66,129
1730449106.6544392,RIGHT_LEG,15932,-4536,2996,-425,-125,49,130
1730449106.697841,RIGHT_LEG,15896,-4456,3092,-560,-253,66,131
1730449106.6986165,RIGHT_LEG,15904,-4544,3028,-622,-291,82,132
1730449106.69939,RIGHT_LEG,15856,-4596,3128,-502,-322,13,133
1730449106.7875757,RIGHT_LEG,16016,-4504,3152,-551,-325,-1,134
1730449106.8328552,RIGHT_LEG,15968,-4568,3024,-564,-357,5,135
1730449106.8336365,RIGHT_LEG,15960,-4564,3060,-418,-497,13,136
1730449106.8344064,RIGHT_LEG,15960,-4528,3016,-366,-536,58,137
1730449106.8778698,RIGHT_LEG,16072,-4472,2880,-453,-509,86,138
1730449106.878696,RIGHT_LEG,15928,-4476,2920,-390,-351,110,139
1730449106.922893,RIGHT_LEG,16012,-4596,2808,-356,-243,101,140
1730449107.0115807,RIGHT_LEG,15888,-4660,2920,-326,-152,49,141
1730449107.0119064,RIGHT_LEG,15992,-4596,2872,-262,-159,-10,142
1730449107.1034586,RIGHT_LEG,15948,-4540,3016,-293,-178,-82,143
1730449107.1043966,RIGHT_LEG,16028,-4492,2972,-357,-227,-182,144
1730449107.1053085,RIGHT_LEG,15984,-4440,3092,-285,-250,-126,145
1730449107.147409,RIGHT_LEG,15940,-4536,3200,-545,-244,-190,146
1730449107.148369,RIGHT_LEG,16128,-4116,2828,-475,-356,47,147
1730449107.2385032,RIGHT_LEG,15900,-4740,2712,-405,-87,83,148
1730449107.2399006,RIGHT_LEG,15920,-4472,3144,-507,-157,-65,149
1730449107.2829134,RIGHT_LEG,15944,-4280,3040,-594,-180,-20,150
1730449107.2836936,RIGHT_LEG,15884,-4604,2872,-357,-191,98,151
1730449107.2844627,RIGHT_LEG,15944,-4656,2944,-460,-195,-54,152
1730449107.327852,RIGHT_LEG,15940,-4404,3052,-418,-227,-2,153
1730449107.3726346,RIGHT_LEG,15972,-4548,3088,-384,-310,-14,154
1730449107.373445,RIGHT_LEG,15912,-4448,2904,-407,-213,-14,155
1730449107.4624035,RIGHT_LEG,15964,-4360,3036,-399,-139,81,156
