time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741446.171347,RIGHT_HAND,1124,16632,-5760,345,4904,-833,158
1729741446.2143774,RIGHT_HAND,-1180,19772,-14072,4549,2648,-3571,160
1729741446.2587073,RIGHT_HAND,-5212,21392,-13556,19431,620,-11610,162
1729741446.3941865,RIGHT_HAND,-12588,22196,-8564,22305,-8926,-28304,164
1729741446.4405282,RIGHT_HAND,-19380,19476,-6836,20010,-12145,-32768,166
1729741446.442306,RIGHT_HAND,-18824,16976,-320,9207,3818,-32768,168
1729741446.4843793,RIGHT_HAND,-14028,13768,488,4821,4979,-32768,169
1729741446.529339,RIGHT_HAND,-13968,12108,1096,-106,-2652,-32768,170
1729741446.6193054,RIGHT_HAND,-15136,11444,1956,-6105,-7026,-32768,171
1729741446.620297,RIGHT_HAND,-11848,10008,-1688,-6866,-4838,-32768,172
1729741446.6211398,RIGHT_HAND,-8820,7752,-4880,-7489,3888,-32768,173
1729741446.6219933,RIGHT_HAND,-6168,6048,-5272,-9949,11094,-27922,174
1729741446.6656,RIGHT_HAND,-3336,5960,-7984,-7397,8195,-21783,175
1729741446.7093353,RIGHT_HAND,-176,4840,-9632,-2467,7085,-14405,176
1729741446.753458,RIGHT_HAND,2796,3528,-10424,1639,7087,-5347,177
1729741446.753806,RIGHT_HAND,4504,2540,-13392,3490,4369,5499,178
1729741446.844329,RIGHT_HAND,3244,1372,-12864,2079,4032,14453,179
1729741446.9357755,RIGHT_HAND,1016,980,-10072,-602,2468,23288,180
1729741446.936996,RIGHT_HAND,-3536,2488,-7748,-2356,-2724,28758,181
1729741446.9383357,RIGHT_HAND,-8048,5608,-8032,-3439,-12224,31134,182
1729741446.979211,RIGHT_HAND,-10556,7224,-3432,-2035,-15283,32767,183
1729741446.9801188,RIGHT_HAND,-13488,9880,-1216,1273,-13049,31655,184
1729741446.981007,RIGHT_HAND,-14808,12676,-5604,7052,-17751,32767,185
1729741447.0699162,RIGHT_HAND,-17160,11312,-4576,8848,-15411,32767,186
1729741447.071102,RIGHT_HAND,-20016,11200,-2268,3804,-29,32767,187
1729741447.1142488,RIGHT_HAND,-17788,12076,-1268,-1124,-2802,32767,188
1729741447.1159146,RIGHT_HAND,-16640,14132,-2496,-2619,-9715,32767,189
1729741447.1593437,RIGHT_HAND,-18236,15800,-660,-4322,-3558,32325,190
1729741447.1605358,RIGHT_HAND,-15572,16860,-1192,-2891,-4452,29059,191
1729741447.204919,RIGHT_HAND,-13352,15916,-2092,-5853,-8358,26085,192
1729741447.2942774,RIGHT_HAND,-11584,16276,-4168,-8729,-8903,22167,193
1729741447.2954645,RIGHT_HAND,-10176,18144,-4536,-11252,-4873,19396,194
1729741447.339329,RIGHT_HAND,-9616,19404,-3600,-9892,-2519,16175,195
1729741447.340243,RIGHT_HAND,-8244,18364,-3908,-7164,-715,12712,196
1729741447.341096,RIGHT_HAND,-6540,17276,-3528,-6931,1241,8775,197
1729741447.3845952,RIGHT_HAND,-5180,16504,-3544,-5818,1341,5505,198
1729741447.4293091,RIGHT_HAND,-3780,16492,-3972,-6022,2966,3140,199
1729741447.4302483,RIGHT_HAND,-3172,17000,-3484,-5713,689,783,200
1729741447.520344,RIGHT_HAND,-2108,17112,-2996,-3688,-695,-885,201
1729741447.564328,RIGHT_HAND,-1380,17268,-3376,-2158,-3414,-1882,202
1729741447.565968,RIGHT_HAND,-68,17708,-6368,-867,-5369,-2180,203
1729741447.566938,RIGHT_HAND,-148,17944,-4828,1361,-4299,-262,204
1729741447.6092787,RIGHT_HAND,-1452,16896,-1928,2064,-2182,1341,205
1729741447.610211,RIGHT_HAND,-1696,15920,-964,1435,276,1287,206
1729741447.6543584,RIGHT_HAND,-1272,15444,-468,1089,906,394,207
1729741447.744299,RIGHT_HAND,-968,15420,132,292,1033,-557,208
1729741447.745229,RIGHT_HAND,-716,15724,120,-192,616,-897,209
1729741447.7895195,RIGHT_HAND,-468,15920,-480,-961,1200,-755,210
1729741447.7904284,RIGHT_HAND,216,16176,-1176,-1496,1651,-520,211
1729741447.791322,RIGHT_HAND,564,16332,-1844,-2097,842,-445,212
1729741447.834534,RIGHT_HAND,648,16956,-1704,-1834,-777,-87,213
1729741447.8794138,RIGHT_HAND,-120,16812,-1028,-387,-2382,130,214
1729741447.9692614,RIGHT_HAND,-768,16152,-848,469,-2741,42,215
1729741447.9701989,RIGHT_HAND,-1096,15776,-796,168,-2033,-277,216
1729741448.0144477,RIGHT_HAND,-1080,15764,-904,-498,-1112,-465,217
1729741448.0153437,RIGHT_HAND,-1024,16120,-1132,-1224,-353,-540,218
1729741448.0162296,RIGHT_HAND,-872,16500,-1568,-1264,633,-371,219
1729741448.0593538,RIGHT_HAND,-956,16596,-1636,-1113,1887,-202,220
1729741448.104432,RIGHT_HAND,-880,16664,-1196,-442,2826,44,221
1729741448.1053658,RIGHT_HAND,-700,16284,-932,153,3258,117,222
1729741448.194265,RIGHT_HAND,-372,16016,-712,-148,3105,0,223
1729741448.2393162,RIGHT_HAND,-152,15908,-572,-599,2334,-187,224
1729741448.2402122,RIGHT_HAND,-16,16248,-592,-828,1322,-282,225
1729741448.2410867,RIGHT_HAND,136,16300,-792,-783,658,-257,226
1729741448.2844844,RIGHT_HAND,136,16296,-880,-733,-277,-174,227
1729741448.2854397,RIGHT_HAND,-320,16368,-928,-601,-1003,-134,228
1729741448.3295188,RIGHT_HAND,-740,16156,-1052,-509,-1080,-92,229
1729741448.419238,RIGHT_HAND,-1108,16244,-1144,-766,58,-41,230
1729741448.4201763,RIGHT_HAND,-960,16244,-1176,-634,1085,-69,231
1729741448.4644423,RIGHT_HAND,-644,16360,-1060,-408,1258,-157,232
1729741448.4653385,RIGHT_HAND,-396,16180,-1136,-363,999,-129,233
1729741448.4662125,RIGHT_HAND,-244,16224,-888,-446,690,-58,234
1729741448.5095146,RIGHT_HAND,-320,16276,-848,-448,291,-6,235
1729741448.5544858,RIGHT_HAND,-476,16116,-1040,-592,189,-110,236
1729741448.6442482,RIGHT_HAND,-640,16228,-944,-766,204,-101,237
1729741448.645208,RIGHT_HAND,-600,16252,-1168,-638,295,-58,238
1729741448.6894584,RIGHT_HAND,-424,16116,-964,-496,455,-62,239
1729741448.6906338,RIGHT_HAND,-528,16220,-1028,-685,474,-109,240
1729741448.691563,RIGHT_HAND,-424,16332,-1116,-756,596,-86,241
1729741448.7345319,RIGHT_HAND,-432,16312,-836,-487,649,-7,242
