time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449397.6874917,RIGHT_HAND,-2436,15832,-1056,-904,707,28,123
1730449397.6893466,RIGHT_HAND,-7076,14688,-2936,-277,-664,-1267,125
1730449397.732547,RIGHT_HAND,-13784,15044,-2568,182,-734,-10406,127
1730449397.8227143,RIGHT_HAND,-16764,15572,-1568,-2691,9203,-21506,129
1730449397.9125347,RIGHT_HAND,-18260,17500,2396,-5000,13564,-29055,131
1730449397.9151459,RIGHT_HAND,-19172,16676,3636,-5447,15847,-32768,133
1730449397.9577382,RIGHT_HAND,-20240,15872,3508,-5949,14717,-32768,134
1730449398.0031705,RIGHT_HAND,-17812,13348,428,-4471,21490,-32768,135
1730449398.0047243,RIGHT_HAND,-15748,10940,2720,-6487,21987,-32768,136
1730449398.0486531,RIGHT_HAND,-14936,10272,3360,-8131,11830,-32768,137
1730449398.137632,RIGHT_HAND,-14112,9868,2800,-8814,-242,-32768,138
1730449398.1388137,RIGHT_HAND,-13508,8088,528,-8564,-6045,-32768,139
1730449398.1843927,RIGHT_HAND,-12992,6172,-52,-10317,-7122,-32375,140
1730449398.1856453,RIGHT_HAND,-9892,5368,-2816,-13326,-5384,-28232,141
1730449398.2275925,RIGHT_HAND,-7316,6260,-7428,-15438,-2942,-21381,142
1730449398.2286105,RIGHT_HAND,-5908,4808,-9036,-10675,4261,-13329,143
1730449398.272609,RIGHT_HAND,-4064,3128,-10488,-5958,8923,-6494,144
1730449398.363707,RIGHT_HAND,-2988,1676,-10488,-1118,9101,-356,145
1730449398.3654747,RIGHT_HAND,-2196,-152,-9764,4205,6058,6180,146
1730449398.4076474,RIGHT_HAND,-2532,-944,-9088,6726,2864,12510,147
1730449398.408546,RIGHT_HAND,-3324,-308,-7508,6359,-278,18594,148
1730449398.4094207,RIGHT_HAND,-5388,1104,-7340,6224,-2609,24920,149
1730449398.4538848,RIGHT_HAND,-8216,3408,-7036,6351,-3330,30370,150
1730449398.4984767,RIGHT_HAND,-12048,5812,-5536,6813,-2616,32767,151
1730449398.4996598,RIGHT_HAND,-15560,7888,-3556,9052,-362,32767,152
1730449398.5875819,RIGHT_HAND,-17448,10508,-1032,8989,-6593,32089,153
1730449398.6326213,RIGHT_HAND,-17284,11260,-1356,11065,-7573,31446,154
1730449398.6335988,RIGHT_HAND,-18120,10708,-296,10093,697,31793,155
1730449398.6347513,RIGHT_HAND,-17200,10908,-468,2464,-785,30824,156
1730449398.6775944,RIGHT_HAND,-16300,12884,-1240,-1518,-3310,27700,157
1730449398.679474,RIGHT_HAND,-15208,13260,444,-1188,-818,24760,158
1730449398.722847,RIGHT_HAND,-13812,12440,-836,-2608,-2186,22197,159
1730449398.8130355,RIGHT_HAND,-12472,12848,-2260,-5922,-3451,20082,160
1730449398.8576043,RIGHT_HAND,-11672,14284,-2764,-6237,-4866,18854,161
1730449398.8584998,RIGHT_HAND,-11184,16096,-3244,-6150,-5052,18816,162
1730449398.8593729,RIGHT_HAND,-10596,17052,-3260,-5047,-3303,18690,163
1730449398.9027648,RIGHT_HAND,-9496,16952,-3728,-3821,-1756,17409,164
1730449398.903938,RIGHT_HAND,-8248,17152,-3224,-4456,-659,15283,165
1730449398.9476454,RIGHT_HAND,-6860,16648,-1724,-3996,-1416,12362,166
1730449399.0376256,RIGHT_HAND,-6240,16172,-3280,-3680,-3577,8555,167
1730449399.038794,RIGHT_HAND,-5640,16376,-3144,-5438,-4494,4800,168
1730449399.0396662,RIGHT_HAND,-5108,16516,-1756,-4461,-5526,1973,169
1730449399.0405266,RIGHT_HAND,-5244,15696,-2080,-3622,-7512,-386,170
1730449399.0828838,RIGHT_HAND,-2812,15672,-3028,-3280,-13759,-2951,171
1730449399.127721,RIGHT_HAND,-884,16112,-5324,-990,-28179,-6734,172
1730449399.1725194,RIGHT_HAND,-3388,17156,-4880,342,-28478,-4760,173
1730449399.1735497,RIGHT_HAND,-6092,17768,-3264,2683,-17859,-2582,174
1730449399.2618506,RIGHT_HAND,-6152,15852,-1584,3672,-6793,-1256,175
1730449399.307191,RIGHT_HAND,-5108,14948,-1800,-467,2134,744,176
1730449399.3077295,RIGHT_HAND,-4264,15184,-468,-2969,6645,1466,177
1730449399.3082337,RIGHT_HAND,-2904,15304,-180,-2083,6439,919,178
1730449399.3528783,RIGHT_HAND,-2016,15424,-800,-2166,3938,-442,179
1730449399.353826,RIGHT_HAND,-1596,16244,-1068,-2098,2346,-1131,180
1730449399.3979206,RIGHT_HAND,-1456,16752,-1216,-1137,2603,-759,181
1730449399.4876919,RIGHT_HAND,-1404,16728,-640,-301,2349,-194,182
1730449399.489501,RIGHT_HAND,-1924,16004,-184,-426,29,26,183
1730449399.4904044,RIGHT_HAND,-2332,15484,-48,-292,-818,-154,184
1730449399.5329115,RIGHT_HAND,-2584,15400,-328,-446,-1462,-790,185
1730449399.5778491,RIGHT_HAND,-2760,15824,-624,-1214,-1707,-1260,186
1730449399.5787861,RIGHT_HAND,-2780,16332,-1192,-822,-444,-1174,187
1730449399.622927,RIGHT_HAND,-2452,16328,-1176,-672,1099,-790,188
1730449399.7128844,RIGHT_HAND,-2340,15936,-632,-727,1390,-746,189
1730449399.7576578,RIGHT_HAND,-2404,15776,-196,-499,732,-921,190
