time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741498.0234394,RIGHT_LEG,15784,-2072,5536,-581,-337,38,133
1729741498.0691655,RIGHT_LEG,15672,-2116,5788,-587,-359,49,135
1729741498.156253,RIGHT_LEG,15708,-2092,5560,-528,-522,13,137
1729741498.2015274,RIGHT_LEG,15944,-2260,5616,-486,-1040,-79,139
1729741498.2505598,RIGHT_LEG,15872,-2164,5436,-343,-1115,-27,141
1729741498.2918146,RIGHT_LEG,15860,-2228,5220,-440,-1070,-248,142
1729741498.3378453,RIGHT_LEG,16072,-1904,5012,-319,-905,-111,143
1729741498.3813996,RIGHT_LEG,15964,-2048,4976,-285,-694,-58,144
1729741498.3818488,RIGHT_LEG,16104,-1892,4976,-312,-438,-8,145
1729741498.426506,RIGHT_LEG,16000,-1996,5136,-363,-326,80,146
1729741498.471516,RIGHT_LEG,15960,-2108,5268,-476,-317,-7,147
1729741498.4717357,RIGHT_LEG,15900,-2128,5000,-486,-349,-29,148
1729741498.5177684,RIGHT_LEG,15912,-2040,5072,-445,-359,-11,149
1729741498.5620968,RIGHT_LEG,15940,-2020,5156,-413,-329,23,150
1729741498.5631404,RIGHT_LEG,15992,-2012,4996,-380,-234,50,151
1729741498.6084082,RIGHT_LEG,15960,-1976,5076,-323,-85,140,152
1729741498.6533296,RIGHT_LEG,15956,-2008,5160,-330,-38,138,153
1729741498.65418,RIGHT_LEG,15896,-2064,5324,-339,-27,186,154
1729741498.6972277,RIGHT_LEG,15832,-2004,5292,-382,-116,234,155
1729741498.7422984,RIGHT_LEG,15920,-2176,5328,-386,-175,188,156
1729741498.7441475,RIGHT_LEG,15896,-2228,5304,-450,-233,96,157
1729741498.7904348,RIGHT_LEG,15864,-2032,5216,-507,-228,61,158
1729741498.831258,RIGHT_LEG,15980,-2168,5084,-450,-170,74,159
1729741498.8315737,RIGHT_LEG,15864,-2128,5328,-439,-224,29,160
1729741498.8766909,RIGHT_LEG,15840,-2016,5384,-497,-334,43,161
1729741498.921563,RIGHT_LEG,15904,-2096,5416,-523,-396,83,162
1729741498.9218507,RIGHT_LEG,15852,-2068,5332,-514,-429,187,163
1729741498.9672036,RIGHT_LEG,15900,-2116,5200,-453,-337,258,164
1729741499.0130637,RIGHT_LEG,15888,-2128,5048,-449,-155,250,165
1729741499.0142653,RIGHT_LEG,15880,-2120,5252,-411,-49,264,166
1729741499.0573776,RIGHT_LEG,15808,-2200,5236,-464,-42,220,167
1729741499.1023803,RIGHT_LEG,15800,-2260,5404,-478,-99,161,168
1729741499.1471274,RIGHT_LEG,15836,-2164,5464,-431,-143,138,169
1729741499.1482716,RIGHT_LEG,15936,-2288,5216,-418,-91,79,170
1729741499.1927843,RIGHT_LEG,15836,-2232,5272,-394,-30,47,171
1729741499.2373178,RIGHT_LEG,15888,-2204,5388,-453,-26,-13,172
1729741499.2389832,RIGHT_LEG,15836,-2116,5472,-474,-131,-17,173
1729741499.2813404,RIGHT_LEG,15788,-2168,5448,-514,-313,43,174
1729741499.3271875,RIGHT_LEG,15840,-2236,5344,-459,-296,30,175
1729741499.328275,RIGHT_LEG,15736,-2212,5220,-355,-175,29,176
1729741499.3726232,RIGHT_LEG,15816,-2232,5368,-436,-191,8,177
1729741499.4183953,RIGHT_LEG,15916,-2128,5356,-431,-195,20,178
1729741499.462586,RIGHT_LEG,15864,-2228,5172,-327,-168,99,179
1729741499.5071259,RIGHT_LEG,15844,-2268,5272,-349,-126,99,180
1729741499.5525646,RIGHT_LEG,15968,-2280,5340,-307,-149,31,181
1729741499.5535338,RIGHT_LEG,15756,-2220,5412,-240,-180,65,182
1729741499.5976183,RIGHT_LEG,15804,-2104,5592,-356,-125,51,183
1729741499.642528,RIGHT_LEG,15896,-2252,5340,-486,-100,46,184
1729741499.6435983,RIGHT_LEG,15888,-2192,5420,-403,-83,113,185
1729741499.687568,RIGHT_LEG,15820,-2232,5580,-346,-72,132,186
1729741499.7325292,RIGHT_LEG,15748,-2280,5472,-356,-110,113,187
1729741499.7334492,RIGHT_LEG,15724,-2184,5444,-378,-123,110,188
1729741499.776529,RIGHT_LEG,15816,-2248,5368,-391,-120,67,189
1729741499.8225284,RIGHT_LEG,15916,-2204,5412,-403,-176,28,190
1729741499.8234453,RIGHT_LEG,15668,-2296,5488,-364,-186,34,191
1729741499.8665369,RIGHT_LEG,15728,-2180,5480,-338,-158,47,192
1729741499.911469,RIGHT_LEG,15860,-2368,5468,-414,-171,17,193
1729741499.956565,RIGHT_LEG,15832,-2060,5504,-327,-172,73,194
1729741499.957126,RIGHT_LEG,15772,-2212,5536,-370,-189,30,195
1729741500.0016186,RIGHT_LEG,15752,-2284,5556,-383,-178,22,196
1729741500.0465333,RIGHT_LEG,15860,-2188,5640,-318,-188,51,197
1729741500.0475829,RIGHT_LEG,15748,-2204,5500,-382,-193,35,198
1729741500.0915883,RIGHT_LEG,15772,-2252,5560,-323,-161,53,199
1729741500.1365452,RIGHT_LEG,15764,-2260,5584,-343,-127,0,200
1729741500.1374652,RIGHT_LEG,15776,-2132,5664,-343,-172,-1,201
1729741500.1802294,RIGHT_LEG,15724,-2244,5484,-352,-234,-27,202
1729741500.2264795,RIGHT_LEG,15720,-2240,5688,-345,-255,-28,203
1729741500.2274032,RIGHT_LEG,15720,-2192,5628,-323,-261,-27,204
1729741500.2715955,RIGHT_LEG,15892,-2092,5600,-337,-250,-47,205
1729741500.3165488,RIGHT_LEG,15768,-2128,5584,-337,-209,-45,206
1729741500.3174834,RIGHT_LEG,15700,-2224,5596,-313,-199,-31,207
1729741500.3613544,RIGHT_LEG,15708,-2136,5708,-350,-197,-57,208
1729741500.4065154,RIGHT_LEG,15780,-2204,5672,-382,-207,-76,209
1729741500.4075716,RIGHT_LEG,15764,-2184,5732,-376,-248,-88,210
1729741500.451349,RIGHT_LEG,15780,-2220,5716,-365,-299,-96,211
1729741500.4965312,RIGHT_LEG,15756,-2216,5680,-366,-304,-73,212
1729741500.4974499,RIGHT_LEG,15800,-2100,5736,-354,-338,-62,213
1729741500.5414903,RIGHT_LEG,15736,-2028,5816,-343,-363,-60,214
1729741500.5850441,RIGHT_LEG,15784,-2116,5596,-340,-312,-34,215
1729741500.5856059,RIGHT_LEG,15728,-2056,5552,-334,-272,-25,216
