time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449223.1517034,RIGHT_LEG,15856,-4192,3420,-433,-273,37,14
1730449223.198559,RIGHT_LEG,15912,-4388,3672,-545,-156,57,16
1730449223.3305793,RIGHT_LEG,15856,-4476,3636,-682,-361,22,18
1730449223.3310313,RIGHT_LEG,15896,-4208,3756,-609,-656,-100,20
1730449223.3776464,RIGHT_LEG,16076,-4236,3624,-446,-853,-1,22
1730449223.42145,RIGHT_LEG,15984,-4172,3340,-476,-774,-56,23
1730449223.5114946,RIGHT_LEG,15996,-4092,3292,-430,-577,-33,24
1730449223.5125725,RIGHT_LEG,16112,-4272,3328,-353,-490,-20,25
1730449223.5567217,RIGHT_LEG,15940,-4148,3544,-309,-476,-30,26
1730449223.5575387,RIGHT_LEG,15868,-4128,3492,-292,-447,19,27
1730449223.5583434,RIGHT_LEG,15916,-4180,3404,-358,-452,41,28
1730449223.6015897,RIGHT_LEG,15996,-4244,3452,-401,-465,40,29
1730449223.6478145,RIGHT_LEG,16044,-4068,3416,-432,-461,40,30
1730449223.648984,RIGHT_LEG,15936,-4220,3484,-405,-426,46,31
1730449223.736699,RIGHT_LEG,15824,-4176,3376,-374,-403,66,32
1730449223.782912,RIGHT_LEG,16044,-4104,3424,-477,-385,33,33
1730449223.7838435,RIGHT_LEG,15944,-4240,3528,-488,-308,56,34
1730449223.7848182,RIGHT_LEG,15976,-4096,3504,-422,-290,105,35
1730449223.8275206,RIGHT_LEG,16028,-4212,3480,-376,-264,127,36
1730449223.8721128,RIGHT_LEG,16040,-4144,3456,-322,-238,229,37
1730449223.874117,RIGHT_LEG,15900,-4192,3428,-345,-191,238,38
1730449223.9617598,RIGHT_LEG,15968,-4280,3436,-423,-254,225,39
1730449224.0072494,RIGHT_LEG,15896,-4268,3544,-481,-332,225,40
1730449224.0085537,RIGHT_LEG,15908,-4228,3532,-543,-417,130,41
1730449224.0094488,RIGHT_LEG,15880,-4272,3344,-596,-420,50,42
1730449224.0519862,RIGHT_LEG,15920,-4320,3488,-568,-465,0,43
1730449224.0966494,RIGHT_LEG,15952,-4252,3340,-540,-426,-16,44
1730449224.0976758,RIGHT_LEG,15856,-4304,3368,-502,-360,17,45
1730449224.1867182,RIGHT_LEG,16012,-4284,3400,-391,-266,52,46
