time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741685.302151,RIGHT_HAND,-4612,17748,-2648,1825,-3391,-531,205
1729741685.3913162,RIGHT_HAND,-3636,16372,-2236,3405,9747,-2011,207
1729741685.3946366,RIGHT_HAND,-760,16096,-432,2373,11675,-3309,209
1729741685.4829376,RIGHT_HAND,612,15604,688,2418,6361,-2601,211
1729741685.5274365,RIGHT_HAND,692,14980,608,37,-341,-896,213
1729741685.616311,RIGHT_HAND,284,14636,164,-1244,-1387,-166,214
1729741685.6175506,RIGHT_HAND,-164,15588,-168,-3393,-1339,659,215
1729741685.618521,RIGHT_HAND,-324,15708,-200,-3725,-44,1344,216
1729741685.6193948,RIGHT_HAND,-864,16996,-1364,-4664,1142,2518,217
1729741685.6615245,RIGHT_HAND,-472,18824,-3520,-4354,14827,4909,218
1729741685.7511437,RIGHT_HAND,-608,17712,-1392,-4508,26584,8739,219
1729741685.7529671,RIGHT_HAND,2132,16524,156,-5486,30555,10317,220
1729741685.7541044,RIGHT_HAND,3704,16140,1440,-5621,26626,8587,221
1729741685.8415813,RIGHT_HAND,5120,15600,2848,-3175,15766,6704,222
1729741685.8432267,RIGHT_HAND,4032,14952,3380,-2102,-120,1730,223
1729741685.8441536,RIGHT_HAND,3104,15828,1768,-632,-12332,-1791,224
1729741685.8876274,RIGHT_HAND,1564,15420,1104,-782,-18509,-3692,225
1729741685.9314091,RIGHT_HAND,396,16128,196,-1867,-19695,-4106,226
1729741685.9775734,RIGHT_HAND,-224,17008,-544,-1771,-15799,-3448,227
1729741685.9786267,RIGHT_HAND,-128,16312,-908,-775,-11031,-1938,228
1729741686.0663931,RIGHT_HAND,-140,15504,-1112,-1062,-8028,-807,229
1729741686.0681508,RIGHT_HAND,-380,15836,-528,-1618,-7767,-213,230
1729741686.0690553,RIGHT_HAND,-940,16360,-100,-1554,-8183,-229,231
1729741686.112611,RIGHT_HAND,-1440,16504,-228,-519,-7545,-720,232
1729741686.1565843,RIGHT_HAND,-1768,16368,-540,166,-5078,-1408,233
1729741686.1576407,RIGHT_HAND,-1636,16064,-844,650,-788,-1734,234
1729741686.2014415,RIGHT_HAND,-1056,15944,-440,318,2958,-1667,235
1729741686.2915578,RIGHT_HAND,-348,16272,448,-128,4470,-1699,236
1729741686.292605,RIGHT_HAND,48,16776,988,178,4328,-1403,237
1729741686.2934387,RIGHT_HAND,304,16704,712,91,4207,-648,238
1729741686.2942786,RIGHT_HAND,348,16204,460,257,5113,-179,239
1729741686.3365397,RIGHT_HAND,372,15912,96,-610,6710,210,240
1729741686.3813422,RIGHT_HAND,708,15996,300,-1307,7376,440,241
1729741686.426279,RIGHT_HAND,1116,16220,840,-1242,6277,234,242
1729741686.4274328,RIGHT_HAND,1316,16472,1040,-848,4001,-349,243
1729741686.5163746,RIGHT_HAND,1300,16588,972,-549,1654,-491,244
1729741686.5614357,RIGHT_HAND,1176,16440,540,-507,410,-312,245
1729741686.5631588,RIGHT_HAND,1124,16256,96,-767,-18,70,246
1729741686.5640671,RIGHT_HAND,980,16300,36,-1139,-148,412,247
1729741686.6065567,RIGHT_HAND,1032,16468,224,-1001,-956,539,248
1729741686.6515353,RIGHT_HAND,796,16184,-164,-749,-2128,277,249
1729741686.6525764,RIGHT_HAND,484,16148,-228,-628,-2955,-39,250
1729741686.7413745,RIGHT_HAND,280,16292,-124,-406,-3340,-272,251
1729741686.7431483,RIGHT_HAND,48,16088,-484,-154,-3207,-340,252
1729741686.7440455,RIGHT_HAND,-80,16128,-432,-494,-2689,-360,253
1729741686.786399,RIGHT_HAND,-172,16364,-192,-499,-1961,-305,254
1729741686.8315241,RIGHT_HAND,-232,16312,-200,-267,-901,-234,255
1729741686.8324554,RIGHT_HAND,-120,16100,-324,-326,159,-246,1
1729741686.8763876,RIGHT_HAND,20,16184,-200,-480,1191,-240,2
1729741686.9663055,RIGHT_HAND,164,16324,-272,-566,2071,3,3
1729741686.9674509,RIGHT_HAND,400,16280,-116,-603,2996,137,4
1729741687.0113196,RIGHT_HAND,528,16388,184,-591,3563,220,5
1729741687.0121963,RIGHT_HAND,908,16384,80,-464,3177,285,6
1729741687.0130613,RIGHT_HAND,988,16240,92,-305,2370,36,7
1729741687.0564365,RIGHT_HAND,1004,16100,356,-249,1462,-69,8
1729741687.1015594,RIGHT_HAND,1148,16136,236,-545,486,-21,9
1729741687.1915152,RIGHT_HAND,1000,16256,224,-848,-246,17,10
1729741687.1925964,RIGHT_HAND,736,16264,-8,-680,-791,105,11
1729741687.2364936,RIGHT_HAND,676,16152,-108,-827,-1067,59,12
1729741687.237656,RIGHT_HAND,512,16204,-120,-811,-1365,-115,13
1729741687.2814023,RIGHT_HAND,496,16276,-72,-686,-1555,-308,14
1729741687.3263912,RIGHT_HAND,384,16284,-352,-589,-1593,-542,15
1729741687.3274229,RIGHT_HAND,292,16176,-224,-575,-1230,-530,16
1729741687.4162796,RIGHT_HAND,328,16244,-216,-699,-618,-341,17
1729741687.506265,RIGHT_HAND,136,16160,-212,-738,-33,-271,18
1729741687.5070488,RIGHT_HAND,180,16292,-172,-735,387,-334,19
1729741687.507803,RIGHT_HAND,332,16352,-244,-594,832,-393,20
1729741687.551359,RIGHT_HAND,628,16364,-200,-391,1069,-422,21
1729741687.552146,RIGHT_HAND,584,16284,-112,-490,1240,-275,22
1729741687.5529191,RIGHT_HAND,704,16372,12,-519,1224,-133,23
1729741687.6423283,RIGHT_HAND,796,16340,88,-379,796,-135,24
1729741687.6863399,RIGHT_HAND,760,16216,-36,-364,504,-212,25
