time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741716.8583658,RIGHT_LEG,5500,-2428,8060,10355,3131,3981,134
1729741716.9069457,RIGHT_LEG,7240,-5228,7220,-1385,12460,2765,136
1729741716.9947295,RIGHT_LEG,13232,-5292,5464,-8066,19117,3222,138
1729741717.0392761,RIGHT_LEG,17244,-4332,3592,-7344,25440,7042,140
1729741717.0841198,RIGHT_LEG,24468,-1872,8240,26588,18592,19985,142
1729741717.1734462,RIGHT_LEG,25868,-9244,4944,-565,27999,4665,144
1729741717.1746953,RIGHT_LEG,32767,5312,17120,7250,24787,407,145
1729741717.2181785,RIGHT_LEG,17336,44,-10260,-15551,20584,977,146
1729741717.2632322,RIGHT_LEG,28468,-724,-18728,-12286,3194,-2001,147
1729741717.264427,RIGHT_LEG,32767,9704,-23120,-422,-18194,-8843,148
1729741717.3099358,RIGHT_LEG,23976,-9844,-760,6238,-13153,-4868,149
1729741717.3532472,RIGHT_LEG,14756,-2924,2312,2823,-9378,-4280,150
1729741717.3549836,RIGHT_LEG,15852,1344,-776,-2241,-4257,-5597,151
1729741717.3974423,RIGHT_LEG,17896,-368,404,898,-675,-1322,152
1729741717.4438055,RIGHT_LEG,16024,-2460,2552,1939,1286,-59,153
1729741717.488142,RIGHT_LEG,16184,-2656,5164,1529,1611,-572,154
1729741717.4890718,RIGHT_LEG,15988,-2168,5316,553,777,-986,155
1729741717.5335722,RIGHT_LEG,16064,-2204,4856,828,-203,-724,156
1729741717.5785036,RIGHT_LEG,16240,-2016,4640,786,-671,-811,157
1729741717.5794322,RIGHT_LEG,16252,-1960,4136,417,-785,-845,158
1729741717.6235628,RIGHT_LEG,16296,-1812,3776,284,-404,-763,159
1729741717.6685078,RIGHT_LEG,16372,-1372,3776,68,130,-398,160
1729741717.6694396,RIGHT_LEG,16284,-1668,3836,-232,717,-134,161
1729741717.7135491,RIGHT_LEG,16084,-1988,4456,-408,878,-98,162
1729741717.7583027,RIGHT_LEG,16048,-1940,4656,-314,675,-57,163
1729741717.759232,RIGHT_LEG,16000,-2040,4568,-217,434,-54,164
1729741717.803572,RIGHT_LEG,16132,-1792,4596,-138,353,-36,165
1729741717.8485281,RIGHT_LEG,16136,-1844,4588,-112,340,77,166
1729741717.849452,RIGHT_LEG,15984,-1852,4852,-281,322,46,167
1729741717.893376,RIGHT_LEG,15944,-1972,4876,-491,145,-107,168
1729741717.9386482,RIGHT_LEG,16036,-1892,4752,-543,-26,-219,169
1729741717.9397056,RIGHT_LEG,16092,-1804,4712,-435,-69,-173,170
1729741717.9835634,RIGHT_LEG,16148,-1724,4640,-325,-43,-15,171
1729741718.028512,RIGHT_LEG,16124,-1852,4732,-361,9,-31,172
1729741718.0294535,RIGHT_LEG,16052,-1788,4820,-259,13,42,173
1729741718.0735974,RIGHT_LEG,16060,-1828,4760,-234,-23,87,174
1729741718.1185305,RIGHT_LEG,16088,-1920,4844,-271,-66,54,175
1729741718.1195412,RIGHT_LEG,15928,-1912,4804,-344,-137,-30,176
1729741718.1635802,RIGHT_LEG,16120,-1756,4944,-346,-190,19,177
1729741718.208574,RIGHT_LEG,15964,-1844,4876,-303,-169,98,178
1729741718.2534962,RIGHT_LEG,16048,-1848,4828,-263,-148,119,179
1729741718.2546573,RIGHT_LEG,16088,-1816,4916,-290,-112,115,180
1729741718.3435185,RIGHT_LEG,16108,-1920,4924,-266,-169,93,181
1729741718.3885188,RIGHT_LEG,16120,-1924,4776,-237,-173,77,182
1729741718.3896105,RIGHT_LEG,16072,-1852,4816,-193,-167,91,183
1729741718.4336517,RIGHT_LEG,16048,-1912,4796,-245,-168,121,184
1729741718.4784987,RIGHT_LEG,16060,-1872,4904,-279,-206,118,185
1729741718.4796612,RIGHT_LEG,15988,-1816,4844,-288,-167,125,186
1729741718.5235548,RIGHT_LEG,16064,-1888,4852,-353,-109,96,187
1729741718.5685446,RIGHT_LEG,16044,-1924,4904,-374,-88,78,188
1729741718.5696998,RIGHT_LEG,15984,-1780,4892,-361,-97,81,189
1729741718.6136045,RIGHT_LEG,16024,-1728,4864,-312,-95,72,190
1729741718.6582956,RIGHT_LEG,16012,-1748,4956,-360,-79,67,191
1729741718.6594617,RIGHT_LEG,16056,-1916,4892,-274,-96,92,192
1729741718.7035687,RIGHT_LEG,15980,-1828,4972,-263,-34,82,193
1729741718.7485487,RIGHT_LEG,15968,-1808,4784,-276,-22,124,194
1729741718.749612,RIGHT_LEG,16012,-1804,5180,-361,-105,77,195
1729741718.793609,RIGHT_LEG,15984,-1784,5076,-365,-110,45,196
1729741718.837296,RIGHT_LEG,15936,-1860,5008,-377,-114,66,197
1729741718.8384533,RIGHT_LEG,16080,-1924,4936,-433,-126,35,198
1729741718.8836334,RIGHT_LEG,16000,-1780,5052,-416,-113,79,199
1729741718.9285645,RIGHT_LEG,15972,-1868,5120,-376,-93,102,200
1729741718.9295826,RIGHT_LEG,16008,-1840,5044,-368,-134,53,201
1729741718.9743042,RIGHT_LEG,15972,-1868,5260,-378,-176,44,202
1729741719.0167909,RIGHT_LEG,15948,-1796,5032,-401,-216,51,203
1729741719.0170848,RIGHT_LEG,15956,-1844,5152,-404,-210,39,204
1729741719.06159,RIGHT_LEG,15996,-1804,5032,-398,-249,33,205
1729741719.10844,RIGHT_LEG,15892,-1808,5088,-387,-251,69,206
1729741719.152504,RIGHT_LEG,15872,-1740,5072,-406,-200,66,207
1729741719.1536195,RIGHT_LEG,16088,-1848,5052,-418,-219,60,208
1729741719.1985724,RIGHT_LEG,15952,-1776,5044,-439,-262,75,209
1729741719.2425194,RIGHT_LEG,16068,-1816,5136,-444,-202,100,210
1729741719.243612,RIGHT_LEG,15948,-1836,5208,-451,-215,124,211
1729741719.288581,RIGHT_LEG,15820,-1944,5108,-511,-283,96,212
1729741719.332507,RIGHT_LEG,16020,-1924,5188,-531,-318,97,213
1729741719.3336062,RIGHT_LEG,15972,-1756,5172,-495,-267,128,214
1729741719.3775342,RIGHT_LEG,16000,-1836,5148,-506,-198,174,215
1729741719.4235382,RIGHT_LEG,15888,-1948,5308,-494,-166,180,216
