time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449671.1475801,RIGHT_HAND,-3732,16252,-1648,-1385,4202,-474,219
1730449671.1926062,RIGHT_HAND,-5644,16176,-2896,-744,9960,-4009,221
1730449671.2380607,RIGHT_HAND,-11056,15064,-1884,4028,-8929,-15643,223
1730449671.3284607,RIGHT_HAND,-14424,14260,-308,3200,-23851,-26761,225
1730449671.418501,RIGHT_HAND,-17388,15180,-1292,-3012,-9265,-27782,227
1730449671.4212291,RIGHT_HAND,-15936,16184,2172,-4062,5900,-25105,229
1730449671.465251,RIGHT_HAND,-14312,14224,2692,-1464,6588,-24795,230
1730449671.5083833,RIGHT_HAND,-13192,12116,3812,-2124,2996,-24079,231
1730449671.5091782,RIGHT_HAND,-13472,10920,2460,-3072,-707,-22581,232
1730449671.6436167,RIGHT_HAND,-12680,9824,3028,-3020,-483,-20107,233
1730449671.646349,RIGHT_HAND,-9740,7788,-1252,-928,1629,-15807,234
1730449671.6471412,RIGHT_HAND,-7612,7256,352,-189,-2547,-12607,235
1730449671.6885638,RIGHT_HAND,-9144,5540,3924,53,-4747,-8742,236
1730449671.7336655,RIGHT_HAND,-8464,4864,-1764,740,-3486,-7129,237
1730449671.7346454,RIGHT_HAND,-5328,7012,-2972,1881,5904,-1391,238
1730449671.7796197,RIGHT_HAND,-4060,6932,2388,1931,14171,2975,239
1730449671.8684013,RIGHT_HAND,-856,5984,5024,-1523,10075,8256,240
1730449671.8695467,RIGHT_HAND,-572,7184,3256,-4874,5469,11514,241
1730449671.913494,RIGHT_HAND,-1716,8708,1260,-6270,644,13456,242
1730449671.9149358,RIGHT_HAND,-4856,9968,740,-5983,-5196,15634,243
1730449671.9162645,RIGHT_HAND,-10248,11396,1732,-6915,-10399,16788,244
1730449671.960602,RIGHT_HAND,-14272,11732,4972,-3759,-8208,15275,245
1730449672.0036325,RIGHT_HAND,-19256,11700,5800,-2031,-16073,12476,246
1730449672.094935,RIGHT_HAND,-21252,10836,-1564,-1492,-13724,10963,247
1730449672.096099,RIGHT_HAND,-23840,9964,980,1239,-10830,8633,248
1730449672.138362,RIGHT_HAND,-26520,8800,2656,3966,-11798,4030,249
1730449672.1392665,RIGHT_HAND,-29040,6392,6040,4301,-14540,-3621,250
1730449672.1401672,RIGHT_HAND,-32768,3696,6892,6327,-21746,-10031,251
1730449672.1836312,RIGHT_HAND,-32768,5440,8412,2570,-17218,-17133,252
1730449672.2290182,RIGHT_HAND,-32768,5400,11548,-6026,-4276,-21502,253
1730449672.2300851,RIGHT_HAND,-31996,6136,16008,-9181,4666,-26476,254
1730449672.2755926,RIGHT_HAND,-30028,9016,20400,-13027,-283,-31795,255
1730449672.3186154,RIGHT_HAND,-27184,11220,14776,-15019,4456,-32768,1
1730449672.3199217,RIGHT_HAND,-22056,12848,13348,-19413,17145,-32768,2
1730449672.3635347,RIGHT_HAND,-16000,12964,12132,-18313,26361,-31705,3
1730449672.4098084,RIGHT_HAND,-9556,12816,7500,-15514,32583,-29268,4
1730449672.4111679,RIGHT_HAND,-1152,11228,1748,-9924,32767,-24476,5
1730449672.4535306,RIGHT_HAND,5824,8660,4276,-3268,32767,-15512,6
1730449672.5445516,RIGHT_HAND,10820,5940,3932,266,32767,-7476,7
1730449672.5457542,RIGHT_HAND,13204,3372,2716,-224,28266,-2080,8
1730449672.5887582,RIGHT_HAND,13724,1084,860,-2130,15826,1788,9
1730449672.5898411,RIGHT_HAND,11536,-344,2356,-4684,-106,6458,10
1730449672.5908775,RIGHT_HAND,6732,924,3288,-7661,-12339,10625,11
1730449672.633475,RIGHT_HAND,988,1956,1528,-6774,-26595,14422,12
1730449672.6784992,RIGHT_HAND,-7148,2052,-2328,-2866,-32768,17290,13
1730449672.7686262,RIGHT_HAND,-27348,2040,3760,4616,-32768,20815,14
1730449672.7697656,RIGHT_HAND,-20108,-32,1660,7219,-29237,22524,15
1730449672.7706652,RIGHT_HAND,-21248,1972,2436,5472,-19849,22636,16
1730449672.7716858,RIGHT_HAND,-24164,3632,5420,2965,-9623,22010,17
1730449672.813043,RIGHT_HAND,-23760,5072,5560,2784,-4632,19300,18
1730449672.858492,RIGHT_HAND,-22172,5148,2964,2322,-4368,17232,19
1730449672.9035096,RIGHT_HAND,-19936,7152,3676,-204,-1670,14587,20
1730449672.9045901,RIGHT_HAND,-16740,6768,5152,2387,542,15883,21
1730449672.9945526,RIGHT_HAND,-17484,8076,-224,2671,-2627,17299,22
1730449672.995602,RIGHT_HAND,-15872,9700,740,1264,6162,17499,23
1730449672.9966214,RIGHT_HAND,-12128,13128,1980,1249,7567,19016,24
1730449673.0386746,RIGHT_HAND,-13956,13672,468,3313,3371,20613,25
1730449673.0835178,RIGHT_HAND,-13028,15384,1168,4268,2193,20197,26
1730449673.0845578,RIGHT_HAND,-11404,15488,2264,5401,4601,20721,27
1730449673.128527,RIGHT_HAND,-11956,15012,-204,6722,5424,23209,28
1730449673.219632,RIGHT_HAND,-11896,15444,-768,1891,4767,23308,29
1730449673.2206984,RIGHT_HAND,-10256,17632,2596,842,3440,23684,30
1730449673.2637742,RIGHT_HAND,-10480,18752,2176,2079,2261,23804,31
1730449673.2647536,RIGHT_HAND,-9980,18820,1744,1570,4656,21621,32
1730449673.2657022,RIGHT_HAND,-8952,17608,1976,301,4301,18697,33
1730449673.308559,RIGHT_HAND,-7852,16664,852,-1745,2634,14264,34
1730449673.3537285,RIGHT_HAND,-6580,15956,1308,-2829,874,9956,35
1730449673.354756,RIGHT_HAND,-5768,15360,1516,-3029,-2371,6374,36
1730449673.443728,RIGHT_HAND,-5260,14688,1192,-2362,-6208,3856,37
1730449673.4896293,RIGHT_HAND,-5636,14656,956,-2374,-10540,1636,38
1730449673.490626,RIGHT_HAND,-5428,15132,464,-2526,-17494,-902,39
1730449673.4915698,RIGHT_HAND,-6448,15864,396,-1552,-23207,-3966,40
1730449673.533495,RIGHT_HAND,-7352,16392,-124,-114,-19719,-4955,41
1730449673.5784483,RIGHT_HAND,-7508,16104,-1816,-342,-8425,-4264,42
1730449673.5795205,RIGHT_HAND,-5884,15960,-2092,-1709,4179,-2668,43
1730449673.6685016,RIGHT_HAND,-3960,16096,-2000,-3001,14157,-729,44
1730449673.6706665,RIGHT_HAND,-2452,16108,-1284,-3057,20351,988,45
1730449673.6717212,RIGHT_HAND,-188,16700,1252,-2240,20275,1479,46
1730449673.7134976,RIGHT_HAND,1104,16596,2576,-706,14161,1913,47
1730449673.758506,RIGHT_HAND,1312,15828,1816,-56,7515,999,48
