time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729742219.7514217,RIGHT_HAND,616,16236,-732,-431,-1139,-264,228
1729742219.8412375,RIGHT_HAND,-300,17136,-8412,551,-6061,-4321,230
1729742219.8862472,RIGHT_HAND,-9740,21352,-13988,10912,-5918,-2096,232
1729742219.9314473,RIGHT_HAND,-13232,24392,-16448,14787,13832,-11701,234
1729742219.977242,RIGHT_HAND,-13316,28592,-13068,27395,5203,-23967,236
1729742220.0657356,RIGHT_HAND,-15900,23992,-9532,29728,-4466,-32768,238
1729742220.110892,RIGHT_HAND,-14236,21396,-6568,25267,-1123,-32768,239
1729742220.1112456,RIGHT_HAND,-11092,17320,-3516,21591,-1528,-32768,240
1729742220.155961,RIGHT_HAND,-6436,13052,-1884,15371,-2726,-32768,241
1729742220.1563916,RIGHT_HAND,-2392,9276,1120,6549,-5984,-30699,242
1729742220.2013521,RIGHT_HAND,-84,8440,4876,1741,-13505,-25674,243
1729742220.2024183,RIGHT_HAND,5988,10664,-1172,2258,-21171,-15620,244
1729742220.2913527,RIGHT_HAND,9024,10000,-9860,4588,-3936,-6493,245
1729742220.336526,RIGHT_HAND,3004,4872,-2120,5683,-5821,-5850,246
1729742220.3376386,RIGHT_HAND,3324,2916,456,2711,-14730,-643,247
1729742220.3815024,RIGHT_HAND,3048,572,1876,-1492,-12194,3637,248
1729742220.382473,RIGHT_HAND,2200,2092,1424,-9247,-10654,6535,249
1729742220.4265234,RIGHT_HAND,1484,5376,1172,-13800,-4603,10466,250
1729742220.4274995,RIGHT_HAND,-744,9564,3204,-10691,-5356,18712,251
1729742220.5165186,RIGHT_HAND,-2556,9124,2884,-10203,-11534,24468,252
1729742220.5175033,RIGHT_HAND,-6732,11856,2836,-18626,-18724,27164,253
1729742220.5612361,RIGHT_HAND,-15012,19712,5516,-18528,-30517,28624,254
1729742220.562142,RIGHT_HAND,-21296,20500,9916,-4041,-32768,22031,255
1729742220.606155,RIGHT_HAND,-26704,18708,7676,-1022,-32768,16441,1
