time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729742025.4511218,RIGHT_LEG,16000,-1888,4856,-484,-443,250,234
1729742025.584113,RIGHT_LEG,16068,-1960,4712,-356,-252,332,236
1729742025.5859115,RIGHT_LEG,16096,-1840,4764,-393,-238,231,238
1729742025.6316285,RIGHT_LEG,15936,-2044,4748,-368,-264,61,240
1729742025.764321,RIGHT_LEG,16072,-2056,4880,-300,-191,118,242
1729742025.7656198,RIGHT_LEG,16080,-2044,4764,-339,-181,111,243
1729742025.809788,RIGHT_LEG,16020,-2092,4860,-407,-237,157,244
1729742025.8110445,RIGHT_LEG,16036,-1812,4800,-442,-254,192,245
1729742025.812081,RIGHT_LEG,16040,-2008,4876,-471,-233,271,246
1729742025.8552265,RIGHT_LEG,16132,-2036,4620,-494,-215,395,247
1729742025.8991563,RIGHT_LEG,15984,-2052,4784,-575,-135,550,248
1729742025.9902394,RIGHT_LEG,16080,-2232,4764,-509,-59,556,249
1729742025.9917262,RIGHT_LEG,15892,-2332,4908,-522,-70,488,250
1729742026.0365043,RIGHT_LEG,16040,-2384,4884,-549,-141,345,251
1729742026.0373893,RIGHT_LEG,16100,-2048,4768,-599,-61,350,252
1729742026.0382762,RIGHT_LEG,15840,-2272,5004,-530,-135,453,253
1729742026.0801263,RIGHT_LEG,16000,-2424,5052,-539,-200,412,254
1729742026.1264658,RIGHT_LEG,15952,-2332,4908,-503,-237,341,255
1729742026.1273823,RIGHT_LEG,15984,-2256,4828,-481,-208,246,1
1729742026.2153952,RIGHT_LEG,16004,-2128,4976,-479,-171,340,2
1729742026.2173283,RIGHT_LEG,15880,-2464,4980,-487,-198,431,3
1729742026.2183864,RIGHT_LEG,16056,-2392,4916,-475,-131,343,4
1729742026.2616756,RIGHT_LEG,15880,-2432,4976,-473,-122,492,5
1729742026.3071716,RIGHT_LEG,15892,-2688,5008,-586,-153,326,6
1729742026.3518972,RIGHT_LEG,15924,-2324,4824,-525,-168,339,7
1729742026.3527923,RIGHT_LEG,15824,-2544,5044,-511,-180,477,8
1729742026.4417205,RIGHT_LEG,15848,-2532,5040,-575,-169,382,9
1729742026.4426358,RIGHT_LEG,15816,-2688,5060,-469,-242,397,10
1729742026.486944,RIGHT_LEG,15844,-2644,4988,-531,-289,285,11
1729742026.487807,RIGHT_LEG,15880,-2736,4852,-662,-187,74,12
1729742026.488728,RIGHT_LEG,15720,-2984,5028,-494,-184,189,13
1729742026.5329509,RIGHT_LEG,15812,-2704,5004,-365,-143,128,14
1729742026.5787394,RIGHT_LEG,15904,-2860,5012,-322,-143,89,15
1729742026.6670723,RIGHT_LEG,15788,-2716,4972,-431,-118,231,16
1729742026.6682665,RIGHT_LEG,15840,-2656,4976,-356,-107,300,17
1729742026.7122045,RIGHT_LEG,15852,-2704,5052,-320,-137,269,18
1729742026.7131221,RIGHT_LEG,16008,-2688,5092,-412,-129,344,19
1729742026.7140093,RIGHT_LEG,15812,-2624,5124,-515,-141,223,20
1729742026.7581978,RIGHT_LEG,15756,-2872,5164,-478,-170,194,21
1729742026.8023198,RIGHT_LEG,15808,-2764,5156,-514,-207,115,22
1729742026.8034127,RIGHT_LEG,15768,-2640,5096,-513,-258,76,23
1729742026.893265,RIGHT_LEG,15884,-2772,5056,-512,-239,96,24
1729742026.9393961,RIGHT_LEG,15776,-2792,5224,-510,-242,119,25
1729742026.9404483,RIGHT_LEG,15844,-2628,5040,-534,-275,129,26
1729742026.941488,RIGHT_LEG,15904,-2820,5168,-499,-269,187,27
1729742026.9842694,RIGHT_LEG,15748,-2824,5184,-488,-272,142,28
1729742027.0295558,RIGHT_LEG,15856,-2752,5072,-455,-271,145,29
1729742027.030657,RIGHT_LEG,15864,-2888,5024,-442,-290,135,30
1729742027.1196992,RIGHT_LEG,15880,-2708,5224,-431,-294,150,31
1729742027.1210861,RIGHT_LEG,15888,-2676,5168,-426,-255,149,32
1729742027.165396,RIGHT_LEG,15836,-2920,5060,-397,-274,112,33
1729742027.166765,RIGHT_LEG,15756,-2844,5040,-404,-279,62,34
1729742027.2097962,RIGHT_LEG,15904,-2756,5172,-398,-274,66,35
1729742027.2108037,RIGHT_LEG,15756,-2836,5116,-382,-262,90,36
1729742027.2545836,RIGHT_LEG,15824,-2948,4992,-356,-225,131,37
1729742027.3443606,RIGHT_LEG,15788,-2896,5004,-357,-244,91,38
1729742027.3453348,RIGHT_LEG,15724,-2804,4984,-392,-255,41,39
1729742027.3462102,RIGHT_LEG,15780,-2884,5156,-381,-267,59,40
1729742027.3471155,RIGHT_LEG,15680,-2836,5244,-419,-249,65,41
1729742027.39049,RIGHT_LEG,15828,-2792,4904,-412,-247,113,42
1729742027.4355881,RIGHT_LEG,15764,-2808,5128,-429,-261,131,43
1729742027.4805498,RIGHT_LEG,15884,-2720,5152,-456,-281,159,44
1729742027.4816449,RIGHT_LEG,15872,-2968,5196,-473,-274,152,45
1729742027.570883,RIGHT_LEG,15720,-2860,5196,-428,-261,103,46
1729742027.6165905,RIGHT_LEG,15860,-2816,5032,-434,-272,114,47
1729742027.6175628,RIGHT_LEG,15740,-2812,5056,-442,-300,105,48
1729742027.6184874,RIGHT_LEG,15932,-2796,5032,-459,-293,88,49
1729742027.6609712,RIGHT_LEG,15784,-2912,5072,-445,-241,73,50
1729742027.662198,RIGHT_LEG,15832,-2848,5148,-464,-257,33,51
1729742027.705347,RIGHT_LEG,15796,-2812,5092,-430,-267,64,52
1729742027.796362,RIGHT_LEG,15820,-2880,5004,-447,-304,89,53
1729742027.7975748,RIGHT_LEG,15888,-2908,5124,-427,-270,120,54
1729742027.8403785,RIGHT_LEG,15804,-2820,5036,-425,-232,107,55
1729742027.8413134,RIGHT_LEG,15744,-2864,5220,-427,-290,65,56
1729742027.842233,RIGHT_LEG,15928,-2936,5196,-399,-304,52,57
1729742027.8865585,RIGHT_LEG,15868,-2780,5052,-378,-302,-11,58
1729742027.9317267,RIGHT_LEG,15824,-2804,5220,-347,-279,19,59
1729742028.0202475,RIGHT_LEG,15764,-2796,5168,-356,-311,21,60
1729742028.0235,RIGHT_LEG,15804,-2944,5168,-374,-324,29,61
1729742028.0660942,RIGHT_LEG,15860,-2892,5148,-359,-298,-4,62
