time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449498.3870623,RIGHT_LEG,15900,-5052,3312,-437,-322,100,171
1730449498.4318893,RIGHT_LEG,15796,-4944,3504,-439,-672,168,173
1730449498.47753,RIGHT_LEG,15632,-5068,3416,-565,-907,-23,175
1730449498.565152,RIGHT_LEG,15876,-5148,2948,-406,-712,-88,177
1730449498.6102884,RIGHT_LEG,15780,-5128,3224,-417,-876,-233,179
1730449498.6556695,RIGHT_LEG,15784,-5048,3016,-411,-906,-263,180
1730449498.6567726,RIGHT_LEG,15848,-4940,2900,-319,-894,-269,181
1730449498.7018962,RIGHT_LEG,15940,-4964,2948,-298,-871,-242,182
1730449498.7029972,RIGHT_LEG,15808,-4952,2880,-298,-889,-252,183
1730449498.791073,RIGHT_LEG,15876,-4864,3044,-273,-902,-195,184
1730449498.835621,RIGHT_LEG,15992,-4732,2904,-240,-844,-158,185
1730449498.836564,RIGHT_LEG,15956,-4700,2624,-201,-679,-65,186
1730449498.8819075,RIGHT_LEG,15884,-4696,2724,-203,-402,64,187
1730449498.8831275,RIGHT_LEG,15960,-4744,2744,-249,-152,130,188
1730449498.9250607,RIGHT_LEG,15932,-4840,2696,-322,-71,144,189
1730449498.925395,RIGHT_LEG,15960,-4796,2792,-295,104,195,190
1730449499.0159082,RIGHT_LEG,15912,-4844,2708,-499,341,128,191
1730449499.060595,RIGHT_LEG,15868,-4940,2700,-388,546,145,192
1730449499.0617232,RIGHT_LEG,15956,-4724,2872,-150,722,326,193
1730449499.1056917,RIGHT_LEG,15792,-4800,3124,-252,822,384,194
1730449499.106745,RIGHT_LEG,15876,-4832,3348,-372,746,357,195
1730449499.1507006,RIGHT_LEG,15704,-5208,3676,-394,412,329,196
1730449499.1517692,RIGHT_LEG,15520,-5052,3688,-284,-47,246,197
1730449499.240696,RIGHT_LEG,15532,-4960,3528,-362,-346,191,198
1730449499.2417555,RIGHT_LEG,15808,-5128,3480,-363,-650,159,199
1730449499.2856855,RIGHT_LEG,15832,-5096,3404,-420,-798,23,200
1730449499.2867815,RIGHT_LEG,15756,-4988,3212,-414,-845,-38,201
1730449499.3308177,RIGHT_LEG,15768,-4864,2960,-425,-713,-53,202
1730449499.3319097,RIGHT_LEG,15752,-4996,2920,-450,-525,-17,203
