time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448106.2479405,RIGHT_HAND,-1804,15564,-5500,-3201,4916,99,88
1730448106.2937706,RIGHT_HAND,-2112,13920,-6200,-4737,7294,-581,90
1730448106.383728,RIGHT_HAND,-3444,15016,-6144,-8402,8754,-294,92
1730448106.4287643,RIGHT_HAND,-4568,16844,-6652,-8776,14178,2523,94
1730448106.4744847,RIGHT_HAND,-4364,15900,-4900,-5386,19315,2100,96
1730448106.5637183,RIGHT_HAND,-5476,18232,-2132,-2634,19788,1963,98
1730448106.564607,RIGHT_HAND,-5564,17824,-2912,-2044,21878,1528,99
1730448106.6074545,RIGHT_HAND,-5360,17404,-1684,-2359,25367,1381,100
1730448106.6535769,RIGHT_HAND,-4604,17536,-800,-2349,23599,1263,101
1730448106.6546264,RIGHT_HAND,-3356,16940,-308,-1640,20671,629,102
1730448106.743561,RIGHT_HAND,-2304,15844,744,-801,15574,276,103
1730448106.7873938,RIGHT_HAND,-1800,16164,1344,-2534,8981,405,104
1730448106.788174,RIGHT_HAND,-744,15768,3256,-764,5608,1268,105
1730448106.7889543,RIGHT_HAND,524,12852,1552,347,2916,1850,106
1730448106.8337395,RIGHT_HAND,1572,12560,724,-4433,2052,2868,107
1730448106.8346143,RIGHT_HAND,1432,15568,-1364,-9802,2637,3251,108
1730448106.8787434,RIGHT_HAND,1732,18412,-3620,-9863,8986,4278,109
1730448106.9234169,RIGHT_HAND,1736,20292,-5132,-9812,15478,5515,110
1730448106.9243824,RIGHT_HAND,2044,21440,-4420,-7722,20777,6716,111
1730448106.9685524,RIGHT_HAND,3668,18792,-1684,438,23171,6547,112
1730448107.0137253,RIGHT_HAND,5752,13992,492,4803,18493,4702,113
1730448107.0147705,RIGHT_HAND,6144,11864,560,3867,8315,2442,114
1730448107.0588045,RIGHT_HAND,4884,12592,-772,1347,-1421,1042,115
1730448107.1037624,RIGHT_HAND,2800,13768,-2736,1025,-4871,837,116
1730448107.1485643,RIGHT_HAND,596,13628,-3044,2551,-1579,1551,117
1730448107.1495998,RIGHT_HAND,-2612,12604,-3676,2261,4382,1183,118
1730448107.1937943,RIGHT_HAND,-3840,12368,-5080,1168,8743,-222,119
1730448107.238732,RIGHT_HAND,-3528,13808,-5044,-279,10302,-2100,120
1730448107.2395947,RIGHT_HAND,-3364,16512,-4980,345,8749,-4801,121
1730448107.2830386,RIGHT_HAND,-3464,19060,-4612,3759,8435,-7867,122
1730448107.3287165,RIGHT_HAND,-3596,22168,-4388,4954,9804,-9303,123
1730448107.3295596,RIGHT_HAND,-3808,24556,-2268,10651,12787,-9189,124
1730448107.3724592,RIGHT_HAND,-4032,26732,28,10295,14720,-7785,125
1730448107.4187376,RIGHT_HAND,-3304,25064,2352,12900,14107,-7252,126
1730448107.419777,RIGHT_HAND,-1204,19048,3116,13031,12851,-8123,127
1730448107.4631135,RIGHT_HAND,-1092,13324,1588,12524,9187,-10259,128
