time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448146.6948664,RIGHT_LEG,16092,-3252,2944,310,6199,2743,129
1730448146.696644,RIGHT_LEG,15792,-4332,4844,166,7780,3436,131
1730448146.7848217,RIGHT_LEG,16584,-4660,5104,-427,9116,4876,133
1730448146.8307958,RIGHT_LEG,17540,-4196,3840,-169,12921,7477,135
1730448146.8734548,RIGHT_LEG,24576,-8276,-1780,-2587,16759,11647,137
1730448146.963439,RIGHT_LEG,23364,-8496,2428,-4169,15027,15667,138
1730448146.9645393,RIGHT_LEG,16296,-3360,20956,-3714,13880,14761,139
1730448147.008438,RIGHT_LEG,14780,-4484,15152,1532,9480,16862,140
1730448147.009443,RIGHT_LEG,8044,-620,9516,1109,2079,11088,141
1730448147.0545964,RIGHT_LEG,4844,-3912,9904,5109,-6141,10294,142
1730448147.0559552,RIGHT_LEG,6960,1588,5504,2746,-12394,3507,143
1730448147.1446369,RIGHT_LEG,6068,-980,5640,6175,-20720,1906,144
1730448147.189747,RIGHT_LEG,8012,-2388,6692,4864,-25883,-1825,145
1730448147.1906424,RIGHT_LEG,10220,-1696,8596,4858,-30693,-5475,146
1730448147.1915164,RIGHT_LEG,12604,-1752,8764,8046,-32768,-8621,147
1730448147.2348077,RIGHT_LEG,16024,-3644,10172,14043,-32768,-10771,148
1730448147.2359622,RIGHT_LEG,22012,-4012,11524,18979,-32768,-12438,149
1730448147.2782218,RIGHT_LEG,26812,-3064,13024,26105,-32768,-12122,150
1730448147.324893,RIGHT_LEG,20532,-3092,12016,25080,-32768,-9148,151
1730448147.325956,RIGHT_LEG,14788,-7480,13628,14323,-19698,-8073,152
1730448147.3695953,RIGHT_LEG,9264,-6100,11932,1877,-359,-5866,153
1730448147.4136431,RIGHT_LEG,11168,-6472,7772,6353,9376,-1487,154
1730448147.4152937,RIGHT_LEG,24544,-10668,-4972,6713,11339,915,155
1730448147.4588013,RIGHT_LEG,20896,-14736,6776,1117,13275,-52,156
1730448147.504367,RIGHT_LEG,14624,-10484,1292,5329,12094,1947,157
1730448147.5055022,RIGHT_LEG,14832,-2840,3304,5107,9731,1646,158
1730448147.593538,RIGHT_LEG,16184,-3892,4076,3342,7864,526,159
1730448147.684287,RIGHT_LEG,15736,-4308,6296,3089,5807,582,160
1730448147.686384,RIGHT_LEG,16080,-4140,5096,3086,4160,844,161
1730448147.688185,RIGHT_LEG,16252,-3120,4372,2197,3394,959,162
1730448147.6893857,RIGHT_LEG,16272,-3216,4280,-592,3737,726,163
1730448147.7296672,RIGHT_LEG,16356,-3640,3740,-370,3585,1291,164
1730448147.7729692,RIGHT_LEG,15688,-4084,4324,209,3909,1523,165
1730448147.8191936,RIGHT_LEG,16168,-3452,4028,-360,4625,1650,166
1730448147.8635542,RIGHT_LEG,15340,-4344,4952,-150,4712,2056,167
1730448147.8658974,RIGHT_LEG,15708,-4204,4948,474,5126,2585,168
1730448147.9087799,RIGHT_LEG,15676,-4172,5056,1166,5644,3369,169
1730448147.95507,RIGHT_LEG,15308,-4544,4664,1222,6844,4288,170
1730448147.956094,RIGHT_LEG,16400,-4464,5632,620,8495,5040,171
1730448148.0001602,RIGHT_LEG,16400,-5528,6016,316,9536,6260,172
