time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729665654.818673,RIGHT_HAND,-3948,15036,5584,-744,-521,-123,181
1729665654.8624034,RIGHT_HAND,-4360,15076,5440,-804,592,-62,183
1729665654.9984384,RIGHT_HAND,-8216,15928,5304,-1703,2721,216,185
1729665655.0000074,RIGHT_HAND,-15108,19636,6384,-761,17584,-1021,187
1729665655.0873713,RIGHT_HAND,-18584,23500,3736,8569,32767,-11468,189
1729665655.178518,RIGHT_HAND,-15960,21740,2756,19519,32767,-25531,191
1729665655.1795487,RIGHT_HAND,-15192,16868,-5664,32767,32767,-27477,192
1729665655.222522,RIGHT_HAND,-12184,10904,-9260,32767,32767,-23207,193
1729665655.2234135,RIGHT_HAND,-8056,7816,-6436,25238,32767,-22746,194
1729665655.268283,RIGHT_HAND,-3092,8084,-4572,24479,32767,-18989,195
1729665655.2693071,RIGHT_HAND,-536,3424,-2572,29628,32767,-12865,196
1729665655.3135214,RIGHT_HAND,420,668,-540,24008,31388,-11599,197
1729665655.4022524,RIGHT_HAND,1452,-856,680,12489,19162,-7032,198
1729665655.4030297,RIGHT_HAND,2728,-1396,3228,4424,10241,-5233,199
1729665655.4472518,RIGHT_HAND,3568,-2332,5668,-2536,3563,-3773,200
1729665655.4481578,RIGHT_HAND,1756,-1956,6840,-15880,-9092,-2108,201
1729665655.449047,RIGHT_HAND,-124,-776,4728,-29624,-19376,-1148,202
1729665655.4924822,RIGHT_HAND,-544,2136,688,-32768,-22167,1775,203
1729665655.5375116,RIGHT_HAND,-1400,4408,-1200,-32768,-19356,4394,204
1729665655.538642,RIGHT_HAND,920,9332,-328,-32768,-17631,7853,205
1729665655.6285858,RIGHT_HAND,-1176,17556,-1984,-32768,-15279,11701,206
1729665655.6305768,RIGHT_HAND,-4248,26396,23644,-32768,-18404,10703,207
1729665655.6324651,RIGHT_HAND,-7412,32767,28172,-32768,-32768,14447,208
1729665655.6725013,RIGHT_HAND,-13456,32767,22116,17764,6664,15164,209
1729665655.7173712,RIGHT_HAND,-10720,18696,6972,22273,5194,5895,210
1729665655.7184973,RIGHT_HAND,-5456,21580,-2716,-812,-1184,-12741,211
1729665655.7625027,RIGHT_HAND,-2752,32767,-1564,5023,10761,-12893,212
1729665655.8535068,RIGHT_HAND,-6212,32767,10532,32767,32767,-9142,213
1729665655.8547597,RIGHT_HAND,-7160,32767,9352,32767,26869,-11854,214
1729665655.8985777,RIGHT_HAND,-7280,28724,804,32767,32767,-6148,215
1729665655.8996034,RIGHT_HAND,-5616,20176,-548,32767,30357,-4097,216
1729665655.9424555,RIGHT_HAND,-2860,14044,-736,32767,21405,-1858,217
1729665655.9436069,RIGHT_HAND,-1200,6896,-3388,32767,16187,3271,218
1729665655.989312,RIGHT_HAND,-804,3352,-7952,32767,9742,4489,219
1729665656.1223054,RIGHT_HAND,-2592,2200,-12576,26814,-3552,560,220
1729665656.1232994,RIGHT_HAND,-2580,-300,-19940,32767,6132,2358,221
1729665656.1252992,RIGHT_HAND,-480,-3236,-26708,32767,21639,5000,222
1729665656.1262388,RIGHT_HAND,3572,-2240,-28976,30324,32767,4618,223
1729665656.1673687,RIGHT_HAND,3116,-3528,-25848,32767,32767,6429,224
1729665656.168545,RIGHT_HAND,12916,-8856,-24232,32767,32767,4740,225
1729665656.2137175,RIGHT_HAND,9168,-9728,-16004,32767,25725,4504,226
1729665656.214662,RIGHT_HAND,5936,-7460,-12796,32767,22809,4398,227
1729665656.3485403,RIGHT_HAND,4564,-9484,-9612,32767,17509,3892,228
1729665656.3925347,RIGHT_HAND,3216,-9420,-5912,32767,18760,1841,229
1729665656.3934295,RIGHT_HAND,320,-9648,-5832,28532,19469,-299,230
1729665656.3943007,RIGHT_HAND,1732,-9012,-1272,24635,23820,-1209,231
1729665656.4375498,RIGHT_HAND,3692,-11156,3540,22215,22336,-369,232
1729665656.4384532,RIGHT_HAND,5404,-13260,4628,20805,24650,-126,233
1729665656.4393408,RIGHT_HAND,1372,-13588,17000,16592,28345,1508,234
1729665656.5274131,RIGHT_HAND,6696,-16908,20116,-1248,5152,367,235
1729665656.5283594,RIGHT_HAND,6364,-16852,17008,-16816,1935,135,236
1729665656.5291893,RIGHT_HAND,5220,-16096,17208,-21012,-7794,779,237
1729665656.6185503,RIGHT_HAND,7008,-9976,8840,-32768,-6732,730,238
1729665656.6637087,RIGHT_HAND,5776,-2140,3488,-32768,1898,1432,239
1729665656.6645997,RIGHT_HAND,2452,8180,-7680,-32768,-4272,-1007,240
1729665656.6654644,RIGHT_HAND,1888,7556,-3392,-32768,1644,9907,241
1729665656.753467,RIGHT_HAND,8788,808,9168,-31127,12574,12526,242
1729665656.843467,RIGHT_HAND,6640,452,8952,15634,-6078,7080,243
1729665656.8443594,RIGHT_HAND,4716,-5784,4348,32767,-21746,-1178,244
1729665656.8451803,RIGHT_HAND,1360,-15684,-3348,32767,-23312,-3424,245
1729665656.8460205,RIGHT_HAND,-996,-10120,940,22727,-26039,-13379,246
1729665657.023404,RIGHT_HAND,2644,-3928,-4816,-7304,-7494,-22483,247
1729665657.0242841,RIGHT_HAND,3028,-2180,-11908,-28686,-13693,-32768,248
1729665657.0249999,RIGHT_HAND,516,10152,1280,-454,9119,-20077,249
1729665657.0684729,RIGHT_HAND,9020,4796,5244,16246,23445,-12269,250
1729665657.0693676,RIGHT_HAND,9924,-2276,4372,32767,29281,-3641,251
1729665657.0701962,RIGHT_HAND,2488,-988,520,32767,32767,4156,252
1729665657.0710378,RIGHT_HAND,19184,-12604,14056,18965,-1244,-1285,253
1729665657.1136606,RIGHT_HAND,9836,-13624,10904,-4307,-26055,3057,254
1729665657.114553,RIGHT_HAND,6836,-10244,7880,-18861,-32768,5422,255
