time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729665697.3145545,RIGHT_LEG,15400,5636,2580,262,-130,-61,38
1729665697.3163145,RIGHT_LEG,15328,5600,2588,235,-150,3,40
1729665697.3580334,RIGHT_LEG,15272,5788,2660,239,-158,11,42
1729665697.4046686,RIGHT_LEG,15316,5672,2556,239,-128,48,44
1729665697.5407765,RIGHT_LEG,15492,5648,2800,108,-143,-5,46
1729665697.5418336,RIGHT_LEG,15372,5752,2836,105,-261,-8,47
1729665697.5837312,RIGHT_LEG,15436,5728,2528,78,-335,130,48
1729665697.584639,RIGHT_LEG,15404,5552,2512,198,-243,42,49
1729665697.5855305,RIGHT_LEG,15536,5540,2664,158,-302,-16,50
1729665697.674812,RIGHT_LEG,15460,5704,2608,276,-314,-41,51
1729665697.763551,RIGHT_LEG,15396,5508,2660,332,-385,-81,52
1729665697.7644446,RIGHT_LEG,15300,5732,2656,124,-509,-104,53
1729665697.7653117,RIGHT_LEG,15392,5784,2708,198,-539,-50,54
1729665697.8085172,RIGHT_LEG,15384,5612,2260,258,-499,-92,55
1729665697.809681,RIGHT_LEG,15484,5496,2752,357,-409,-104,56
1729665697.8535225,RIGHT_LEG,15440,5580,2208,415,-397,-135,57
1729665697.8544683,RIGHT_LEG,15372,5756,2328,447,-222,-107,58
1729665697.8997576,RIGHT_LEG,15376,5624,2556,488,-84,-48,59
1729665697.9008174,RIGHT_LEG,15404,5648,2276,390,-82,-73,60
1729665697.9878738,RIGHT_LEG,15440,5688,2204,534,82,-124,61
1729665698.0335443,RIGHT_LEG,15376,5464,2532,574,97,-146,62
1729665698.034428,RIGHT_LEG,15564,5480,2676,470,-61,-265,63
1729665698.0352957,RIGHT_LEG,15324,5468,2536,465,-17,-277,64
1729665698.0787113,RIGHT_LEG,15408,5780,2692,451,-24,-307,65
1729665698.079795,RIGHT_LEG,15420,5976,2360,323,-18,-270,66
1729665698.124725,RIGHT_LEG,15480,5796,1876,597,473,-58,67
1729665698.2134223,RIGHT_LEG,14984,6044,1688,205,978,28,68
1729665698.2145872,RIGHT_LEG,14508,5684,2704,594,1506,489,69
1729665698.258711,RIGHT_LEG,15328,5912,3952,-340,970,533,70
1729665698.2595947,RIGHT_LEG,15360,5632,3216,-889,685,454,71
1729665698.260463,RIGHT_LEG,15308,5560,2880,-1041,548,380,72
1729665698.3047824,RIGHT_LEG,15396,5500,3288,-949,381,285,73
1729665698.3497021,RIGHT_LEG,15692,4980,3832,-729,-1,135,74
1729665698.3506312,RIGHT_LEG,15320,5352,3620,-379,-351,-109,75
1729665698.4385448,RIGHT_LEG,15396,5608,2908,-99,-419,-105,76
1729665698.440604,RIGHT_LEG,15416,5384,2400,-82,-147,-144,77
1729665698.4417703,RIGHT_LEG,15308,5620,2096,-177,502,-59,78
1729665698.4837434,RIGHT_LEG,15420,5584,2464,-721,871,50,79
1729665698.5286102,RIGHT_LEG,15328,5872,2584,-1010,1276,-1,80
1729665698.5735483,RIGHT_LEG,15664,5036,2384,-1558,1399,-153,81
1729665698.5747368,RIGHT_LEG,15676,5652,3132,-756,2079,36,82
1729665698.6628456,RIGHT_LEG,16128,5628,3908,-656,1708,139,83
1729665698.6649852,RIGHT_LEG,16372,5748,3440,-691,1769,341,84
1729665698.6653752,RIGHT_LEG,16864,5608,4148,-781,1294,263,85
1729665698.7096155,RIGHT_LEG,17808,5220,4680,-1065,112,442,86
1729665698.7995765,RIGHT_LEG,18800,4464,3940,-1184,-415,605,87
1729665698.8007526,RIGHT_LEG,16216,4600,2868,-303,495,611,88
1729665698.8894315,RIGHT_LEG,15576,5164,4264,-21,455,725,89
1729665698.8902395,RIGHT_LEG,15456,5076,3816,-126,148,462,90
1729665698.8910096,RIGHT_LEG,14840,5164,4184,450,-360,512,91
1729665698.9347596,RIGHT_LEG,14380,3908,3844,1080,-180,626,92
1729665698.9356635,RIGHT_LEG,13348,4712,3848,150,-362,359,93
1729665698.9365454,RIGHT_LEG,13248,5072,5596,1042,-3,243,94
1729665699.0235891,RIGHT_LEG,11680,4036,5496,-15,-150,-163,95
1729665699.025347,RIGHT_LEG,12132,5408,5012,589,612,-271,96
1729665699.026503,RIGHT_LEG,11780,3780,5404,-24,1039,-384,97
1729665699.1134992,RIGHT_LEG,11732,5660,5176,-1462,997,-1477,98
1729665699.2034023,RIGHT_LEG,12520,6660,4396,161,1893,-808,99
1729665699.2044597,RIGHT_LEG,15008,7008,6204,1893,1467,-587,100
1729665699.3383527,RIGHT_LEG,16328,2804,6768,1452,-183,-186,101
1729665699.3394017,RIGHT_LEG,14800,4696,3492,-657,-1205,-380,102
1729665699.340545,RIGHT_LEG,16428,5744,3660,2310,644,694,103
1729665699.3413088,RIGHT_LEG,15412,4432,5448,762,-484,542,104
1729665699.3420553,RIGHT_LEG,15372,6456,3660,-1681,-1928,-930,105
1729665699.3836517,RIGHT_LEG,15256,5328,2480,-1110,-626,-195,106
1729665699.4284244,RIGHT_LEG,15964,4924,5236,-878,-674,-246,107
1729665699.4295816,RIGHT_LEG,15528,3380,6360,-1212,-1450,-88,108
1729665699.4747202,RIGHT_LEG,16844,7176,4040,290,-1827,423,109
1729665699.4757948,RIGHT_LEG,18656,5340,3772,2990,-944,714,110
1729665699.5636292,RIGHT_LEG,15376,3960,2680,655,-1859,-133,111
1729665699.6097014,RIGHT_LEG,14924,6268,2332,1534,-335,296,112
1729665699.6105843,RIGHT_LEG,14856,5500,3524,1475,265,475,113
1729665699.611448,RIGHT_LEG,15412,5400,4392,934,64,405,114
1729665699.6534271,RIGHT_LEG,15388,5080,4904,741,-674,331,115
1729665699.6545765,RIGHT_LEG,15448,4748,3460,678,-1239,116,116
1729665699.699759,RIGHT_LEG,15536,5236,2136,739,-825,-158,117
