time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729667184.5368469,RIGHT_HAND,-640,16120,1612,-466,137,-292,51
1729667184.5804784,RIGHT_HAND,-772,15692,1132,-565,-88,16,58
1729667184.6717708,RIGHT_HAND,-10848,17548,-1808,-3540,5655,-4759,61
1729667184.7167516,RIGHT_HAND,-15468,14812,4964,4056,-6418,-20713,63
1729667184.7617764,RIGHT_HAND,-20156,14856,14296,-11250,-25872,-32768,65
1729667184.8054593,RIGHT_HAND,-21408,14648,22900,-31008,-26598,-32768,67
1729667184.8066337,RIGHT_HAND,-20548,14500,25240,-32768,-18239,-32768,68
1729667184.8967216,RIGHT_HAND,-19544,14092,26316,-32768,-14858,-32768,69
1729667184.8978148,RIGHT_HAND,-18812,12356,21004,-32768,-6279,-29718,70
1729667184.9418283,RIGHT_HAND,-16972,10232,22676,-32768,7293,-27398,71
1729667184.986752,RIGHT_HAND,-13524,8544,17368,-32768,7795,-25584,72
1729667184.9879243,RIGHT_HAND,-10768,7360,11284,-32768,10011,-23927,73
1729667185.0304408,RIGHT_HAND,-9024,5152,12136,-32768,12250,-21002,74
1729667185.0314052,RIGHT_HAND,-7464,2972,6688,-27194,9812,-17704,75
1729667185.12154,RIGHT_HAND,-6024,-72,-6240,-21999,7499,-14054,76
1729667185.1227138,RIGHT_HAND,-4736,-1108,1632,-11936,6080,-10634,77
1729667185.1664858,RIGHT_HAND,-4948,-5184,600,-5317,5473,-6539,78
1729667185.167687,RIGHT_HAND,-4356,-13360,-2540,1190,2804,-5878,79
1729667185.2117634,RIGHT_HAND,-3672,-15560,-2652,-3243,-340,-5935,80
1729667185.2129383,RIGHT_HAND,-4232,-14508,-3772,-13609,416,-5209,81
1729667185.2567425,RIGHT_HAND,-3268,-8760,-7440,-11843,3095,-3843,82
1729667185.2578158,RIGHT_HAND,-1876,-5080,-9872,-505,6883,-1061,83
1729667185.346774,RIGHT_HAND,-332,-4588,-9088,7337,5927,1371,84
1729667185.347839,RIGHT_HAND,1132,-4108,-9404,11312,6281,4267,85
1729667185.3917866,RIGHT_HAND,1836,-2076,-7904,11401,6343,7458,86
1729667185.3929803,RIGHT_HAND,2064,112,-7720,14238,8159,10953,87
1729667185.4367871,RIGHT_HAND,2176,2816,-5284,17837,11364,14683,88
1729667185.4379904,RIGHT_HAND,2380,4972,-2816,19777,10250,18729,89
1729667185.481728,RIGHT_HAND,2064,7256,-168,21132,6994,21314,90
1729667185.482811,RIGHT_HAND,968,11104,3164,21034,772,22461,91
1729667185.5717876,RIGHT_HAND,-700,14824,5124,22936,-4728,23679,92
1729667185.5730538,RIGHT_HAND,-2172,18096,6324,27460,-9688,23591,93
1729667185.6183727,RIGHT_HAND,-3176,21416,9184,28915,-11803,23016,94
1729667185.619659,RIGHT_HAND,-4080,26528,13120,27774,-14353,23297,95
1729667185.66172,RIGHT_HAND,-5560,32767,15460,28017,-17052,23390,96
1729667185.7066867,RIGHT_HAND,-7352,32767,20052,31762,-16992,22560,97
1729667185.7078187,RIGHT_HAND,-8312,32767,24740,32767,-14329,23605,98
