time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729666308.3581796,RIGHT_LEG,13724,7344,5280,-212,-530,-299,200
1729666308.4026124,RIGHT_LEG,14264,7112,4680,-2447,-1207,-797,202
1729666308.4486578,RIGHT_LEG,14028,7084,5392,-1756,-496,-252,204
1729666308.4947212,RIGHT_LEG,14168,7260,4800,-1391,324,102,206
1729666308.6273482,RIGHT_LEG,13940,6860,5048,-1683,1038,697,208
1729666308.6282423,RIGHT_LEG,13920,6932,5372,-1688,1704,912,209
1729666308.629007,RIGHT_LEG,14036,7264,5512,-1477,2209,1569,210
1729666308.6736526,RIGHT_LEG,14688,6788,4968,-2559,2807,1587,211
1729666308.674686,RIGHT_LEG,15356,6232,5864,-2689,3968,1780,212
1729666308.7174766,RIGHT_LEG,15540,5636,7612,-5097,3474,983,213
1729666308.7623925,RIGHT_LEG,12492,6792,9120,-3499,4158,1330,214
1729666308.763471,RIGHT_LEG,14132,4396,10812,-2128,3897,1179,215
1729666308.807543,RIGHT_LEG,11244,3280,13948,-6835,3598,-1911,216
1729666308.8524785,RIGHT_LEG,11052,1328,10672,-9322,2658,-2350,217
1729666308.8537886,RIGHT_LEG,10328,3868,9952,-8236,2762,-2808,218
1729666308.897442,RIGHT_LEG,10528,1792,8128,-5195,1105,-2219,219
1729666308.942299,RIGHT_LEG,10956,2276,5920,-1634,-2024,-1203,220
1729666308.94315,RIGHT_LEG,21524,9644,8300,-1357,-6177,-3322,221
1729666308.9872744,RIGHT_LEG,13964,3408,18360,4670,-4300,-2555,222
1729666309.032356,RIGHT_LEG,18324,6344,2708,3452,-6367,-4578,223
1729666309.0333378,RIGHT_LEG,15508,10372,5876,2165,-4658,-2477,224
1729666309.1242223,RIGHT_LEG,13504,5992,5176,5417,-1904,-735,225
1729666309.12631,RIGHT_LEG,14608,8068,5796,1959,-1855,-1380,226
1729666309.1276298,RIGHT_LEG,13664,7392,6448,1598,-1382,-553,227
1729666309.1675026,RIGHT_LEG,14312,7348,5844,478,-958,69,228
1729666309.2574525,RIGHT_LEG,13488,6444,6524,-635,-843,412,229
1729666309.3029187,RIGHT_LEG,13824,6720,6192,-921,-518,440,230
1729666309.3042324,RIGHT_LEG,13748,6504,5388,-931,256,787,231
1729666309.3473728,RIGHT_LEG,12808,7052,6420,-537,1331,1575,232
1729666309.4374113,RIGHT_LEG,14152,6544,4636,-1741,2102,1571,233
1729666309.4391055,RIGHT_LEG,14524,6296,2300,-3103,4654,2176,234
1729666309.4824474,RIGHT_LEG,15108,7616,2844,-4802,7581,3454,235
1729666309.4833746,RIGHT_LEG,13572,3564,13912,-6466,5961,3232,236
1729666309.4843776,RIGHT_LEG,11568,8032,9048,-12869,3320,3699,237
1729666309.5273743,RIGHT_LEG,9384,6400,10948,-7783,5402,7216,238
1729666309.6185095,RIGHT_LEG,1192,1308,24272,-8885,9294,7340,239
1729666309.6196601,RIGHT_LEG,4368,-868,23876,-10275,17121,7699,240
1729666309.708501,RIGHT_LEG,2800,-920,23920,-16503,22631,3848,241
1729666309.7093854,RIGHT_LEG,3408,1360,20528,-17068,27036,998,242
1729666309.7102468,RIGHT_LEG,3604,2208,18400,-11905,30849,-253,243
1729666309.7984867,RIGHT_LEG,4308,3128,18196,-7097,32056,-3081,244
1729666309.799376,RIGHT_LEG,3516,3672,17308,-5094,30533,-8036,245
1729666309.8002496,RIGHT_LEG,2552,5096,14488,-2345,28194,-12206,246
1729666309.8437257,RIGHT_LEG,2708,7520,14456,2282,24846,-14733,247
1729666309.844609,RIGHT_LEG,4036,7964,15040,5706,20370,-14741,248
1729666309.8454754,RIGHT_LEG,3368,7744,13300,7930,15049,-13378,249
1729666309.977791,RIGHT_LEG,956,5504,13904,7001,9307,-11377,250
1729666310.0235338,RIGHT_LEG,-504,6740,15780,11414,6346,-7739,251
1729666310.0244226,RIGHT_LEG,140,6832,15688,18242,5767,-5433,252
1729666310.0252416,RIGHT_LEG,3864,6964,14700,22043,951,-2031,253
1729666310.0261028,RIGHT_LEG,3404,5996,11356,21350,-4981,-872,254
1729666310.0687003,RIGHT_LEG,4420,6676,14524,23104,-7516,-1299,255
1729666310.0698419,RIGHT_LEG,7100,5244,15824,23333,-13798,-186,1
1729666310.113699,RIGHT_LEG,8764,6768,17444,23554,-17833,914,2
1729666310.1585116,RIGHT_LEG,10040,4292,12116,18656,-21675,282,3
1729666310.159652,RIGHT_LEG,11776,9320,13448,14094,-24395,-1736,4
