time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729667612.7926013,RIGHT_HAND,136,18460,-6712,1222,-4542,-1694,142
1729667612.8364503,RIGHT_HAND,1048,23788,-14508,4923,2315,1604,144
1729667612.8385837,RIGHT_HAND,4420,26292,-15684,14574,3941,3815,146
1729667612.927169,RIGHT_HAND,2964,28684,-11496,23037,-6344,5214,148
1729667612.9714072,RIGHT_HAND,-80,28244,-7996,26242,-2527,4691,150
1729667613.061603,RIGHT_HAND,-1000,24180,-6404,26353,-376,5185,152
1729667613.062678,RIGHT_HAND,-884,22480,-6376,25799,2948,5300,153
1729667613.1074946,RIGHT_HAND,524,19780,-6808,25728,4067,5109,154
1729667613.1523027,RIGHT_HAND,1704,17772,-9096,24935,4464,5615,155
1729667613.1532936,RIGHT_HAND,2964,16040,-8420,23294,6305,6566,156
1729667613.1971548,RIGHT_HAND,3980,13564,-7824,24256,1236,7340,157
1729667613.2405884,RIGHT_HAND,2700,10456,-7004,24125,-1065,7590,158
1729667613.2417803,RIGHT_HAND,2032,7524,-5808,22471,-1341,7543,159
1729667613.2863514,RIGHT_HAND,1056,4536,-4572,19731,-2553,8017,160
1729667613.3312905,RIGHT_HAND,120,1756,-5024,18299,-1037,7814,161
1729667613.3325148,RIGHT_HAND,-16,-904,-4656,16282,29,8351,162
1729667613.3770187,RIGHT_HAND,524,-4252,-5252,13577,-1712,6820,163
1729667613.421754,RIGHT_HAND,316,-6356,-7724,8295,-2908,4333,164
1729667613.4229133,RIGHT_HAND,-104,-6200,-9680,1959,-1494,1895,165
1729667613.467349,RIGHT_HAND,196,-4632,-10708,-201,-66,684,166
1729667613.511979,RIGHT_HAND,440,-4716,-12388,876,-680,-279,167
1729667613.5129168,RIGHT_HAND,1300,-4644,-13232,-53,-13,-1081,168
1729667613.55601,RIGHT_HAND,1792,-5336,-15524,-1222,460,-1496,169
1729667613.601572,RIGHT_HAND,2216,-4616,-15652,-2126,2609,-1513,170
1729667613.6025338,RIGHT_HAND,3264,-4272,-16440,-1827,2631,-1022,171
1729667613.6469264,RIGHT_HAND,3144,-3996,-16868,-1990,445,-807,172
1729667613.6913838,RIGHT_HAND,2456,-4120,-16424,-1371,483,-1115,173
1729667613.692307,RIGHT_HAND,2884,-4012,-15816,-1124,1949,-835,174
1729667613.7371492,RIGHT_HAND,2584,-4216,-13384,-2260,172,-1146,175
1729667613.7813356,RIGHT_HAND,1244,-3660,-10220,-3330,-1822,-1667,176
1729667613.826962,RIGHT_HAND,-208,-2908,-4148,-5164,-3691,-2661,177
1729667613.8278856,RIGHT_HAND,-1264,-3016,-2876,-8357,-6373,-4672,178
1729667613.8719442,RIGHT_HAND,-2116,-1528,-1192,-14706,977,-6020,179
1729667613.9169161,RIGHT_HAND,-804,484,-2140,-24181,5772,-7815,180
1729667613.917834,RIGHT_HAND,652,3444,-4384,-27586,7402,-11112,181
1729667613.961794,RIGHT_HAND,1676,7852,-704,-31082,2755,-11941,182
1729667614.006919,RIGHT_HAND,1720,14080,-7144,-32768,-3246,-13151,183
1729667614.007845,RIGHT_HAND,-524,19328,-4244,-32768,-1430,-9359,184
1729667614.0522938,RIGHT_HAND,1668,21192,-8724,-28632,3590,-7827,185
1729667614.0963554,RIGHT_HAND,1024,21144,-7668,-30955,5385,-6797,186
1729667614.097285,RIGHT_HAND,2172,23280,-5904,-32075,6463,-8250,187
1729667614.1874335,RIGHT_HAND,1956,26800,-9652,-29466,2671,-7318,188
1729667614.2314534,RIGHT_HAND,2240,29664,-8632,-29134,9847,-7753,189
1729667614.2318175,RIGHT_HAND,4996,30100,-6992,-23565,5950,-8371,190
1729667614.2321854,RIGHT_HAND,4972,28640,-14888,-22622,763,-5774,191
1729667614.277782,RIGHT_HAND,3732,31204,-10180,-24025,5794,-4969,192
1729667614.2788465,RIGHT_HAND,4852,31084,-7176,-13457,-3517,-4878,193
1729667614.3677628,RIGHT_HAND,3036,24340,-10860,-9622,-7807,-5549,194
1729667614.4112885,RIGHT_HAND,1260,21748,-8972,-9452,-2452,-6174,195
1729667614.4124465,RIGHT_HAND,1724,21184,-5252,-5234,-146,-4729,196
1729667614.456957,RIGHT_HAND,1772,18568,-4720,-2576,-1193,-2664,197
1729667614.5021443,RIGHT_HAND,1100,18976,-4996,-5423,-5961,-540,198
1729667614.5030525,RIGHT_HAND,2004,21800,-11380,2394,-5235,64,199
1729667614.5464942,RIGHT_HAND,1860,16168,-9768,4979,-4520,1145,200
1729667614.5919938,RIGHT_HAND,-1620,14280,-2576,-969,-3206,781,201
1729667614.59317,RIGHT_HAND,-1232,16828,-348,-3210,1203,7,202
1729667614.6378016,RIGHT_HAND,-1000,16512,1568,-468,2172,240,203
1729667614.6827734,RIGHT_HAND,-956,15476,2740,892,42,106,204
1729667614.7263522,RIGHT_HAND,-840,14968,2620,189,-408,69,205
1729667614.7275026,RIGHT_HAND,-1116,15312,1500,-1486,510,66,206
1729667614.7727952,RIGHT_HAND,-792,16524,700,-2060,602,58,207
1729667614.8169825,RIGHT_HAND,-328,16976,-428,-415,493,-61,208
1729667614.8181558,RIGHT_HAND,-204,16652,-584,452,-113,-248,209
1729667614.8619263,RIGHT_HAND,-316,16208,-660,106,-521,-490,210
1729667614.9069872,RIGHT_HAND,-500,16092,-604,-310,-200,-605,211
1729667614.9079194,RIGHT_HAND,-524,16204,-316,-812,-189,-734,212
1729667614.951907,RIGHT_HAND,-584,16332,-248,-522,-591,-614,213
1729667614.9971085,RIGHT_HAND,-804,16212,140,-333,-503,-421,214
