time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729667585.4760108,RIGHT_LEG,15436,-5236,4004,-385,-413,64,54
1729667585.5647678,RIGHT_LEG,15464,-5248,3884,-423,-404,31,56
1729667585.653608,RIGHT_LEG,15528,-5144,3948,-434,-386,89,58
1729667585.6984096,RIGHT_LEG,15520,-5260,3964,-389,-266,208,60
1729667585.788637,RIGHT_LEG,15588,-5188,3740,-452,-375,272,62
1729667585.7897115,RIGHT_LEG,15424,-5384,3940,-253,-403,379,63
1729667585.8334544,RIGHT_LEG,15608,-5192,3648,-303,-212,283,64
1729667585.8352308,RIGHT_LEG,15612,-5360,4064,-108,-211,376,65
1729667585.9245114,RIGHT_LEG,15432,-5392,4044,-222,-206,342,66
1729667585.9253864,RIGHT_LEG,15600,-5392,3960,-234,-258,342,67
1729667585.9262254,RIGHT_LEG,15584,-5504,3940,-518,-222,267,68
1729667586.0140078,RIGHT_LEG,15548,-5176,4156,-349,-250,317,69
1729667586.014266,RIGHT_LEG,15400,-5532,3980,-426,-273,340,70
1729667586.0578384,RIGHT_LEG,15408,-5352,3880,-451,-222,339,71
1729667586.0582187,RIGHT_LEG,15572,-5484,3952,-411,-192,354,72
1729667586.1486576,RIGHT_LEG,15436,-5584,4000,-476,-180,289,73
1729667586.23848,RIGHT_LEG,15284,-5596,4044,-539,-211,211,74
1729667586.2396774,RIGHT_LEG,15420,-5604,4060,-751,-217,51,75
1729667586.2412782,RIGHT_LEG,15268,-5724,3804,-635,-236,-40,76
1729667586.2421873,RIGHT_LEG,15336,-5840,3872,-505,-190,-153,77
1729667586.2430613,RIGHT_LEG,15392,-5452,4072,-502,-237,-237,78
1729667586.328449,RIGHT_LEG,15424,-5464,3960,-512,-253,-269,79
1729667586.3748786,RIGHT_LEG,15496,-5492,4036,-379,-289,-225,80
1729667586.3760092,RIGHT_LEG,15564,-5416,4008,-309,-308,-223,81
1729667586.4637644,RIGHT_LEG,15456,-5412,3984,-231,-421,-210,82
1729667586.4648976,RIGHT_LEG,15472,-5440,4076,-307,-440,-163,83
