time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729668113.9459379,RIGHT_HAND,-1376,16240,-776,-595,-98,-226,48
1729668114.0354195,RIGHT_HAND,-1076,16804,-812,-900,-370,-628,50
1729668114.1257966,RIGHT_HAND,-3440,18488,-1532,684,-9331,-7468,52
1729668114.2163484,RIGHT_HAND,-17996,25768,-12272,10429,-8355,-23793,54
1729668114.2180455,RIGHT_HAND,-24752,32767,-13676,24914,21445,-32768,56
1729668114.260471,RIGHT_HAND,-22176,31316,-13496,32767,27782,-32768,58
1729668114.306048,RIGHT_HAND,-20028,26436,-11124,32767,25288,-32768,59
1729668114.350403,RIGHT_HAND,-18780,21116,-9216,32767,30797,-32768,60
1729668114.3513188,RIGHT_HAND,-17232,17528,-6244,32767,32767,-32768,61
1729668114.3951156,RIGHT_HAND,-14400,13056,-1960,32767,32767,-32768,62
1729668114.4394197,RIGHT_HAND,-11004,8188,28,32767,32767,-32001,63
1729668114.440334,RIGHT_HAND,-7088,3548,256,30277,32767,-26701,64
1729668114.5306516,RIGHT_HAND,-4588,-232,-232,26712,32767,-22980,65
1729668114.5744772,RIGHT_HAND,-2412,-2708,-1528,21297,30635,-20548,66
1729668114.57475,RIGHT_HAND,-1820,-2568,772,14960,29170,-19829,67
1729668114.5750206,RIGHT_HAND,156,-3320,268,10097,26966,-18590,68
1729668114.6202972,RIGHT_HAND,1684,-2616,-1716,7410,32767,-16207,69
1729668114.6212063,RIGHT_HAND,3176,-3152,3452,5868,32767,-13437,70
1729668114.6654396,RIGHT_HAND,6532,-3984,6172,5436,32767,-11114,71
1729668114.7560468,RIGHT_HAND,7972,-4340,9016,3573,32767,-10638,72
1729668114.7569609,RIGHT_HAND,8664,-5012,11304,3445,28500,-9606,73
1729668114.7994184,RIGHT_HAND,9308,-5832,11232,3686,21573,-8272,74
1729668114.800291,RIGHT_HAND,9744,-5284,11984,4007,20660,-8331,75
1729668114.8011665,RIGHT_HAND,10936,-3632,15184,7408,17309,-4839,76
1729668114.8905172,RIGHT_HAND,10376,-3788,15800,9956,12298,-2917,77
1729668114.9354732,RIGHT_HAND,10904,-4272,18492,8210,11490,-595,78
1729668114.9363372,RIGHT_HAND,11416,-3268,19888,9297,7419,2971,79
1729668114.9372113,RIGHT_HAND,9792,-2668,18928,9453,3613,5194,80
1729668114.9806535,RIGHT_HAND,8584,-2456,19328,9643,-357,6173,81
1729668115.0254095,RIGHT_HAND,7932,-2704,19600,10608,-527,7514,82
1729668115.0263252,RIGHT_HAND,9444,-2384,20932,9910,1176,8869,83
1729668115.0699818,RIGHT_HAND,10580,-2292,22396,9477,395,11938,84
1729668115.1160386,RIGHT_HAND,10908,-3592,24152,10816,-3176,16850,85
1729668115.1172018,RIGHT_HAND,10352,-4840,23812,8007,-9044,20198,86
1729668115.1610434,RIGHT_HAND,10040,-5296,23496,6573,-10473,24111,87
1729668115.205181,RIGHT_HAND,9608,-6244,24304,5491,-10022,28622,88
1729668115.2059767,RIGHT_HAND,8884,-8012,27384,1842,-14529,31383,89
1729668115.2500212,RIGHT_HAND,7884,-9548,25996,-3581,-24982,32767,90
1729668115.2953935,RIGHT_HAND,5264,-9332,21128,-11465,-31825,32767,91
1729668115.2963078,RIGHT_HAND,3164,-8628,18528,-14638,-32348,32767,92
1729668115.340819,RIGHT_HAND,2424,-8380,13976,-17435,-30809,32767,93
1729668115.3856015,RIGHT_HAND,-980,-6412,10240,-29395,-30376,32767,94
1729668115.3866487,RIGHT_HAND,-3428,-3292,1972,-32768,-31106,32767,95
1729668115.4305139,RIGHT_HAND,-4228,1384,-1780,-32768,-24784,32767,96
1729668115.4742827,RIGHT_HAND,-8640,9068,-8812,-32768,-14617,31785,97
1729668115.475094,RIGHT_HAND,-9780,13184,-22684,-32768,9483,32424,98
1729668115.5207746,RIGHT_HAND,-9860,6216,-22672,-28773,32767,25903,99
1729668115.5652452,RIGHT_HAND,4120,2516,-11436,-3582,32767,14093,100
1729668115.5660372,RIGHT_HAND,15384,-11888,-20528,15350,9370,929,101
1729668115.656003,RIGHT_HAND,13632,-14576,-11548,-7553,-3893,-9172,102
1729668115.6572325,RIGHT_HAND,8204,-5516,-13788,-5133,-11777,-8706,103
1729668115.6581364,RIGHT_HAND,5304,-5628,-14556,6082,-9840,-7653,104
1729668115.7006643,RIGHT_HAND,3548,-7660,-12056,1822,-5943,-10801,105
1729668115.745519,RIGHT_HAND,2968,-5240,-9840,-5645,-4180,-14548,106
1729668115.789668,RIGHT_HAND,3492,-2164,-9028,-4021,-4039,-15901,107
1729668115.7899396,RIGHT_HAND,3932,-2912,-8212,-2700,-5721,-14858,108
1729668115.8801937,RIGHT_HAND,3904,-3808,-8380,-4424,-4301,-14007,109
1729668115.97048,RIGHT_HAND,3568,-5196,-4224,-7868,-6338,-12935,110
