time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729667972.4606645,RIGHT_LEG,15372,-5956,3536,-400,-492,38,39
1729667972.5502129,RIGHT_LEG,15424,-5976,3484,-221,-489,-72,41
1729667972.6383464,RIGHT_LEG,15496,-5712,3612,-381,-485,40,43
1729667972.682512,RIGHT_LEG,15584,-5740,3476,-462,-443,122,45
1729667972.773275,RIGHT_LEG,15436,-6508,3396,61,-32,234,47
1729667972.7741625,RIGHT_LEG,15320,-6068,3248,25,254,5,48
1729667972.8183682,RIGHT_LEG,15480,-5628,3000,485,318,200,49
1729667972.8194659,RIGHT_LEG,15464,-6416,3612,-195,668,45,50
1729667972.9086378,RIGHT_LEG,15436,-5996,4196,-1118,892,-236,51
1729667972.9096267,RIGHT_LEG,15476,-5572,4676,-1427,477,-293,52
1729667972.9988678,RIGHT_LEG,15336,-5940,4632,-685,-233,-39,53
1729667973.000609,RIGHT_LEG,15236,-6344,4108,-1160,-463,-331,54
1729667973.0435016,RIGHT_LEG,15464,-5980,3344,-1121,-442,-379,55
1729667973.0447752,RIGHT_LEG,15392,-5608,2636,-670,-33,-230,56
1729667973.0465014,RIGHT_LEG,15580,-5948,2964,-236,462,74,57
1729667973.0484986,RIGHT_LEG,15268,-6104,3264,-904,1212,-197,58
1729667973.088495,RIGHT_LEG,15328,-5736,3664,-1335,1773,-323,59
1729667973.0897267,RIGHT_LEG,15384,-5444,4300,-1389,1824,-276,60
1729667973.1341875,RIGHT_LEG,15336,-5992,4992,-1309,1460,-171,61
1729667973.2235181,RIGHT_LEG,15228,-5808,5756,-1597,788,-256,62
1729667973.2247488,RIGHT_LEG,15112,-5528,5604,-1734,-132,-161,63
1729667973.269581,RIGHT_LEG,15364,-5700,5220,-1688,-943,73,64
1729667973.2707927,RIGHT_LEG,15316,-5700,4632,-2266,-1159,96,65
1729667973.3586688,RIGHT_LEG,15304,-5780,3908,-2561,-1245,-55,66
1729667973.4045358,RIGHT_LEG,15212,-6280,3480,-2275,-1044,-141,67
1729667973.405718,RIGHT_LEG,15408,-6000,2748,-2197,-319,-133,68
1729667973.4505475,RIGHT_LEG,15336,-5396,2680,-1101,99,88,69
1729667973.45172,RIGHT_LEG,15456,-5748,3360,-546,408,380,70
1729667973.4945374,RIGHT_LEG,15348,-5956,3668,-804,648,386,71
1729667973.4964762,RIGHT_LEG,15284,-5808,3532,-681,790,477,72
1729667973.4974935,RIGHT_LEG,15060,-6704,4216,111,636,580,73
1729667973.498675,RIGHT_LEG,15228,-6092,4520,-340,561,372,74
