time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729670753.9397738,RIGHT_HAND,-3024,16228,1176,-621,1141,686,189
1729670753.9415464,RIGHT_HAND,-9992,21032,-8352,-3706,1449,2273,191
1729670753.9848254,RIGHT_HAND,-15524,20904,-4328,4404,19993,-5300,193
1729670754.1182055,RIGHT_HAND,-17252,19460,-8460,11522,12610,-14759,195
1729670754.1647396,RIGHT_HAND,-19960,22512,-5228,14564,25615,-15422,197
1729670754.1674514,RIGHT_HAND,-17956,20232,-44,11368,26015,-12954,199
1729670754.2083344,RIGHT_HAND,-17764,22508,1960,12598,30754,-10804,200
1729670754.2544487,RIGHT_HAND,-14580,20540,2688,17061,32767,-10976,201
1729670754.343288,RIGHT_HAND,-10420,18096,3488,14870,32767,-10860,202
1729670754.344496,RIGHT_HAND,-7732,16944,3660,13789,27482,-11842,203
1729670754.3881779,RIGHT_HAND,-5336,14840,2212,14179,24971,-12986,204
1729670754.38953,RIGHT_HAND,-2836,12412,704,11914,23367,-13271,205
1729670754.390762,RIGHT_HAND,76,10964,-2196,9177,19798,-13581,206
1729670754.432565,RIGHT_HAND,3016,9016,-2744,6756,19410,-13531,207
1729670754.4782214,RIGHT_HAND,5624,9180,-4096,5299,20786,-10062,208
1729670754.4793828,RIGHT_HAND,8744,7828,-5080,2108,21446,-7887,209
1729670754.5685503,RIGHT_HAND,11952,7588,-7564,225,15297,-6431,210
1729670754.5701892,RIGHT_HAND,12608,8644,-9232,-1972,12080,-4569,211
1729670754.5711074,RIGHT_HAND,14500,9932,-9048,-1638,5449,-1542,212
1729670754.6143327,RIGHT_HAND,13112,7992,-8736,-646,5370,2021,213
1729670754.659607,RIGHT_HAND,8388,7608,-10436,266,-8220,-1231,214
1729670754.6606574,RIGHT_HAND,2360,9068,-14316,-1574,-9123,-3887,215
1729670754.7034667,RIGHT_HAND,-1616,11440,-15764,-3465,-3031,-8479,216
1729670754.7935145,RIGHT_HAND,-3760,13196,-12160,-4469,2078,-15913,217
1729670754.7946804,RIGHT_HAND,-4204,15836,-10516,-4407,1653,-21052,218
1729670754.8394196,RIGHT_HAND,-4236,17756,-12976,-772,-799,-25284,219
1729670754.9285378,RIGHT_HAND,-2332,13396,-12064,5370,-1493,-28502,220
1729670754.929572,RIGHT_HAND,-108,8296,-15520,8581,-4820,-26161,221
1729670754.930418,RIGHT_HAND,1900,3136,-21184,10777,-2698,-20389,222
1729670754.9312692,RIGHT_HAND,4304,-1008,-20100,7056,1413,-16538,223
1729670755.0183797,RIGHT_HAND,7312,-5116,-18500,754,516,-13010,224
1729670755.0646048,RIGHT_HAND,7600,-4188,-18332,-584,-4852,-8662,225
1729670755.0656776,RIGHT_HAND,5792,-1596,-19628,-4674,-9480,-4719,226
1729670755.1098375,RIGHT_HAND,2812,328,-21804,-4117,-5953,-224,227
1729670755.111052,RIGHT_HAND,1152,1796,-23620,-1784,2134,4342,228
1729670755.1534796,RIGHT_HAND,2756,2504,-23896,-1491,9221,7808,229
1729670755.2885501,RIGHT_HAND,5088,1944,-23628,1571,8416,12069,230
1729670755.289699,RIGHT_HAND,5716,2016,-24688,2370,3734,16815,231
1729670755.3333716,RIGHT_HAND,5412,1476,-22408,4777,5266,21988,232
1729670755.3345504,RIGHT_HAND,4176,1184,-19428,4682,119,26147,233
1729670755.3358192,RIGHT_HAND,1012,3224,-17316,2777,1824,29447,234
1729670755.3366961,RIGHT_HAND,-1704,6472,-14044,-4243,6740,29035,235
1729670755.3375638,RIGHT_HAND,344,10992,-6016,-16938,-1770,28138,236
1729670755.3789935,RIGHT_HAND,-864,17672,-6544,-19672,-19748,17572,237
1729670755.4693155,RIGHT_HAND,-2272,22232,-5652,-862,-24057,9251,238
1729670755.5133438,RIGHT_HAND,-3232,14640,-14404,14787,-26379,1227,239
1729670755.5142424,RIGHT_HAND,-3224,7640,-17716,10737,-12971,208,240
1729670755.515119,RIGHT_HAND,-1068,4976,-17512,3102,1772,-1403,241
1729670755.559527,RIGHT_HAND,2280,6020,-15828,-4891,11728,-2548,242
1729670755.5607285,RIGHT_HAND,3772,9708,-12952,-7529,9690,-3496,243
1729670755.6033196,RIGHT_HAND,5276,11660,-8412,-3123,6451,-3432,244
1729670755.738385,RIGHT_HAND,5088,11012,-6088,6649,-2418,-2618,245
1729670755.7395642,RIGHT_HAND,3504,8344,-6188,9929,-12259,-1157,246
1729670755.7837164,RIGHT_HAND,1324,6468,-7944,5046,-18313,-832,247
1729670755.7841108,RIGHT_HAND,-1760,6408,-6036,-1854,-24025,217,248
1729670755.8293526,RIGHT_HAND,-5588,8064,-6148,-4714,-25974,2715,249
1729670755.8301637,RIGHT_HAND,-8440,9412,-6700,-5463,-21942,5803,250
1729670755.8309443,RIGHT_HAND,-9940,8608,-6768,-2951,-20362,9571,251
1729670755.9183495,RIGHT_HAND,-10380,8736,-8648,-4267,-19348,12930,252
1729670755.9193819,RIGHT_HAND,-11768,7884,-3488,-7216,-21408,16028,253
1729670755.920221,RIGHT_HAND,-13724,8956,-4512,-7948,-25712,19149,254
1729670755.9210055,RIGHT_HAND,-15744,10476,-8288,-10092,-22957,21335,255
