time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729670582.3727112,RIGHT_LEG,15212,-3972,5828,-371,-130,39,108
1729670582.416634,RIGHT_LEG,15372,-3916,5924,-318,-81,50,110
1729670582.5062222,RIGHT_LEG,15232,-3904,6096,-815,-99,109,112
1729670582.509128,RIGHT_LEG,15496,-4004,5796,-720,-227,191,114
1729670582.7316024,RIGHT_LEG,15312,-4236,6052,-1007,-160,84,116
1729670582.731856,RIGHT_LEG,15320,-4092,5980,-1122,-207,13,117
1729670582.7321143,RIGHT_LEG,15144,-4376,6084,-1076,-357,-67,118
1729670582.8212483,RIGHT_LEG,15172,-4084,6156,-871,-635,-36,119
1729670582.8220518,RIGHT_LEG,15416,-4224,6148,-896,-847,11,120
1729670582.8228235,RIGHT_LEG,15276,-4252,5596,-800,-889,-54,121
1729670582.9564838,RIGHT_LEG,15368,-4096,5504,-455,-818,-9,122
1729670582.9573007,RIGHT_LEG,15320,-4136,5976,-363,-871,-17,123
1729670582.9580503,RIGHT_LEG,15276,-4312,5808,-102,-993,8,124
1729670582.9588084,RIGHT_LEG,15308,-4152,5480,372,-1096,70,125
1729670583.2262287,RIGHT_LEG,15448,-4020,5180,820,-974,217,126
1729670583.2270303,RIGHT_LEG,15492,-4040,5220,650,-749,122,127
1729670583.2277527,RIGHT_LEG,15444,-4080,5244,602,-507,80,128
1729670583.2285268,RIGHT_LEG,15404,-3924,5548,481,-315,-22,129
1729670583.2711883,RIGHT_LEG,15396,-4116,5720,494,-311,-38,130
1729670583.2719882,RIGHT_LEG,15452,-4048,5492,157,-213,-103,131
1729670583.2727156,RIGHT_LEG,15332,-3632,5484,406,-194,-24,132
1729670583.2734895,RIGHT_LEG,15612,-3912,5772,203,-127,19,133
1729670583.3163006,RIGHT_LEG,15448,-3864,5692,-92,-84,-63,134
1729670583.317111,RIGHT_LEG,15332,-3920,5676,-142,11,-67,135
1729670583.3178802,RIGHT_LEG,15408,-3920,5716,-368,42,-143,136
1729670583.3611681,RIGHT_LEG,15600,-3816,5852,-591,77,-205,137
1729670583.361971,RIGHT_LEG,15348,-3904,5904,-542,74,-188,138
1729670583.3629827,RIGHT_LEG,15384,-3816,5760,-521,14,-138,139
1729670583.3637443,RIGHT_LEG,15436,-3920,5776,-361,15,-72,140
1729670583.364517,RIGHT_LEG,15344,-3896,5828,-349,21,-123,141
1729670583.4061832,RIGHT_LEG,15376,-3908,6056,-373,-38,-55,142
1729670583.451387,RIGHT_LEG,15188,-3644,6152,-691,-88,-159,143
1729670583.452425,RIGHT_LEG,15480,-3820,5896,-675,-192,-83,144
1729670583.4972346,RIGHT_LEG,15240,-3896,6096,-581,-190,-89,145
1729670583.4982805,RIGHT_LEG,15332,-3900,5952,-643,-249,-147,146
1729670583.5867467,RIGHT_LEG,15300,-3732,5804,-766,-184,-180,147
1729670583.6312246,RIGHT_LEG,15532,-3768,5928,-776,-184,-115,148
1729670583.6322644,RIGHT_LEG,15496,-3776,6000,-710,-186,-119,149
1729670583.6763802,RIGHT_LEG,15316,-3752,5992,-614,-189,-93,150
1729670583.6774127,RIGHT_LEG,15404,-3836,5960,-700,-275,-77,151
1729670583.7222474,RIGHT_LEG,15260,-3812,6060,-613,-460,37,152
1729670583.7232912,RIGHT_LEG,15380,-3800,6024,-590,-569,89,153
1729670583.811297,RIGHT_LEG,15352,-3780,5908,-640,-580,51,154
1729670583.9013534,RIGHT_LEG,15460,-3896,5840,-433,-742,145,155
1729670583.9021645,RIGHT_LEG,15488,-3952,5864,-214,-801,245,156
1729670583.9029536,RIGHT_LEG,15484,-3704,5620,94,-669,308,157
1729670583.9460468,RIGHT_LEG,15656,-3644,5664,-217,-519,261,158
1729670583.9469793,RIGHT_LEG,15484,-3892,5280,171,-301,416,159
1729670583.947878,RIGHT_LEG,15484,-4072,5828,386,-141,332,160
1729670584.0362437,RIGHT_LEG,15612,-3984,5604,407,-29,420,161
1729670584.0373032,RIGHT_LEG,15584,-3520,5260,357,272,477,162
1729670584.0380816,RIGHT_LEG,15436,-3796,5896,480,463,678,163
1729670584.0388331,RIGHT_LEG,15208,-3684,5816,226,594,626,164
1729670584.081427,RIGHT_LEG,15240,-3616,6052,-16,650,591,165
1729670584.171423,RIGHT_LEG,15240,-3700,6316,-628,684,535,166
1729670584.2164066,RIGHT_LEG,15096,-3948,6108,-876,655,467,167
1729670584.217243,RIGHT_LEG,15212,-3964,6440,-922,547,536,168
1729670584.2612936,RIGHT_LEG,15128,-4036,6328,-1095,476,532,169
1729670584.306374,RIGHT_LEG,14936,-4200,6332,-986,396,539,170
1729670584.307423,RIGHT_LEG,14828,-4332,6272,-1236,443,472,171
1729670584.3514063,RIGHT_LEG,15212,-3904,6196,-1788,584,213,172
1729670584.3963757,RIGHT_LEG,15104,-4532,6560,-1687,393,351,173
1729670584.397214,RIGHT_LEG,14812,-5064,6620,-1553,139,182,174
1729670584.4863207,RIGHT_LEG,15104,-4780,6228,-878,-60,159,175
1729670584.4880493,RIGHT_LEG,15216,-4396,6356,-473,-165,98,176
1729670584.4888422,RIGHT_LEG,14924,-4612,6296,-320,-119,33,177
1729670584.531479,RIGHT_LEG,15104,-4312,6236,-201,-87,51,178
1729670584.576677,RIGHT_LEG,15084,-4576,6424,-326,-99,-35,179
1729670584.6220272,RIGHT_LEG,14876,-4444,6692,-404,-181,-139,180
1729670584.6225355,RIGHT_LEG,14920,-4356,6556,-385,-363,-133,181
1729670584.7112427,RIGHT_LEG,14948,-4356,6600,-309,-519,-28,182
1729670584.713093,RIGHT_LEG,15008,-4152,6584,-461,-725,-11,183
1729670584.7138846,RIGHT_LEG,14996,-4148,6244,-354,-757,66,184
1729670584.8012414,RIGHT_LEG,15148,-4300,6212,-143,-703,150,185
1729670584.8030565,RIGHT_LEG,15140,-4536,6368,-145,-603,69,186
1729670584.8038523,RIGHT_LEG,14900,-4160,6516,-284,-613,4,187
1729670584.846441,RIGHT_LEG,14976,-4248,6368,-314,-661,54,188
1729670584.936233,RIGHT_LEG,15092,-4408,6416,-316,-694,97,189
1729670584.9373078,RIGHT_LEG,15040,-4404,6240,-354,-716,24,190
1729670584.9380832,RIGHT_LEG,15096,-4336,6328,-305,-736,51,191
