time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671064.225367,RIGHT_LEG,15528,-3856,5444,-494,-189,23,75
1729671064.2671204,RIGHT_LEG,15376,-3924,5636,-666,-223,-49,77
1729671064.2690043,RIGHT_LEG,15408,-4064,6012,-709,-483,43,79
1729671064.313823,RIGHT_LEG,15560,-3980,5064,-212,-409,126,81
1729671064.4022336,RIGHT_LEG,15556,-3864,5612,-141,-136,47,83
1729671064.4032807,RIGHT_LEG,15492,-3840,5384,-168,-136,47,84
1729671064.4467833,RIGHT_LEG,15576,-4032,5608,-129,-158,60,85
1729671064.5372953,RIGHT_LEG,15364,-3872,5624,-174,-83,54,86
1729671064.539669,RIGHT_LEG,15488,-3944,5448,-224,-80,20,87
1729671064.5811598,RIGHT_LEG,15356,-3988,5836,-272,-40,-19,88
1729671064.582032,RIGHT_LEG,15348,-3728,5752,-305,-51,-38,89
1729671064.5828922,RIGHT_LEG,15512,-4016,5896,-416,-70,-61,90
1729671064.6263204,RIGHT_LEG,15424,-3936,5880,-390,-91,-46,91
1729671064.7165582,RIGHT_LEG,15404,-3756,5692,-213,-158,54,92
1729671064.7176914,RIGHT_LEG,15344,-3796,5844,-316,-237,79,93
1729671064.7614093,RIGHT_LEG,15432,-3832,5536,-188,-284,168,94
1729671064.7626004,RIGHT_LEG,15512,-3996,5620,-58,-219,207,95
1729671064.8060105,RIGHT_LEG,15356,-3972,5912,-70,-175,161,96
1729671064.8072002,RIGHT_LEG,15364,-3796,5816,-288,-194,33,97
1729671064.8961294,RIGHT_LEG,15408,-3864,5880,-220,-243,59,98
1729671064.898147,RIGHT_LEG,15388,-3664,5852,-337,-370,88,99
1729671064.8989763,RIGHT_LEG,15460,-3840,5856,-513,-486,37,100
1729671064.9430864,RIGHT_LEG,15432,-3964,5824,-520,-551,22,101
1729671065.0319607,RIGHT_LEG,15448,-3732,5744,-607,-634,22,102
1729671065.0330794,RIGHT_LEG,15408,-3864,5588,-695,-692,61,103
1729671065.034028,RIGHT_LEG,15452,-3924,5632,-723,-664,-29,104
1729671065.0350614,RIGHT_LEG,15544,-3932,5552,-608,-604,-16,105
