time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671272.6702487,RIGHT_HAND,2164,15352,4592,-1675,-3435,3659,165
1729671272.6722045,RIGHT_HAND,1392,19572,4452,-8000,-9459,2514,167
1729671272.67403,RIGHT_HAND,604,16596,3276,-7681,-10378,3440,169
1729671272.8493044,RIGHT_HAND,120,17320,912,-11414,-11270,4307,171
1729671272.89445,RIGHT_HAND,-1208,18580,-1136,-11223,-9829,6213,173
1729671272.8954442,RIGHT_HAND,-1028,18800,-1120,-10533,-8318,6351,174
1729671272.9394758,RIGHT_HAND,-1064,17748,-1892,-8909,-9069,5981,175
1729671272.9840415,RIGHT_HAND,-1632,15784,-3872,-6920,-7511,5073,176
1729671272.9850466,RIGHT_HAND,-2088,14140,-4812,-5658,-3067,4127,177
1729671273.075655,RIGHT_HAND,-2060,14488,-4980,-6516,2094,3658,178
1729671273.0760665,RIGHT_HAND,-1220,16776,-5436,-6005,6454,3153,179
1729671273.118871,RIGHT_HAND,-348,18536,-5000,-3600,7830,2137,180
1729671273.1193132,RIGHT_HAND,56,19748,-3472,77,7224,-382,181
1729671273.2082632,RIGHT_HAND,800,20116,-1088,6301,5574,-4498,182
1729671273.2092197,RIGHT_HAND,1276,18612,-76,12368,1590,-8157,183
1729671273.2982802,RIGHT_HAND,828,17296,-876,13588,-831,-10333,184
1729671273.299155,RIGHT_HAND,64,18428,-188,11482,1398,-10747,185
1729671273.3434372,RIGHT_HAND,128,18500,2300,13491,4630,-9394,186
1729671273.3444757,RIGHT_HAND,664,16436,2056,12544,5603,-8161,187
1729671273.4333482,RIGHT_HAND,952,16136,2140,8767,6856,-7632,188
1729671273.5222032,RIGHT_HAND,1144,16160,3076,8452,6842,-6479,189
1729671273.5232522,RIGHT_HAND,1424,15580,2388,6215,6345,-5374,190
1729671273.568292,RIGHT_HAND,1600,15944,2048,3855,5883,-4302,191
1729671273.569179,RIGHT_HAND,1524,15848,1640,2783,5321,-2861,192
1729671273.5699062,RIGHT_HAND,1380,15212,1048,1547,5068,-1242,193
1729671273.5706384,RIGHT_HAND,1616,17692,-592,-1216,5139,721,194
1729671273.5713913,RIGHT_HAND,356,15916,3432,-1505,9262,1354,195
1729671273.658469,RIGHT_HAND,2296,15612,3152,-1934,1801,-485,196
1729671273.748543,RIGHT_HAND,884,16412,1668,-2759,-2031,-2207,197
1729671273.749575,RIGHT_HAND,96,18824,1208,-4745,-439,-2458,198
1729671273.7934356,RIGHT_HAND,104,17216,380,-1111,1963,-1525,199
1729671273.7943022,RIGHT_HAND,-260,13016,-1976,575,3948,-1011,200
1729671273.8367298,RIGHT_HAND,-616,14728,-1628,-5126,8939,-853,201
1729671273.8824618,RIGHT_HAND,-16,19204,1076,-4315,11315,-234,202
1729671273.883421,RIGHT_HAND,948,18396,1948,1416,7825,200,203
1729671273.9724596,RIGHT_HAND,740,16500,1228,-780,3319,-790,204
1729671273.973501,RIGHT_HAND,104,17372,608,-2118,-411,-1415,205
1729671274.0186398,RIGHT_HAND,-672,16412,296,-395,-2758,-994,206
1729671274.019551,RIGHT_HAND,-964,15092,-1216,-1893,-2929,-309,207
1729671274.0624466,RIGHT_HAND,-1732,15396,-1860,-3277,-3658,-423,208
1729671274.063501,RIGHT_HAND,-2068,16080,-3512,-1668,-6657,-685,209
1729671274.1074636,RIGHT_HAND,-636,15612,-4628,1285,-8384,-789,210
1729671274.1083353,RIGHT_HAND,-4764,15032,-3440,1245,-7734,-898,211
1729671274.197199,RIGHT_HAND,-4868,15316,-1668,-571,-861,-430,212
1729671274.1982434,RIGHT_HAND,-2588,17052,-828,-1574,4181,-93,213
1729671274.2424915,RIGHT_HAND,-1936,18004,652,-773,3010,-528,214
1729671274.2435386,RIGHT_HAND,-2008,17944,-220,1077,-1062,-1011,215
1729671274.2876153,RIGHT_HAND,-2208,16572,-1864,1817,1133,-475,216
1729671274.331422,RIGHT_HAND,-1560,15188,-1880,612,5658,40,217
1729671274.3324683,RIGHT_HAND,-232,15100,-1320,-1144,6061,104,218
1729671274.4214573,RIGHT_HAND,60,15432,-856,-1420,3047,179,219
1729671274.42251,RIGHT_HAND,-292,15784,-1052,-1071,-399,60,220
1729671274.466477,RIGHT_HAND,-1388,16208,-1188,-1411,-1167,-215,221
1729671274.4675138,RIGHT_HAND,-1860,16896,-760,-1088,-997,-636,222
1729671274.468296,RIGHT_HAND,-2036,16996,-860,74,-371,-793,223
1729671274.4690661,RIGHT_HAND,-1912,16272,-1412,615,1106,-618,224
1729671274.5113206,RIGHT_HAND,-1256,15796,-1860,-68,2410,-437,225
1729671274.5123417,RIGHT_HAND,-1540,15160,-1332,-773,2907,-301,226
1729671274.556412,RIGHT_HAND,-700,15564,-1512,-942,2189,-229,227
1729671274.5573351,RIGHT_HAND,-1156,15952,-1100,-1237,1062,-192,228
1729671274.646455,RIGHT_HAND,-1164,16528,-876,-749,590,-137,229
1729671274.647538,RIGHT_HAND,-1072,16516,-988,-404,-143,-206,230
1729671274.6915736,RIGHT_HAND,-1136,16576,-968,-280,-912,-350,231
