time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671272.537122,RIGHT_LEG,13332,4168,9860,15369,-20557,18587,117
1729671272.627444,RIGHT_LEG,14792,-6888,5348,1016,-32768,22213,119
1729671272.7622395,RIGHT_LEG,18044,-6036,11504,-16039,-32768,22647,121
1729671272.7649841,RIGHT_LEG,22924,-6600,15328,-15821,-32768,21635,123
1729671272.8074942,RIGHT_LEG,13592,-1968,11760,-1738,-28263,17629,125
1729671272.853227,RIGHT_LEG,2376,2436,13160,-2807,2121,-1200,127
1729671272.8545842,RIGHT_LEG,1588,3404,13384,-6073,13773,-10862,128
1729671272.8966224,RIGHT_LEG,1852,3056,12416,-3753,21077,-14608,129
1729671272.9411347,RIGHT_LEG,3680,1804,10832,406,25193,-14602,130
1729671272.9859545,RIGHT_LEG,5748,164,9568,3389,27232,-14059,131
1729671272.987005,RIGHT_LEG,9788,-1720,9056,4347,28322,-13685,132
1729671273.03033,RIGHT_LEG,15004,-3716,9888,3870,29318,-14486,133
1729671273.07635,RIGHT_LEG,17256,-5516,10192,933,30445,-16654,134
1729671273.1663027,RIGHT_LEG,18460,-5532,10744,-3360,30998,-18264,135
1729671273.1673346,RIGHT_LEG,19832,-4544,11184,-7091,30728,-18576,136
1729671273.2110639,RIGHT_LEG,19428,-5084,10784,-12247,29132,-18839,137
1729671273.2118297,RIGHT_LEG,17668,4,10168,-17338,25290,-17593,138
1729671273.2129462,RIGHT_LEG,20512,2176,10344,-16254,19104,-11814,139
1729671273.2558627,RIGHT_LEG,19540,1908,9504,-11323,10593,-7098,140
1729671273.3002675,RIGHT_LEG,21380,4568,10352,-12074,2696,-4068,141
1729671273.3012936,RIGHT_LEG,25092,5396,10372,-8028,-4488,1191,142
1729671273.346127,RIGHT_LEG,28096,2328,20608,-9414,-4398,3119,143
1729671273.3914585,RIGHT_LEG,29048,16124,-9956,7167,-23286,-730,144
1729671273.3924897,RIGHT_LEG,32767,-11488,-4324,5004,-24683,6836,145
1729671273.4350736,RIGHT_LEG,16124,3696,-228,-12780,-13306,499,146
1729671273.4813683,RIGHT_LEG,12436,-1980,-2360,-17364,-7595,-1298,147
1729671273.482402,RIGHT_LEG,16348,-7796,-6052,670,-5874,1083,148
1729671273.5272446,RIGHT_LEG,17272,-7844,1164,876,-459,-1895,149
1729671273.6152287,RIGHT_LEG,16336,-3300,4916,-549,745,-3130,150
