time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671604.423787,RIGHT_HAND,-9316,17236,-3596,2269,8291,-2316,186
1729671604.4261606,RIGHT_HAND,-9032,16256,128,4221,674,-7544,188
1729671604.4710526,RIGHT_HAND,-11336,15508,1064,3599,-2130,-12504,190
1729671604.5144253,RIGHT_HAND,-9428,15420,3284,-936,459,-15508,192
1729671604.5584323,RIGHT_HAND,-6156,14404,4196,-2386,-1010,-14449,194
1729671604.6491487,RIGHT_HAND,-2520,12176,3240,-5063,-2233,-12183,196
1729671604.649957,RIGHT_HAND,-1252,11652,1496,-4488,124,-9342,197
1729671604.6939092,RIGHT_HAND,384,10600,468,-3071,2705,-6027,198
1729671604.828338,RIGHT_HAND,2156,8548,-492,-2065,4472,-2080,199
1729671604.8292222,RIGHT_HAND,2608,11196,-952,-4066,5826,2459,200
1729671604.8303518,RIGHT_HAND,1716,14828,-3100,-1915,17062,6286,201
1729671604.8311636,RIGHT_HAND,-524,13484,2756,-2456,-653,8676,202
1729671604.8724706,RIGHT_HAND,-7036,14596,-1004,-9762,-10790,6849,203
1729671604.8727772,RIGHT_HAND,-12812,20724,868,-8293,-7604,5691,204
1729671604.9194396,RIGHT_HAND,-17812,20220,1584,3565,-4448,2204,205
1729671604.920813,RIGHT_HAND,-21524,17928,-2904,2375,-6284,-1471,206
1729671604.9622211,RIGHT_HAND,-25596,21200,-4508,-3223,-4229,-3148,207
1729671604.9660332,RIGHT_HAND,-28392,23608,-2824,1541,-1288,-7145,208
1729671605.0078397,RIGHT_HAND,-29296,21852,64,5362,3764,-12383,209
1729671605.0534751,RIGHT_HAND,-29388,21088,-92,4101,4905,-16379,210
1729671605.0982897,RIGHT_HAND,-28484,21324,252,4219,9981,-19663,211
1729671605.0992248,RIGHT_HAND,-24092,19420,2076,5936,16683,-23287,212
1729671605.1435854,RIGHT_HAND,-19172,17420,1808,6041,19353,-25350,213
1729671605.189634,RIGHT_HAND,-15592,16308,3460,6414,15672,-26076,214
1729671605.1910608,RIGHT_HAND,-11728,14608,2192,7977,11838,-26595,215
1729671605.23233,RIGHT_HAND,-8024,11872,1180,8432,14412,-24239,216
1729671605.2360885,RIGHT_HAND,-4672,9512,564,7342,16811,-20077,217
1729671605.2784188,RIGHT_HAND,-1324,7320,2044,7224,18351,-16655,218
1729671605.3244739,RIGHT_HAND,1256,5516,2908,7670,17082,-12610,219
1729671605.3685477,RIGHT_HAND,2708,3676,236,7944,12186,-8117,220
1729671605.4132833,RIGHT_HAND,1708,3648,-1548,7137,7911,-6310,221
1729671605.4143307,RIGHT_HAND,2712,580,-1836,7365,4294,-3948,222
1729671605.458641,RIGHT_HAND,1220,-196,-3972,4421,-937,-2541,223
1729671605.5041797,RIGHT_HAND,-872,-880,-5972,460,-1667,-2711,224
1729671605.505181,RIGHT_HAND,-2524,-548,-7428,-2262,542,-1653,225
1729671605.549226,RIGHT_HAND,-4084,560,-8600,-3381,3695,397,226
1729671605.63862,RIGHT_HAND,-3728,828,-6888,-4138,14759,3175,227
1729671605.6404607,RIGHT_HAND,-3060,1892,-6212,-5721,21204,5844,228
1729671605.642084,RIGHT_HAND,-2592,2884,-6612,-7730,25019,7238,229
1729671605.6431882,RIGHT_HAND,-1644,2868,436,-10798,21854,8822,230
1729671605.7284815,RIGHT_HAND,-1368,3776,-1376,-13230,1772,11104,231
1729671605.7302496,RIGHT_HAND,-5736,4764,-9228,-14211,-11912,12990,232
1729671605.7313359,RIGHT_HAND,-12000,7564,-11220,-15560,-13801,13442,233
1729671605.7735631,RIGHT_HAND,-15148,10436,-14016,-16609,-9482,16640,234
1729671605.8188741,RIGHT_HAND,-14824,12500,-13164,-19692,-1751,18133,235
1729671605.863788,RIGHT_HAND,-12688,14260,-14108,-15886,-3910,17674,236
1729671605.8648808,RIGHT_HAND,-12688,15160,-14508,-13342,-10308,16602,237
1729671605.9088714,RIGHT_HAND,-13044,15084,-12548,-12134,-11970,15391,238
1729671605.9537656,RIGHT_HAND,-12136,15684,-13188,-12421,-12575,16411,239
1729671605.954837,RIGHT_HAND,-12424,17008,-10964,-12821,-11614,17576,240
1729671605.9992318,RIGHT_HAND,-12192,18144,-8452,-12228,-11533,17426,241
1729671606.0424774,RIGHT_HAND,-11928,18488,-9568,-12187,-11418,17124,242
1729671606.0434644,RIGHT_HAND,-12528,18680,-9188,-11193,-4603,16230,243
1729671606.0876627,RIGHT_HAND,-10840,18776,-7616,-10940,1436,15298,244
1729671606.1325543,RIGHT_HAND,-8732,18356,-5564,-10128,-832,13309,245
1729671606.1783922,RIGHT_HAND,-7368,17636,-3844,-8651,-8292,10111,246
1729671606.2687814,RIGHT_HAND,-7616,16976,-3308,-8151,-12683,7532,247
1729671606.2696676,RIGHT_HAND,-7924,16472,-2776,-6607,-11816,5542,248
1729671606.3144667,RIGHT_HAND,-7752,15924,-2428,-6252,-8147,4358,249
1729671606.3156462,RIGHT_HAND,-7200,15856,-1788,-5693,-5987,2130,250
1729671606.358751,RIGHT_HAND,-6316,17300,-3340,-1979,-11593,664,251
1729671606.403148,RIGHT_HAND,-5864,15996,-3532,374,-13610,-438,252
1729671606.4043298,RIGHT_HAND,-6924,15992,-3276,-1451,-11627,-1659,253
1729671606.448746,RIGHT_HAND,-6308,17188,-3720,-1047,-3661,-1037,254
1729671606.4940426,RIGHT_HAND,-4444,17212,-2732,947,5844,-17,255
1729671606.4949565,RIGHT_HAND,-2524,15892,-836,697,9888,545,1
1729671606.5394225,RIGHT_HAND,-1056,16000,444,-393,9000,279,2
1729671606.5838962,RIGHT_HAND,-464,16052,928,-34,5312,-13,3
1729671606.5850506,RIGHT_HAND,-348,15752,848,29,1433,-170,4
1729671606.6288133,RIGHT_HAND,-716,15872,860,-542,-1558,-298,5
1729671606.6737244,RIGHT_HAND,-1252,15892,588,-369,-3712,-289,6
1729671606.6746106,RIGHT_HAND,-2000,16112,172,-349,-4882,-253,7
