time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671620.1262681,RIGHT_LEG,15084,-5940,4944,298,217,-226,185
1729671620.171677,RIGHT_LEG,15000,-5768,4672,152,2017,-1261,187
1729671620.2602801,RIGHT_LEG,14920,-6124,4272,965,4271,-2408,189
1729671620.306341,RIGHT_LEG,14364,-5568,6476,1673,5959,-3438,191
1729671620.3526158,RIGHT_LEG,14460,-3768,6720,2105,6837,-4198,193
1729671620.3953528,RIGHT_LEG,13816,-2968,5976,3854,7719,-3414,194
1729671620.3968792,RIGHT_LEG,12940,-2464,5008,3807,10064,-3660,195
1729671620.4411614,RIGHT_LEG,12672,-3324,10612,5561,9891,-3627,196
1729671620.4421113,RIGHT_LEG,13604,-3520,7752,1653,10639,-6188,197
1729671620.4887044,RIGHT_LEG,9180,-120,11984,3748,10425,-5385,198
1729671620.4895797,RIGHT_LEG,13816,-1040,10948,3663,9310,-4577,199
1729671620.5305738,RIGHT_LEG,12212,-520,13712,3295,8692,-3666,200
1729671620.5317068,RIGHT_LEG,10040,592,12992,950,8048,-3799,201
1729671620.5754983,RIGHT_LEG,11492,872,15472,1582,6427,-1760,202
1729671620.6202495,RIGHT_LEG,11416,1060,15964,1005,4898,-438,203
1729671620.6213927,RIGHT_LEG,9480,752,16856,-903,2738,318,204
1729671620.6654303,RIGHT_LEG,9040,844,17168,-1845,191,1504,205
1729671620.7113502,RIGHT_LEG,10156,212,17220,-2904,-2584,2567,206
1729671620.7126741,RIGHT_LEG,10124,-608,16652,-3937,-5193,2911,207
1729671620.7562451,RIGHT_LEG,10348,-924,15548,-4502,-7372,3098,208
1729671620.8003485,RIGHT_LEG,10872,-1344,14124,-4405,-8844,3507,209
1729671620.8453095,RIGHT_LEG,11908,-1684,12784,-4556,-9413,3866,210
1729671620.8470263,RIGHT_LEG,12760,-1892,11696,-4581,-10042,4163,211
1729671620.890258,RIGHT_LEG,13140,-3588,10412,-4132,-10287,4738,212
1729671620.8914924,RIGHT_LEG,14136,-4548,9356,-4620,-9936,4749,213
1729671620.9366138,RIGHT_LEG,13856,-4408,8408,-3647,-9115,4944,214
1729671620.980294,RIGHT_LEG,13676,-3860,7944,-3189,-7863,4962,215
1729671620.9814813,RIGHT_LEG,12432,-3548,7068,-1356,-7322,5571,216
1729671621.026589,RIGHT_LEG,12152,-4564,6660,-775,-6416,5004,217
1729671621.116857,RIGHT_LEG,12020,-4640,6304,-2307,-5532,2933,218
1729671621.161797,RIGHT_LEG,12948,-4320,5828,-2049,-4264,2120,219
1729671621.1631212,RIGHT_LEG,13008,-5060,5968,-22,-3133,2249,220
1729671621.2500114,RIGHT_LEG,13648,-6720,6220,-1689,-1972,644,221
1729671621.2508688,RIGHT_LEG,14480,-5384,6204,-2760,-1163,-651,222
1729671621.295414,RIGHT_LEG,14816,-6072,6104,-1149,-706,-332,223
1729671621.2965543,RIGHT_LEG,14796,-6240,7052,-768,-230,-406,224
1729671621.341852,RIGHT_LEG,15044,-7008,7848,-947,-180,-272,225
1729671621.3431802,RIGHT_LEG,14452,-6496,7500,-712,-188,-349,226
1729671621.3854887,RIGHT_LEG,14196,-5500,7884,-748,-357,-322,227
1729671621.3867779,RIGHT_LEG,14164,-4800,7572,-761,-813,-128,228
1729671621.4318104,RIGHT_LEG,14548,-5032,7136,-891,-1045,60,229
1729671621.4331424,RIGHT_LEG,14300,-5868,7000,-820,-1065,-6,230
1729671621.5217981,RIGHT_LEG,14036,-5932,7372,-901,-1014,-176,231
1729671621.5231247,RIGHT_LEG,14180,-5888,7392,-645,-1151,51,232
1729671621.56686,RIGHT_LEG,14908,-5284,6820,-836,-1250,175,233
1729671621.6115985,RIGHT_LEG,14512,-5400,6580,-704,-1348,238,234
1729671621.6127295,RIGHT_LEG,14372,-5768,6744,-1314,-1286,-21,235
1729671621.6566095,RIGHT_LEG,14400,-5376,6668,-1025,-1328,108,236
1729671621.701578,RIGHT_LEG,14060,-5472,6464,-606,-1367,348,237
1729671621.7027004,RIGHT_LEG,15008,-5804,6652,-878,-1509,78,238
1729671621.746631,RIGHT_LEG,14724,-6132,6128,-982,-1433,-87,239
1729671621.7477572,RIGHT_LEG,14636,-5680,6208,-287,-1378,60,240
1729671621.7903407,RIGHT_LEG,14676,-5700,5848,-80,-1103,54,241
1729671621.7914631,RIGHT_LEG,14612,-5212,6268,43,-930,65,242
1729671621.8364413,RIGHT_LEG,14496,-5396,6520,-243,-1001,82,243
1729671621.8375845,RIGHT_LEG,14720,-5352,6676,-610,-1180,-5,244
1729671621.9266183,RIGHT_LEG,14788,-5528,6396,-246,-1440,375,245
1729671621.971634,RIGHT_LEG,14624,-5564,6336,-836,-1500,325,246
1729671622.0162373,RIGHT_LEG,14840,-5504,6364,-952,-1736,521,247
1729671622.0175502,RIGHT_LEG,14704,-5788,6004,-1538,-1830,434,248
1729671622.0615976,RIGHT_LEG,14924,-5824,5660,-1626,-1819,316,249
1729671622.0627902,RIGHT_LEG,14892,-5976,5072,-1262,-1563,244,250
1729671622.106546,RIGHT_LEG,14800,-6104,4792,-983,-1087,108,251
1729671622.10781,RIGHT_LEG,14928,-6384,4688,-807,-581,-238,252
1729671622.150562,RIGHT_LEG,15044,-6028,4956,-401,-150,-680,253
1729671622.1516483,RIGHT_LEG,15004,-5976,5248,327,257,-661,254
1729671622.1946537,RIGHT_LEG,14992,-5760,5168,352,684,-904,255
1729671622.2865815,RIGHT_LEG,14928,-5480,5392,681,959,-815,1
1729671622.2878456,RIGHT_LEG,15064,-4468,6656,1083,654,-249,2
1729671622.3765857,RIGHT_LEG,14528,-5164,7368,223,-47,149,3
1729671622.3778472,RIGHT_LEG,14568,-5156,6788,-709,-810,197,4
1729671622.4207578,RIGHT_LEG,14684,-5284,6552,-748,-1331,476,5
1729671622.4213805,RIGHT_LEG,14840,-5544,6008,-908,-1578,589,6
1729671622.4663687,RIGHT_LEG,15128,-5560,5708,-869,-1599,678,7
1729671622.4675162,RIGHT_LEG,14792,-6016,4952,-1047,-1335,453,8
1729671622.5564976,RIGHT_LEG,15008,-6220,4640,-833,-748,114,9
1729671622.5576508,RIGHT_LEG,15012,-6148,5000,-263,-230,-133,10
1729671622.6015692,RIGHT_LEG,15008,-5760,5120,-147,24,-271,11
1729671622.6466453,RIGHT_LEG,15024,-5572,5892,90,-13,-235,12
1729671622.6476848,RIGHT_LEG,14880,-5552,5796,-79,-171,-155,13
