time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671938.024153,RIGHT_HAND,-2708,20548,-620,-2652,-8378,-897,41
1729671938.0695739,RIGHT_HAND,-2612,15252,-1208,3063,-2875,-3646,43
1729671938.113278,RIGHT_HAND,-1356,15316,-228,-305,-864,-8270,45
1729671938.2481945,RIGHT_HAND,-1288,17692,480,2239,528,-7554,47
1729671938.2499576,RIGHT_HAND,-648,14752,-352,970,444,-6973,49
1729671938.2942615,RIGHT_HAND,-708,14204,-936,1035,576,-6331,50
1729671938.2954545,RIGHT_HAND,-740,14036,-548,937,980,-5300,51
1729671938.3396475,RIGHT_HAND,-424,14440,8,980,394,-4336,52
1729671938.4288342,RIGHT_HAND,-116,14684,552,1903,-1567,-3828,53
1729671938.4300435,RIGHT_HAND,220,14460,616,2151,-4553,-3468,54
1729671938.4738882,RIGHT_HAND,-604,15768,836,1211,-7267,-2258,55
1729671938.5184507,RIGHT_HAND,-1716,17496,-252,3738,-8082,290,56
1729671938.5194483,RIGHT_HAND,-1128,17424,-972,4018,-3134,2783,57
1729671938.6535394,RIGHT_HAND,60,17648,32,1843,-2316,3843,58
1729671938.6543245,RIGHT_HAND,620,18140,252,1945,-6881,3915,59
1729671938.6551225,RIGHT_HAND,412,19468,976,598,-10670,3873,60
1729671938.6559987,RIGHT_HAND,260,22348,2524,-590,-13504,4190,61
1729671938.6562204,RIGHT_HAND,32,19312,2144,3976,-18483,3472,62
1729671938.6564403,RIGHT_HAND,-832,13552,-452,4147,-23666,1394,63
1729671938.7442439,RIGHT_HAND,-1756,12944,-3296,164,-23462,-1802,64
1729671938.7894695,RIGHT_HAND,-2540,14948,-2652,-458,-17981,-3284,65
1729671938.790228,RIGHT_HAND,-2856,16752,-676,2036,-12231,-2780,66
1729671938.7909944,RIGHT_HAND,-2384,15600,-48,4494,-9282,-1807,67
1729671938.8797033,RIGHT_HAND,-1792,13932,-880,3865,-8907,-730,68
1729671938.8806036,RIGHT_HAND,-1900,13516,-940,637,-10831,272,69
1729671938.8814976,RIGHT_HAND,-2644,14416,-1008,-1245,-13261,1359,70
1729671938.9245439,RIGHT_HAND,-3672,14692,-1516,-1272,-12800,2848,71
1729671938.9254208,RIGHT_HAND,-4284,14800,-3092,-2336,-10964,4402,72
1729671938.9707928,RIGHT_HAND,-4772,15068,-3420,-3435,-6351,5943,73
1729671939.1043532,RIGHT_HAND,-4508,15576,-3364,-4047,-1917,6991,74
1729671939.1490846,RIGHT_HAND,-3948,15704,-3168,-4060,292,7174,75
1729671939.1498463,RIGHT_HAND,-3068,16032,-2500,-3587,543,6629,76
1729671939.1505895,RIGHT_HAND,-2468,17440,-808,-3903,-1470,5619,77
1729671939.1513593,RIGHT_HAND,-2228,18580,156,-2489,-5877,4125,78
1729671939.2391555,RIGHT_HAND,-2620,18756,412,-1356,-9403,2245,79
1729671939.240211,RIGHT_HAND,-3052,18164,-132,-802,-10449,116,80
1729671939.3293839,RIGHT_HAND,-3424,16632,-940,590,-9058,-2298,81
1729671939.3302934,RIGHT_HAND,-3356,14964,-956,1468,-6172,-5022,82
1729671939.3311331,RIGHT_HAND,-2944,14428,-556,1016,-2948,-7539,83
1729671939.4188945,RIGHT_HAND,-2560,16672,-56,-415,-392,-8958,84
1729671939.4196978,RIGHT_HAND,-2444,19620,1484,-46,1871,-9125,85
1729671939.4204874,RIGHT_HAND,-1868,19708,2324,2156,2709,-8973,86
1729671939.4646628,RIGHT_HAND,-1308,17572,2160,2401,1903,-9183,87
1729671939.4656465,RIGHT_HAND,-1064,15804,1292,1302,110,-9669,88
1729671939.466464,RIGHT_HAND,-1304,14868,628,639,-1358,-9785,89
1729671939.5542881,RIGHT_HAND,-1816,14732,-644,-164,-814,-9044,90
1729671939.5551915,RIGHT_HAND,-2080,14912,-1300,-673,1665,-7486,91
1729671939.556072,RIGHT_HAND,-1980,14660,-1364,-352,4332,-5421,92
1729671939.5995755,RIGHT_HAND,-1468,14296,-1544,-374,5853,-3557,93
1729671939.644501,RIGHT_HAND,-1052,14340,-1180,-521,6363,-1935,94
1729671939.6457005,RIGHT_HAND,-672,15076,-824,-744,5182,-335,95
1729671939.68953,RIGHT_HAND,-608,15808,-520,-1050,2701,1468,96
1729671939.7794862,RIGHT_HAND,-760,17420,-176,-1168,355,3207,97
1729671939.7804117,RIGHT_HAND,-1096,19504,880,-1106,-2049,4714,98
1729671939.8246446,RIGHT_HAND,-1200,20104,1848,982,-4852,5510,99
1729671939.8260736,RIGHT_HAND,-1116,19288,1956,2295,-7452,5602,100
1729671939.827096,RIGHT_HAND,-1204,19224,2676,1847,-10208,5228,101
1729671939.8690293,RIGHT_HAND,-1292,19496,3408,2070,-13600,5288,102
1729671939.9145672,RIGHT_HAND,-1832,16796,2724,4032,-17280,5191,103
1729671939.9157505,RIGHT_HAND,-2504,13640,860,3397,-18908,4910,104
1729671939.960601,RIGHT_HAND,-3200,13160,-144,90,-16918,4444,105
