time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671976.1432614,RIGHT_LEG,17484,-312,8340,2452,13090,-6369,150
1729671976.1883895,RIGHT_LEG,20400,-220,7224,-3,14683,-9741,152
1729671976.2343194,RIGHT_LEG,24532,-3268,5460,-7109,19401,-16086,154
1729671976.412464,RIGHT_LEG,16408,5496,15644,-24808,18693,-19128,156
1729671976.4563012,RIGHT_LEG,-3244,4012,16992,-16697,1804,-15584,158
1729671976.45736,RIGHT_LEG,5272,1572,8012,-7854,-9634,-14233,159
1729671976.592434,RIGHT_LEG,5184,-1088,7000,11848,-17928,-5145,160
1729671976.5936704,RIGHT_LEG,6044,-6392,9744,10861,-25200,-1225,161
1729671976.6384013,RIGHT_LEG,7364,-7828,11724,2560,-31449,-1789,162
1729671976.6395793,RIGHT_LEG,7360,-7348,11020,-6666,-32768,-296,163
1729671976.6826346,RIGHT_LEG,9020,-5292,14200,-15100,-32768,2649,164
1729671976.7273939,RIGHT_LEG,9720,-2684,15168,-26931,-32768,1637,165
1729671976.7287526,RIGHT_LEG,16680,-832,19324,-32768,-32768,923,166
1729671976.8163586,RIGHT_LEG,23488,-1280,20700,-29239,-32768,1480,167
1729671976.817859,RIGHT_LEG,20656,-3284,21340,-20672,-25547,4100,168
1729671976.8616087,RIGHT_LEG,8284,3892,19356,-251,-14296,10134,169
1729671976.8619108,RIGHT_LEG,7032,-2220,13552,15092,-3529,8306,170
1729671976.952706,RIGHT_LEG,23600,344,-11924,-4107,7828,-8574,171
1729671977.042447,RIGHT_LEG,15768,7608,-452,17020,-440,3514,172
1729671977.0434337,RIGHT_LEG,16920,-7484,8148,12967,6586,2008,173
1729671977.0871496,RIGHT_LEG,15512,-6904,5836,-8839,6387,-9550,174
1729671977.0881379,RIGHT_LEG,15628,3716,2204,3095,5115,-2989,175
1729671978.6175966,RIGHT_LEG,11088,13464,17788,-19684,18769,-20256,1
1729671978.6623516,RIGHT_LEG,3708,380,12248,-4138,5150,-14122,2
1729671978.6635203,RIGHT_LEG,6968,-2456,9008,-3242,-4045,-9235,3
1729671978.7075849,RIGHT_LEG,2852,-464,5024,8429,-13344,-2817,4
1729671978.7526028,RIGHT_LEG,3800,-5084,9488,3752,-18576,1903,5
1729671978.7538383,RIGHT_LEG,4992,-5092,9028,665,-25363,2277,6
