time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730447331.4101393,RIGHT_HAND,-3180,19128,2460,-874,-8368,-801,217
1730447331.4109137,RIGHT_HAND,-3672,19624,2392,286,-3190,-1735,218
1730447331.454887,RIGHT_HAND,-3332,18092,2796,1766,2408,-3615,219
1730447331.5001278,RIGHT_HAND,-2196,16844,3648,1980,5405,-6204,220
1730447331.5009894,RIGHT_HAND,-1520,17160,4132,2211,6742,-8938,221
1730447331.5901637,RIGHT_HAND,-1672,19012,4448,2893,11404,-10742,223
1730447331.5910683,RIGHT_HAND,-1016,18428,4696,2942,12556,-11054,224
1730447331.6815455,RIGHT_HAND,-512,17116,4484,3469,12676,-12559,225
1730447331.7250867,RIGHT_HAND,-104,16152,4484,3932,10620,-14581,226
1730447331.7259018,RIGHT_HAND,316,16388,4648,3879,8733,-15974,227
1730447331.7267284,RIGHT_HAND,184,16172,4540,4405,7291,-16599,228
1730447331.8160574,RIGHT_HAND,56,15288,4212,4397,6145,-16035,229
1730447331.8175268,RIGHT_HAND,-88,14832,3768,3723,5814,-14259,230
1730447331.9050684,RIGHT_HAND,56,15308,4188,2830,5962,-11457,231
1730447331.90585,RIGHT_HAND,272,15376,4348,2138,5585,-8010,232
1730447331.9066446,RIGHT_HAND,436,14892,3964,1001,4266,-4347,233
1730447331.9511824,RIGHT_HAND,392,14732,3728,-1006,2106,-878,234
1730447331.9520283,RIGHT_HAND,472,14968,3236,-2387,-158,1782,235
1730447332.0853093,RIGHT_HAND,36,15708,2300,-3070,-2058,3906,236
1730447332.0871153,RIGHT_HAND,296,17792,3408,-3898,-3257,6434,237
1730447332.0879135,RIGHT_HAND,1044,19456,4996,-3602,-4719,8849,238
1730447332.1316144,RIGHT_HAND,1152,17740,4940,-2703,-8281,9566,239
1730447332.1762633,RIGHT_HAND,540,16372,4120,-4470,-13286,9793,240
1730447332.2212088,RIGHT_HAND,-540,16660,3220,-5376,-16082,9055,241
1730447332.2219512,RIGHT_HAND,-1368,17208,2344,-5308,-16507,8950,242
1730447332.2226691,RIGHT_HAND,-2160,17884,2288,-3723,-13855,9211,243
1730447332.3101296,RIGHT_HAND,-2480,17416,2720,-1592,-8279,9287,244
1730447332.310915,RIGHT_HAND,-1768,16852,3664,-1646,-4556,9191,245
1730447332.3118665,RIGHT_HAND,-960,16480,4568,-2478,-5183,8460,246
1730447332.3126228,RIGHT_HAND,-688,16616,4688,-2914,-7529,7705,247
1730447332.3552158,RIGHT_HAND,-1272,16192,4040,-3179,-9016,7148,248
1730447332.401057,RIGHT_HAND,-2160,15888,2876,-3106,-8578,7418,249
1730447332.4019997,RIGHT_HAND,-2848,15492,1828,-2981,-6434,8110,250
