time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730447295.189799,RIGHT_LEG,3636,2748,3708,6594,-1588,21819,8
1730447295.2339044,RIGHT_LEG,2772,6252,8228,12877,-18907,25158,10
1730447295.2779899,RIGHT_LEG,5808,12540,11912,12839,-29461,17231,12
1730447295.3236933,RIGHT_LEG,11252,11688,15440,27982,-32398,13796,14
1730447295.368677,RIGHT_LEG,16740,7228,17420,26836,-32740,6134,16
1730447295.4126806,RIGHT_LEG,15584,8420,18704,18977,-29651,-985,17
1730447295.4576254,RIGHT_LEG,13712,4604,17304,16941,-23499,-5434,18
1730447295.458053,RIGHT_LEG,11984,-6564,17672,4091,-14395,1726,19
1730447295.5032213,RIGHT_LEG,5288,7964,17416,10193,-3817,-518,20
1730447295.5500176,RIGHT_LEG,9132,-5628,17388,9791,8787,1422,21
1730447295.5517259,RIGHT_LEG,26708,-2280,-4976,-14321,9194,-8343,22
1730447295.5931811,RIGHT_LEG,9160,23844,18956,1795,4780,-1248,23
1730447295.6378317,RIGHT_LEG,31004,-7336,5580,14775,10790,-1932,24
1730447295.638359,RIGHT_LEG,12576,-11896,5728,-3546,8479,-7340,25
1730447295.682692,RIGHT_LEG,15356,18648,2652,6034,10013,-2009,26
1730447295.7279954,RIGHT_LEG,14384,3860,4596,9804,9161,1439,27
1730447295.7288163,RIGHT_LEG,16268,4420,5064,-8017,6228,-5832,28
1730447295.7729087,RIGHT_LEG,14460,9424,6160,3255,7730,1376,29
1730447295.8179,RIGHT_LEG,16184,2108,4604,1198,7546,-10,30
1730447295.8629153,RIGHT_LEG,14624,7216,6860,-2629,6280,-1221,31
1730447295.86375,RIGHT_LEG,14924,3664,6788,-1273,6272,-320,32
1730447295.9079263,RIGHT_LEG,14868,4632,7784,-2364,6027,-367,33
1730447295.9530206,RIGHT_LEG,14704,5120,8896,-2013,5014,163,34
1730447295.9537652,RIGHT_LEG,14904,3508,7668,-2426,4265,-388,35
1730447295.9978404,RIGHT_LEG,15048,4396,6880,-1767,4834,355,36
1730447296.042917,RIGHT_LEG,15432,3612,5932,-1551,5904,533,37
1730447296.0436103,RIGHT_LEG,14312,4152,5352,-1939,8229,706,38
1730447296.087913,RIGHT_LEG,15684,3296,6180,-1049,10646,1534,39
1730447296.1329265,RIGHT_LEG,15364,3636,6456,-2063,12854,1681,40
1730447296.1336727,RIGHT_LEG,15700,3056,7724,-2708,14271,1719,41
1730447296.1779468,RIGHT_LEG,16092,3368,7716,-4831,15193,565,42
1730447296.2229743,RIGHT_LEG,20820,5252,6008,-8936,15643,-928,43
1730447296.223669,RIGHT_LEG,27588,7004,3556,-13489,15213,-3970,44
1730447296.2680697,RIGHT_LEG,20148,8560,6860,-13145,17730,-2740,45
1730447296.3579314,RIGHT_LEG,20848,5932,13104,-17846,19969,1031,46
1730447296.3586252,RIGHT_LEG,15924,10248,16812,-19491,16817,3359,47
1730447296.4031456,RIGHT_LEG,10568,7692,12524,-6316,10348,4430,48
1730447296.4038756,RIGHT_LEG,2248,4612,9984,1692,1792,4148,49
1730447296.4045517,RIGHT_LEG,5732,5504,4048,2769,-6891,964,50
1730447296.4487145,RIGHT_LEG,2988,2424,6076,16167,-13602,5130,51
1730447296.4928312,RIGHT_LEG,6764,1092,8076,20812,-21016,4405,52
1730447296.4935033,RIGHT_LEG,8000,860,8792,21468,-28063,4381,53
1730447296.5383286,RIGHT_LEG,8152,452,11644,24254,-32768,4706,54
1730447296.5839264,RIGHT_LEG,11916,1636,16648,20268,-32768,4559,55
1730447296.5846457,RIGHT_LEG,14976,2244,22072,10160,-32768,1700,56
1730447296.6285572,RIGHT_LEG,18520,5136,24632,7970,-32768,-556,57
1730447296.673162,RIGHT_LEG,16840,5704,22180,11797,-31120,1361,58
1730447296.7629132,RIGHT_LEG,11188,720,20104,5676,-18191,-276,59
1730447296.7636096,RIGHT_LEG,6392,3948,18872,5855,-3829,643,60
1730447296.7648115,RIGHT_LEG,9244,-276,14788,1349,6320,-1859,61
1730447296.76547,RIGHT_LEG,32767,-2532,-11964,-23510,4589,-13633,62
1730447296.8533392,RIGHT_LEG,7164,16520,16752,13277,9162,5891,63
1730447296.8985662,RIGHT_LEG,27528,-6552,3888,14802,11305,258,64
1730447296.899252,RIGHT_LEG,12608,-592,4776,-7989,9334,-10083,65
1730447296.8999074,RIGHT_LEG,12044,15296,3104,2535,9534,-2206,66
1730447296.943962,RIGHT_LEG,14936,4228,5096,5474,8193,508,67
1730447296.9879327,RIGHT_LEG,15624,6064,5416,-5174,5949,-3544,68
1730447297.078298,RIGHT_LEG,15388,7576,3980,729,7061,307,69
1730447297.1229353,RIGHT_LEG,15224,4820,4496,-1704,6890,-710,70
1730447297.1236057,RIGHT_LEG,14672,6872,6380,-1886,6940,-588,71
1730447297.1242762,RIGHT_LEG,15312,3444,5536,-2177,6767,-1032,72
1730447297.1678786,RIGHT_LEG,14112,6768,7916,-1023,6488,-181,73
1730447297.3029459,RIGHT_LEG,14228,3752,7800,-1391,5605,-626,74
1730447297.3036454,RIGHT_LEG,15256,4872,7856,-1737,5190,-618,75
1730447297.3048844,RIGHT_LEG,14568,5140,5964,-2007,5776,-889,76
1730447297.3055537,RIGHT_LEG,15432,4888,5972,-1191,7156,-562,77
1730447297.3062203,RIGHT_LEG,14312,4760,5532,-2017,9159,-770,78
1730447297.3484204,RIGHT_LEG,15748,5356,6348,-1844,11185,-442,79
1730447297.4378626,RIGHT_LEG,14556,4484,5960,-3503,13499,-1290,80
1730447297.4385512,RIGHT_LEG,15028,4112,6596,-3358,16258,-1715,81
1730447297.483332,RIGHT_LEG,18568,4840,8520,-6240,17577,-4268,82
1730447297.4840543,RIGHT_LEG,27208,5688,6892,-15385,16017,-10001,83
1730447297.4847798,RIGHT_LEG,23600,8876,9220,-20543,19694,-12221,84
1730447297.572987,RIGHT_LEG,20156,4344,20600,-21742,18862,-9645,85
1730447297.61794,RIGHT_LEG,13672,6604,15836,-29906,14445,-12581,86
1730447297.6186602,RIGHT_LEG,4380,9584,11356,-11876,8218,-7646,87
1730447297.6194434,RIGHT_LEG,4268,3064,7608,-463,134,-7121,88
1730447297.6637137,RIGHT_LEG,4280,-84,1736,-57,-9360,-6646,89
1730447297.7079327,RIGHT_LEG,4696,1392,6152,7988,-15301,-3376,90
1730447297.708681,RIGHT_LEG,7780,-984,6552,13034,-22130,-2894,91
