time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314173.2219248,RIGHT_HAND,-8216,21512,-8320,15628,-24329,-12504,31
1731314173.3112817,RIGHT_HAND,-21264,21552,-9140,27381,-12310,-26218,33
1731314173.4021075,RIGHT_HAND,-17540,20396,-8340,29981,27901,-29588,35
1731314173.4926865,RIGHT_HAND,-5884,10100,-8056,32767,32767,-21284,37
1731314173.4935887,RIGHT_HAND,3200,4568,-8220,32767,17619,-12165,39
1731314173.5830154,RIGHT_HAND,-3272,-3956,-1716,32767,2879,-9371,41
1731314173.5837176,RIGHT_HAND,-744,-4412,1380,16271,10273,-6547,42
1731314173.6264896,RIGHT_HAND,2764,-2996,5072,-9390,-1671,-1836,43
1731314173.671174,RIGHT_HAND,1008,-2000,3436,-12332,-3639,2725,44
1731314173.6720307,RIGHT_HAND,-372,-492,-1388,-23941,-1935,6529,45
1731314173.7161808,RIGHT_HAND,-944,2572,-4644,-32768,3350,9443,46
1731314173.7611103,RIGHT_HAND,-212,7740,-14532,-32768,1522,12560,47
1731314173.7618396,RIGHT_HAND,-2104,18800,-32768,-32768,-6402,11624,48
1731314173.8065245,RIGHT_HAND,-6180,7672,-18752,-5189,-17149,6884,49
1731314173.8511305,RIGHT_HAND,-2684,6256,-6688,-391,-19884,5672,50
1731314173.8518596,RIGHT_HAND,-19688,25716,-28532,-32768,32767,9459,51
1731314173.8961632,RIGHT_HAND,-9532,19528,-27452,32767,-11972,-10845,52
1731314173.9412236,RIGHT_HAND,-19912,9724,-32768,32767,-5150,-15964,53
1731314173.9419496,RIGHT_HAND,-16288,5892,-32768,9916,-2478,-12688,54
1731314174.0312154,RIGHT_HAND,-7548,1684,-20388,32767,5082,-19847,55
1731314174.0331798,RIGHT_HAND,-7524,-10248,-11256,32767,-18285,-25923,56
1731314174.0339048,RIGHT_HAND,-7044,-21392,-10788,32767,-11262,-27719,57
1731314174.076316,RIGHT_HAND,-13652,-18672,-20424,32767,-13240,-30829,58
