time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314285.4962883,RIGHT_HAND,-13568,13428,2780,2666,-16671,-18004,238
1731314285.5844092,RIGHT_HAND,-21164,10688,4468,2481,-23556,-27048,240
1731314285.5878284,RIGHT_HAND,-26156,10512,8792,-7710,-11011,-32768,242
1731314285.6742601,RIGHT_HAND,-27072,7712,16852,-14203,-13808,-32768,244
1731314285.7193975,RIGHT_HAND,-24352,3988,20296,-26793,-24686,-32768,246
1731314285.809224,RIGHT_HAND,-15712,2600,19552,-32768,-19988,-32768,248
1731314285.8100064,RIGHT_HAND,-10660,2396,16928,-32768,-19688,-32768,249
1731314285.8542163,RIGHT_HAND,-6696,2488,13060,-32768,-22691,-27784,250
1731314285.900604,RIGHT_HAND,-4688,848,9100,-28858,-22848,-18912,251
1731314285.902203,RIGHT_HAND,-4124,108,3360,-26339,-17302,-11922,252
1731314285.945528,RIGHT_HAND,-2160,-92,-772,-25397,-5112,-7310,253
1731314285.9908223,RIGHT_HAND,-556,-1656,-1932,-18648,1688,-3931,254
1731314285.9916556,RIGHT_HAND,252,-4128,-3504,-8841,-1864,-1178,255
1731314286.0343466,RIGHT_HAND,16,-4292,-6832,-6972,-4026,-627,1
1731314286.080474,RIGHT_HAND,-356,-2752,-7064,-3137,1936,465,2
1731314286.0812635,RIGHT_HAND,-632,-2592,-6984,5504,6068,2453,3
1731314286.1244981,RIGHT_HAND,-404,-2920,-6312,15339,6910,4411,4
1731314286.1693115,RIGHT_HAND,-136,-3620,-4864,19508,8317,6029,5
1731314286.1701329,RIGHT_HAND,-400,-2632,-2056,23034,9650,8299,6
1731314286.21563,RIGHT_HAND,-2720,212,52,25473,10094,10782,7
1731314286.2598064,RIGHT_HAND,-5076,2516,1856,32006,15750,14977,8
1731314286.2606523,RIGHT_HAND,-5356,5528,6100,32767,21876,20210,9
1731314286.3043323,RIGHT_HAND,-7484,9432,9480,32767,22810,26079,10
1731314286.349568,RIGHT_HAND,-10520,16532,14436,32767,22373,32402,11
1731314286.350414,RIGHT_HAND,-12996,23276,23272,32767,19059,32767,12
1731314286.3954637,RIGHT_HAND,-14740,29920,25616,32767,4423,32767,13
1731314286.4393616,RIGHT_HAND,-17232,32767,30392,32767,-3731,32767,14
1731314286.4843082,RIGHT_HAND,-19748,32767,32767,32767,-7497,32767,15
1731314286.4851336,RIGHT_HAND,-18488,32767,32767,32767,-6932,32767,16
1731314286.5293136,RIGHT_HAND,-17008,32767,32767,32767,-11496,32767,17
1731314286.5754247,RIGHT_HAND,-16360,32767,32128,32767,-18312,32767,18
1731314286.576177,RIGHT_HAND,-15564,32767,29348,32767,-19907,26316,19
1731314286.6193316,RIGHT_HAND,-14196,32767,24972,32767,-20645,21098,20
1731314286.6655557,RIGHT_HAND,-13388,28604,20652,32767,-19733,17696,21
1731314286.6664262,RIGHT_HAND,-12032,22496,16184,32767,-16267,14336,22
1731314286.709422,RIGHT_HAND,-10168,15924,14364,32767,-11529,11415,23
1731314286.7543328,RIGHT_HAND,-8340,9384,12392,32767,-9915,9370,24
1731314286.7551425,RIGHT_HAND,-6956,3808,10120,26191,-10597,6136,25
1731314286.7998283,RIGHT_HAND,-6176,1612,6388,17932,-8694,3151,26
1731314286.8457353,RIGHT_HAND,-6684,1256,4836,3172,-6384,1614,27
1731314286.8904755,RIGHT_HAND,-8200,1308,8040,-6455,62,693,28
1731314286.891349,RIGHT_HAND,-9208,3996,10380,-7986,64,-1403,29
1731314286.9343088,RIGHT_HAND,-8356,5440,13044,-13474,2077,-3557,30
1731314286.9351206,RIGHT_HAND,-8308,8896,20888,-25271,8682,-5081,31
1731314286.9794142,RIGHT_HAND,-7524,15772,27620,-32768,11045,-7778,32
1731314287.0247965,RIGHT_HAND,-10644,25636,32767,-32768,12397,-12838,33
1731314287.0256162,RIGHT_HAND,-14292,32767,32767,-32768,8931,-20434,34
1731314287.0704236,RIGHT_HAND,-21992,32767,32767,-32768,-3929,-32768,35
1731314287.1154263,RIGHT_HAND,-31492,32767,32767,-32768,-17038,-32768,36
1731314287.1161845,RIGHT_HAND,-32768,32767,32767,-32768,-12856,-32768,37
1731314287.160474,RIGHT_HAND,-32768,32767,32767,-32768,5109,-31467,38
1731314287.2042685,RIGHT_HAND,-25780,32767,32767,-32768,10277,-29382,39
1731314287.2498794,RIGHT_HAND,-13760,32767,28452,-32768,11172,-27313,40
1731314287.2506764,RIGHT_HAND,-6552,32767,9204,-32768,13307,-18143,41
1731314287.294447,RIGHT_HAND,1668,27976,2836,-26871,32655,-9319,42
1731314287.3393354,RIGHT_HAND,8148,19172,7544,-13577,27584,-5624,43
1731314287.34014,RIGHT_HAND,9980,13700,4752,1462,9566,-7663,44
1731314287.38436,RIGHT_HAND,6688,3744,2388,7706,-12131,-2866,45
1731314287.4303374,RIGHT_HAND,676,-3116,2624,5887,-22468,633,46
1731314287.4311638,RIGHT_HAND,-4604,-5148,1952,4922,-24750,5098,47
1731314287.474422,RIGHT_HAND,-8192,-6176,3464,10015,-14799,5047,48
1731314287.5205128,RIGHT_HAND,-7264,-7016,4536,10577,-2697,5369,49
1731314287.5212662,RIGHT_HAND,-6516,-6828,5896,3361,7722,5666,50
1731314287.5655174,RIGHT_HAND,-5820,-5040,7948,2882,9020,7477,51
1731314287.6108062,RIGHT_HAND,-5140,-3592,9772,8855,3874,9329,52
1731314287.611594,RIGHT_HAND,-5140,-1372,10312,11102,-942,10805,53
1731314287.654435,RIGHT_HAND,-7656,-1820,11200,14773,-4608,11433,54
1731314287.699442,RIGHT_HAND,-9064,772,11976,16783,-2936,12709,55
1731314287.700203,RIGHT_HAND,-9924,2656,12556,16913,825,13444,56
1731314287.7442875,RIGHT_HAND,-10152,4700,14124,17068,6682,16462,57
1731314287.7905226,RIGHT_HAND,-11268,5480,15608,22810,6764,19546,58
1731314287.7912936,RIGHT_HAND,-11380,7156,17348,23364,4252,20536,59
1731314287.879309,RIGHT_HAND,-12560,8476,16740,21193,1420,20753,60
1731314287.924389,RIGHT_HAND,-14884,9820,16844,21565,-408,20812,61
1731314287.9252093,RIGHT_HAND,-15728,11924,16068,21461,-812,19588,62
1731314287.9704094,RIGHT_HAND,-14892,13992,16464,19043,5526,19614,63
1731314288.0145996,RIGHT_HAND,-15728,12988,14868,19005,7577,21293,64
1731314288.1043358,RIGHT_HAND,-15364,12480,12056,18299,7620,19913,65
1731314288.1051407,RIGHT_HAND,-13260,12968,11432,13968,10592,18103,66
1731314288.107144,RIGHT_HAND,-12120,13816,10848,9196,11637,17491,67
