time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314349.8468196,RIGHT_LEG,16820,156,-1400,-709,920,-239,184
1731314349.893037,RIGHT_LEG,16800,248,-1412,-898,1079,-441,186
1731314349.9385114,RIGHT_LEG,16804,464,-1596,-1108,1532,-657,188
1731314350.0272038,RIGHT_LEG,16660,600,-944,-7,1456,-697,190
1731314350.1170895,RIGHT_LEG,16792,736,-988,1098,1490,-579,192
1731314350.1622164,RIGHT_LEG,16592,636,-1252,1472,1766,-685,193
1731314350.163018,RIGHT_LEG,16700,816,-968,2338,2385,-822,194
1731314350.2073812,RIGHT_LEG,16736,700,-584,3182,2726,-1031,195
1731314350.2520826,RIGHT_LEG,16708,320,-480,3596,2688,-1267,196
1731314350.2528,RIGHT_LEG,16912,1076,-96,2689,2665,-1152,197
1731314350.2971764,RIGHT_LEG,16972,1168,996,3403,2870,-1358,198
1731314350.3421745,RIGHT_LEG,17316,272,1036,2662,2377,-1523,199
1731314350.3428786,RIGHT_LEG,16784,652,1512,2269,1437,-1684,200
1731314350.3874297,RIGHT_LEG,16324,952,556,2628,1564,-2138,201
1731314350.4321084,RIGHT_LEG,16228,964,-904,1925,1637,-2898,202
1731314350.4327834,RIGHT_LEG,17364,972,-1112,524,3388,-3244,203
1731314350.4771354,RIGHT_LEG,16928,2804,992,-1391,3602,-2544,204
1731314350.5221891,RIGHT_LEG,16676,3960,2472,-1779,2998,-1673,205
1731314350.56723,RIGHT_LEG,16836,3224,3336,-829,2352,-526,206
1731314350.5679028,RIGHT_LEG,16528,1816,2644,-923,1685,-283,207
1731314350.612127,RIGHT_LEG,16256,2336,2412,-1820,1331,-297,208
1731314350.6571436,RIGHT_LEG,16352,2140,1664,-2139,1498,-331,209
1731314350.7021182,RIGHT_LEG,16176,2160,1652,-2500,1964,-483,210
1731314350.702799,RIGHT_LEG,16516,2948,1556,-2317,2673,-263,211
1731314350.747114,RIGHT_LEG,15936,2004,2324,-1149,3402,-251,212
1731314350.7478018,RIGHT_LEG,16340,1972,2664,-783,4008,-66,213
1731314350.792129,RIGHT_LEG,16228,1932,4004,-867,4262,-279,214
1731314350.8371227,RIGHT_LEG,15924,3020,4856,-2469,4148,-1020,215
