time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314490.0672283,RIGHT_LEG,16776,68,-1796,-305,-128,20,224
1731314490.2023094,RIGHT_LEG,16648,236,-1464,-259,-243,76,226
1731314490.2041087,RIGHT_LEG,16648,16,-1600,-717,-281,250,228
1731314490.2922056,RIGHT_LEG,16788,144,-1512,-778,-388,407,230
1731314490.3371193,RIGHT_LEG,16492,-288,-1912,-652,-139,407,232
1731314490.382126,RIGHT_LEG,16620,-340,-1716,-318,13,174,233
1731314490.3828597,RIGHT_LEG,16872,-276,-1448,-309,-36,-93,234
1731314490.4271655,RIGHT_LEG,16848,-244,-1500,-354,-148,-334,235
1731314490.5171156,RIGHT_LEG,16708,-216,-1324,-505,-321,-568,236
1731314490.5178492,RIGHT_LEG,16676,-80,-1196,-700,-472,-620,237
1731314490.5191076,RIGHT_LEG,16616,172,-1528,-661,-703,-612,238
1731314490.5198152,RIGHT_LEG,16728,312,-1596,-557,-745,-518,239
1731314490.5621462,RIGHT_LEG,16516,292,-1488,-475,-681,-392,240
1731314490.6071422,RIGHT_LEG,16652,192,-1744,-426,-628,-360,241
1731314490.6521366,RIGHT_LEG,16752,404,-1560,-494,-551,-253,242
1731314490.6971982,RIGHT_LEG,16724,340,-1660,-532,-552,-166,243
1731314490.6979177,RIGHT_LEG,16632,256,-1844,-437,-480,-93,244
1731314490.7423267,RIGHT_LEG,16592,356,-1772,-343,-360,-35,245
1731314490.7431233,RIGHT_LEG,16628,244,-1804,-274,-328,-32,246
1731314490.7872622,RIGHT_LEG,16792,292,-1636,-314,-271,-22,247
1731314490.832433,RIGHT_LEG,16696,184,-1584,-421,-317,-13,248
1731314490.8331513,RIGHT_LEG,16656,308,-1520,-344,-382,16,249
1731314490.8771534,RIGHT_LEG,16728,276,-1884,-375,-373,67,250
1731314491.012118,RIGHT_LEG,16732,216,-1856,-407,-319,73,251
1731314491.012835,RIGHT_LEG,16692,276,-1764,-356,-287,87,252
1731314491.0571878,RIGHT_LEG,16616,292,-1760,-410,-268,109,253
