time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314595.593656,RIGHT_LEG,16680,152,-1680,-397,-187,-174,39
1731314595.682245,RIGHT_LEG,16824,188,-1232,-543,-380,-139,41
1731314595.7280917,RIGHT_LEG,16788,320,-1392,-840,-764,161,43
1731314595.7737567,RIGHT_LEG,16748,192,-1588,-1155,-734,509,45
1731314595.862084,RIGHT_LEG,16644,196,-1924,-768,-460,483,47
1731314595.9072251,RIGHT_LEG,16552,184,-1872,-535,-176,434,48
1731314595.9520912,RIGHT_LEG,16732,0,-1720,-402,14,325,49
1731314595.9527774,RIGHT_LEG,16664,-36,-1632,-229,106,182,50
1731314595.9534848,RIGHT_LEG,16748,-140,-1320,-291,48,55,51
1731314595.9971085,RIGHT_LEG,16660,-84,-1272,-438,-92,-102,52
1731314596.042276,RIGHT_LEG,16860,-128,-1344,-496,-320,-247,53
1731314596.132093,RIGHT_LEG,16728,156,-1544,-646,-481,-396,54
1731314596.132802,RIGHT_LEG,16604,60,-1564,-672,-530,-369,55
1731314596.1771438,RIGHT_LEG,16740,316,-1492,-1093,-549,-255,56
1731314596.2221324,RIGHT_LEG,16664,412,-1468,-937,-533,-142,57
1731314596.222902,RIGHT_LEG,16680,312,-1572,-1110,-536,-58,58
1731314596.2671819,RIGHT_LEG,16584,140,-1632,-785,-501,-75,59
1731314596.357101,RIGHT_LEG,16668,312,-1756,-699,-416,-31,60
1731314596.3578093,RIGHT_LEG,16804,328,-1708,-608,-259,40,61
1731314596.4021194,RIGHT_LEG,16712,316,-1600,-329,-218,82,62
1731314596.4028041,RIGHT_LEG,16704,336,-1420,-284,-296,197,63
1731314596.4035063,RIGHT_LEG,16656,244,-1332,-233,-446,220,64
1731314596.447136,RIGHT_LEG,16732,208,-1668,-319,-518,248,65
1731314596.4478374,RIGHT_LEG,16664,132,-1472,-351,-530,251,66
1731314596.4921136,RIGHT_LEG,16772,132,-1564,-346,-516,217,67
1731314596.5373156,RIGHT_LEG,16684,136,-1936,-328,-560,199,68
1731314596.5819137,RIGHT_LEG,16728,-28,-1768,-321,-431,132,69
1731314596.6728191,RIGHT_LEG,16756,84,-1660,-188,-291,92,70
1731314596.6732745,RIGHT_LEG,16656,232,-1868,-163,-220,112,71
1731314596.7175102,RIGHT_LEG,16688,208,-1648,-120,-105,192,72
1731314596.7185802,RIGHT_LEG,16708,60,-1588,26,-107,148,73
1731314596.7196186,RIGHT_LEG,16852,156,-1460,42,-63,223,74
1731314596.7636902,RIGHT_LEG,16788,120,-1364,94,-213,277,75
1731314596.8070989,RIGHT_LEG,16724,108,-1432,309,-303,285,76
1731314596.8078544,RIGHT_LEG,16680,60,-1840,438,-224,259,77
1731314596.8521636,RIGHT_LEG,16776,60,-1916,334,2,231,78
1731314596.8971434,RIGHT_LEG,16656,-200,-1756,488,179,109,79
1731314596.8978686,RIGHT_LEG,16504,-188,-1828,597,266,-128,80
1731314596.942156,RIGHT_LEG,16680,-112,-1544,834,459,-419,81
1731314596.9871318,RIGHT_LEG,16820,-160,-1324,593,495,-504,82
1731314596.987858,RIGHT_LEG,16988,-188,-1452,457,414,-612,83
1731314597.032166,RIGHT_LEG,16808,-204,-1436,-32,382,-660,84
1731314597.0771313,RIGHT_LEG,16784,420,-968,-573,214,-517,85
1731314597.0778644,RIGHT_LEG,16600,620,-756,-723,-169,-220,86
1731314597.1222422,RIGHT_LEG,16652,532,-1276,-522,-473,76,87
1731314597.1671631,RIGHT_LEG,16712,204,-1356,-690,-506,209,88
1731314597.1678932,RIGHT_LEG,16840,188,-1448,-940,-378,259,89
1731314597.2122967,RIGHT_LEG,16816,68,-1336,-1026,-333,281,90
1731314597.257119,RIGHT_LEG,16676,264,-1388,-953,-326,315,91
1731314597.2578995,RIGHT_LEG,16676,236,-1196,-656,-299,287,92
1731314597.3022273,RIGHT_LEG,16796,232,-1008,-598,-483,369,93
1731314597.347338,RIGHT_LEG,16892,128,-1100,-515,-792,376,94
1731314597.391174,RIGHT_LEG,17000,48,-1116,-850,-847,550,95
1731314597.3919046,RIGHT_LEG,16024,112,-1780,-257,-253,440,96
1731314597.437164,RIGHT_LEG,16552,384,-1972,169,-46,-67,97
1731314597.4821472,RIGHT_LEG,17020,-688,-1068,72,293,-273,98
